Key_2_4,range_fie,wtd_entropy_atomic_radius,wtd_gmean_Valence,wtd_entropy_atomic_mass,wtd_mean_Valence,std_ThermalConductivity,range_atomic_radius,range_ThermalConductivity,wtd_std_ThermalConductivity
20204,810.6,1.20703998701461,2.21978342968743,1.06239554519617,2.25714285714286,168.854243757651,205.0,399.97342,138.51716251123
10394,810.6,1.2041147982326,2.21067940870655,1.05775512271911,2.25714285714286,198.554600255545,205.0,429.97342,139.630922368904
19213,810.6,1.13254686280436,2.23267852196607,0.975980464165498,2.27142857142857,168.854243757651,205.0,399.97342,138.54061273835
10050,810.6,1.17303291789271,2.2262216392083,1.0222908923957,2.26428571428571,168.854243757651,205.0,399.97342,138.528892724768
1787,810.6,1.26119371912948,2.20696281450132,1.12922373013507,2.24285714285714,168.854243757651,205.0,399.97342,138.493671473918
8190,810.6,1.33133890122576,2.18154329728693,1.22520280321875,2.21428571428571,168.854243757651,205.0,399.97342,138.446566885594
15852,810.6,1.36727867491832,2.1192680453341,1.31685658780632,2.14285714285714,168.854243757651,205.0,399.97342,138.328089776382
7716,772.0,1.12181816170133,2.23267852196607,0.943560479191362,2.27142857142857,166.742351106334,171.0,399.97342,138.480007842432
20747,772.0,1.16005975115976,2.2262216392083,0.981879783570863,2.26428571428571,166.742351106334,171.0,399.97342,138.437713993087
9123,772.0,1.19273404990926,2.21978342968743,1.01649536763193,2.25714285714286,166.742351106334,171.0,399.97342,138.395228788671
8594,772.0,1.24611309408638,2.20696281450132,1.07778286066068,2.24285714285714,166.742351106334,171.0,399.97342,138.309683608476
845,810.6,1.39449392338404,2.20696281450132,1.33547238749869,2.24285714285714,156.179590169521,205.0,399.97342,118.724209754041
13157,810.6,1.17643173604827,2.22165173570741,1.02645674662812,2.26428571428571,198.554600255545,205.0,429.97342,139.087001003406
11267,810.6,1.2041147982326,2.21067940870655,1.05775512271911,2.25714285714286,198.554600255545,205.0,429.97342,139.630922368904
12892,810.6,1.25533767886352,2.17808650024395,1.11475758864938,2.23571428571429,198.554600255545,205.0,429.97342,141.248169409699
17626,810.6,1.28295301573107,2.12482932758602,1.14691925691421,2.2,198.554600255545,205.0,429.97342,143.896815207624
4077,810.6,1.50958098343178,2.06336223306145,1.42895154099928,2.07692307692308,154.894318323944,205.0,399.97342,166.8227082224
2721,810.6,1.17303291789271,2.2262216392083,1.0222908923957,2.26428571428571,168.854243757651,205.0,399.97342,138.528892724768
16588,772.0,1.16005975115976,2.2262216392083,0.981879783570863,2.26428571428571,166.742351106334,171.0,399.97342,138.437713993087
13978,772.0,1.07523273630141,2.23915413212017,0.899624878112455,2.27857142857143,166.742351106334,171.0,399.97342,138.522110511979
9803,772.0,1.12181816170133,2.23267852196607,0.943560479191362,2.27142857142857,166.742351106334,171.0,399.97342,138.480007842432
3481,772.0,1.20742134706112,2.21657131050884,1.03270939241082,2.25357142857143,166.742351106334,171.0,399.97342,138.373914373261
17759,772.0,1.22115995562567,2.21336383940064,1.04829403664024,2.25,166.742351106334,171.0,399.97342,138.352552052899
16854,772.0,1.24611309408638,2.20696281450132,1.07778286066068,2.24285714285714,166.742351106334,171.0,399.97342,138.309683608476
10690,772.0,1.26810420283283,2.20058030129855,1.10528463853247,2.23571428571429,166.742351106334,171.0,399.97342,138.266623277088
2653,772.0,1.28749421104786,2.1942162462567,1.13101819994698,2.22857142857143,166.742351106334,171.0,399.97342,138.223370879401
20213,772.0,1.17699230556264,2.2230002036721,0.999582455237419,2.26071428571429,166.742351106334,171.0,399.97342,138.416495321257
5301,772.0,1.14974813327138,2.2262216392083,0.931491053155217,2.26428571428571,162.955978533983,147.0,399.97342,139.819899227977
20725,810.6,0.540477431302111,2.76632373444518,0.387215585115554,2.8,165.549597553024,205.0,399.97342,109.701405605209
7341,810.6,1.0252470362322,2.40033060321975,0.809543744384547,2.45,165.549597553024,205.0,399.97342,163.305460508729
3950,810.6,0.795740778566386,2.6207413942089,0.605632481353262,2.66666666666667,165.549597553024,205.0,399.97342,116.529620318208
7200,810.6,1.23680399471551,2.40033060321975,1.0385608977656,2.45,141.851071915866,205.0,399.97342,163.91525898042
16955,810.6,1.29933895216816,2.11110011888848,1.24186674738122,2.13333333333333,168.301046773239,205.0,399.97342,184.546905147894
20453,810.6,1.29933895216816,2.11110011888848,1.24186674738122,2.13333333333333,168.301046773239,205.0,399.97342,184.546905147894
