criticaltemp,gmean_fie,entropy_ThermalConductivity,mean_fie,mean_atomic_radius,wtd_gmean_ElectronAffinity,Key_0_0
29.0,718.15289995213,0.308147989812345,775.425,160.25,99.4146820543113,11446
26.0,720.605510513725,0.847404163195705,766.44,161.2,101.166397739874,6050
19.0,718.15289995213,0.308147989812345,775.425,160.25,101.082152388012,7110
22.0,718.15289995213,0.308147989812345,775.425,160.25,100.24495020209,19035
23.0,718.15289995213,0.308147989812345,775.425,160.25,97.7747186271033,14503
23.0,718.15289995213,0.308147989812345,775.425,160.25,94.5755049409003,6674
11.0,718.15289995213,0.308147989812345,775.425,160.25,87.0279800096084,1957
33.0,734.219624171273,0.403693221013522,787.05,151.75,99.8461688055545,152
36.0,734.219624171273,0.403693221013522,787.05,151.75,98.4119621279586,18202
31.0,734.219624171273,0.403693221013522,787.05,151.75,96.9983566293431,19505
33.0,734.219624171273,0.403693221013522,787.05,151.75,94.231769744878,2517
26.0,768.233304792613,0.396023541769484,821.54,162.4,81.0365778038564,14248
27.0,720.605510513725,0.847404163195705,766.44,161.2,101.124266290975,10563
27.0,720.605510513725,0.847404163195705,766.44,161.2,101.166397739874,12568
26.0,720.605510513725,0.847404163195705,766.44,161.2,101.292897435292,13790
27.0,720.605510513725,0.847404163195705,766.44,161.2,101.504081862562,12760
82.0,708.3233403671,0.85335924532389,753.08,170.4,82.0521594191399,3403
30.0,718.15289995213,0.308147989812345,775.425,160.25,100.24495020209,14918
39.0,734.219624171273,0.403693221013522,787.05,151.75,98.4119621279586,17573
14.8,734.219624171273,0.403693221013522,787.05,151.75,101.301276893401,14883
30.0,734.219624171273,0.403693221013522,787.05,151.75,99.8461688055545,6650
35.5,734.219624171273,0.403693221013522,787.05,151.75,96.2991866807994,21165
23.3,734.219624171273,0.403693221013522,787.05,151.75,95.605056391008,20815
18.2,734.219624171273,0.403693221013522,787.05,151.75,94.231769744878,17109
18.3,734.219624171273,0.403693221013522,787.05,151.75,92.8782092124456,14940
18.3,734.219624171273,0.403693221013522,787.05,151.75,91.5440914445918,5486
37.5,734.219624171273,0.403693221013522,787.05,151.75,97.7026028265426,19964
20.0,747.36961095849,0.726163740164459,797.15,145.5,97.3148845813625,15826
76.9,737.864919527106,0.454622773405078,790.9,167.0,55.5219702339549,5582
65.3,737.864919527106,0.454622773405078,790.9,167.0,77.2535043925741,543
78.6,737.864919527106,0.454622773405078,790.9,167.0,55.4115956166647,16823
79.3,667.000595694566,0.780983684602829,708.95,180.333333333333,76.7845814431789,16376
90.0,741.629348855485,0.336261915781173,794.0,164.5,70.42039083776,5007
90.5,741.629348855485,0.336261915781173,794.0,164.5,70.42039083776,9888
92.0,731.040719484406,0.322568040177833,785.4,168.0,78.4032323726646,16641
93.2,733.544320233598,0.336261915781173,787.4,167.0,73.8227179497364,13328
94.4,733.544320233598,0.336261915781173,787.4,167.0,72.3561390892414,18748
93.2,733.544320233598,0.336261915781173,787.4,167.0,70.918695617063,17657
80.5,733.544320233598,0.336261915781173,787.4,167.0,69.509808722968,20166
48.0,718.15289995213,0.308147989812345,775.425,160.25,89.6892287978803,8557
90.0,741.629348855485,0.336261915781173,794.0,164.5,56.4359293939758,19957
90.0,741.629348855485,0.336261915781173,794.0,164.5,87.5274320220572,17556
92.0,741.629348855485,0.336261915781173,794.0,164.5,85.2073737048872,20884
80.0,741.629348855485,0.336261915781173,794.0,164.5,79.8257520693411,1823
85.0,714.946183650756,0.336261915781173,773.025,163.0,75.319022740624,20197
8.0,720.069665798359,0.315454762294996,776.875,169.25,97.2005565474433,6440
13.0,735.158015772234,0.292895082607709,788.7,169.75,97.2005565474433,16386
91.0,726.596497025721,0.292895082607709,781.9,168.5,97.2005565474433,4995
94.0,728.828770624619,0.329500146289958,783.65,168.0,97.2005565474433,3845
93.0,731.040719484406,0.322568040177833,785.4,168.0,97.2005565474433,7919
93.0,733.544320233598,0.336261915781173,787.4,167.0,97.2005565474433,16239
91.0,708.641979880737,0.329500146289958,768.4,165.75,97.2005565474433,12439
18.0,714.946183650756,0.336261915781173,773.025,163.0,59.7324134723161,6989
43.0,717.820867453222,0.308147989812345,775.175,171.0,60.6524135059113,1404
40.0,735.158015772234,0.292895082607709,788.7,169.75,59.7324134723161,17633
70.0,741.629348855485,0.336261915781173,794.0,164.5,56.4359293939758,1251
95.5,741.629348855485,0.336261915781173,794.0,164.5,92.0594479603723,6093
94.0,741.629348855485,0.336261915781173,794.0,164.5,51.6879293952659,10347
88.0,741.629348855485,0.336261915781173,794.0,164.5,59.013349039334,8091
28.0,768.233304792613,0.396023541769484,821.54,162.4,89.0130810233835,84
35.5,734.219624171273,0.403693221013522,787.05,151.75,98.4119621279586,7780
79.2,693.484881001981,0.568553276442007,740.94,172.6,77.1006585586349,19933
26.0,734.219624171273,0.403693221013522,787.05,151.75,92.8782092124456,6520
92.0,741.629348855485,0.336261915781173,794.0,164.5,70.42039083776,6502
88.0,737.864919527106,0.454622773405078,790.9,167.0,97.2005565474433,19909
71.9,708.641979880737,0.329500146289958,768.4,165.75,100.432415277369,3109
81.0,741.629348855485,0.336261915781173,794.0,164.5,106.188130080912,18433
28.0,718.15289995213,0.308147989812345,775.425,160.25,100.24495020209,4475
34.7,734.219624171273,0.403693221013522,787.05,151.75,98.4119621279586,16875
21.0,718.256499022693,0.573798681319269,761.2,156.6,95.2282851257507,5799
12.0,716.567032895852,0.617315820398695,759.66,155.6,96.8829289884413,11069
22.0,717.073347854148,0.794956311799915,760.12,154.6,96.9152455105895,1319
32.0,730.702157771626,0.48257236493896,773.0,153.6,95.7917287229255,12363
30.0,739.129589643532,0.765711950358612,781.46,152.6,95.6623116256539,12757
16.0,738.934748548927,0.805152770064164,781.26,151.8,96.5771931774659,18832
21.0,734.615272701362,0.789555345837517,776.88,151.2,96.9603578835899,6927
29.0,765.715174475879,0.834028206522204,810.8,149.8,96.3931546574113,5970
36.0,687.000354952822,0.520731020597652,734.96,170.8,97.0532581793677,12057
35.0,688.274127036429,0.545778870808678,735.94,162.6,97.0532581793677,17429
32.0,690.487190067069,0.520731020597652,737.66,169.0,97.0532581793677,149
30.0,703.796852049531,0.507107384079017,748.48,168.0,97.0532581793677,13125
51.0,745.091012254164,0.713636561856581,787.02,162.8,84.6220394929016,7105
33.0,745.091012254164,0.713636561856581,787.02,162.8,82.7471815901688,18283
82.0,745.091012254164,0.713636561856581,787.02,162.8,86.1524654556093,18302
