Key_1_1,wtd_range_fie,wtd_mean_atomic_mass,wtd_range_FusionHeat,wtd_std_ElectronAffinity,wtd_range_atomic_mass,Key_2_5
6547,735.985714285714,57.8626922857143,1.74457142857143,42.55839575195,31.7949208571429,16127
4029,743.164285714286,58.5184161428571,1.59571428571429,41.6676207979191,36.161939,11377
12089,743.164285714286,57.8852418571429,1.75714285714286,41.6398777971212,35.741099,7498
1825,739.575,57.8739670714286,1.74457142857143,42.1023442240235,33.7680099285714,2987
18515,728.807142857143,57.8401427142857,1.74457142857143,43.4520592088545,27.8487427142857,16598
884,714.45,57.7950435714286,1.74457142857143,45.1706826822397,20.6874578571429,18575
9625,678.557142857143,57.6822957142857,1.74457142857143,49.1210946414624,10.7656385714286,13951
3695,742.5,57.1751418571429,1.75714285714286,41.9483102773216,36.451199,20351
12046,738.578571428571,56.8088170714286,1.74457142857143,42.5578923529527,34.8331599285714,1106
15358,734.657142857143,56.4424922857143,1.74457142857143,43.1566826532422,33.2151208571429,15628
2323,726.814285714286,55.7098427142857,1.74457142857143,44.3236295779033,29.9790427142857,7761
17895,728.807142857143,63.713457,1.43185714285714,48.7365276046538,27.8487427142857,17109
15226,745.125,58.201829,1.69714285714286,41.6537833558627,36.9324261428571,8080
2649,743.164285714286,58.5184161428571,1.59571428571429,41.6676207979191,36.161939,1265
10776,743.164285714286,59.4681775714286,1.59571428571429,41.7087251002688,35.741099,15360
6480,743.164285714286,61.0511132857143,1.59571428571429,41.7758761861729,35.741099,19061
5012,684.384615384615,47.5053192307692,2.90353846153846,50.332097732264,14.3039615384615,6751
17977,739.575,57.8739670714286,1.74457142857143,42.1023442240235,33.7680099285714,11496
10618,738.578571428571,56.8088170714286,1.74457142857143,42.5578923529527,34.8331599285714,2289
13236,746.421428571428,57.5414666428571,1.81428571428571,41.3274588914377,38.0692380714286,10198
6302,742.5,57.1751418571429,1.75714285714286,41.9483102773216,36.451199,16552
14194,732.696428571428,56.2593298928571,1.74457142857143,43.4521706227118,32.4061013214286,13477
7050,730.735714285714,56.0761675,1.74457142857143,43.7451243391064,31.5970817857143,7719
5684,726.814285714286,55.7098427142857,1.74457142857143,44.3236295779033,29.9790427142857,4411
374,722.892857142857,55.3435179285714,1.74457142857143,44.8925825073427,28.3610036428571,4955
5153,718.971428571428,54.9771931428571,1.74457142857143,45.4523418439803,26.7429645714286,19354
19506,736.617857142857,56.6256546785714,1.74457142857143,42.858608013631,34.0241403928571,18673
4051,737.712857142857,55.7900599285714,1.74457142857143,42.7003627965159,35.8519170714286,10969
16288,457.275,152.46412,6.1489,29.2398011065397,137.64323,15913
2940,303.15,104.627,3.4095,43.0959147570857,73.87445,4700
3193,346.166666666667,139.466266666667,5.10866666666667,37.369896117095,113.591622222222,8988
11121,325.53,102.84178115,3.235,43.2582434986674,69.64877,10749
1310,355.646666666667,65.8346466666667,4.29266666666667,52.6187592235148,22.1322666666667,20455
638,355.646666666667,65.8346466666667,4.29266666666667,52.6187592235148,22.1322666666667,19585
2261,353.95,77.2794666666667,4.29266666666667,48.1215972823014,22.5433666666667,11061
3649,368.983333333333,75.9783078333333,4.29266666666667,50.4708318610859,24.42105,19930
15057,378.8,75.451521,4.29266666666667,51.2158808107624,26.7098333333333,12787
16516,388.616666666667,74.9247341666667,4.29266666666667,51.9432962402807,28.9986166666667,7801
6307,398.433333333333,74.3979473333333,4.29266666666667,52.6538089790283,31.2874,2159
8822,665.430769230769,55.09179,2.90353846153846,47.4122606044186,12.5121692307692,13334
18309,231.371428571429,81.45675,5.58257142857143,52.6502950744682,36.9506571428571,19262
9965,714.491764705882,48.3803623529412,2.18117647058824,49.8657093626694,11.0197317647059,19210
14599,704.435,49.4136183333333,2.05383333333333,50.9294946401941,11.708465,19628
876,680.011428571428,51.9229542857143,1.74457142857143,53.2361555443559,14.4637714285714,10910
20716,366.833333333333,73.2128,4.29266666666667,49.7073564866297,22.1322666666667,10864
15619,744.108,50.9452,2.4868,44.386373855047,6.8796,14270
8280,740.324,51.36808,2.4868,44.386373855047,6.8796,16644
3607,742.5,51.78808,2.4868,44.386373855047,6.8796,1689
18151,741.94,51.9825056,2.4868,44.386373855047,6.8796,11018
6772,741.38,52.1688,2.4868,44.386373855047,6.8796,9950
6360,740.74,52.3028168,2.4868,44.386373855047,6.8796,14236
15901,746.82,52.785424,2.4868,44.386373855047,6.8796,16254
11181,242.0,94.0176727272727,5.93436363636364,48.5977892909435,35.9983272727273,12015
18442,242.128571428571,90.2359142857143,5.58257142857143,50.3437945834561,36.9506571428571,6572
14343,230.6,96.3827636363636,5.93436363636364,48.5977892909435,35.9983272727273,9769
9700,231.371428571429,81.45675,5.58257142857143,52.6502950744682,36.9506571428571,8404
12315,750.936,46.868971,2.4868,47.6036749526757,13.891429,5111
13572,205.195,78.86562,3.2195,55.5900236103566,37.19825,20587
16594,269.674285714286,73.2809171428571,3.67942857142857,55.0818408907906,30.7414,11292
9788,728.807142857143,60.7767998571429,1.54164285714286,46.2396191604347,29.4358284285714,2000
12098,738.578571428571,56.8088170714286,1.74457142857143,42.5578923529527,34.8331599285714,1509
12871,303.15,102.9195735,3.2195,43.1863099691326,65.22175,14620
10288,722.892857142857,55.3435179285714,1.74457142857143,44.8925825073427,28.3610036428571,1074
