Key_1_2,wtd_gmean_ThermalConductivity,mean_ThermalConductivity,std_atomic_mass,wtd_mean_ThermalConductivity,gmean_ElectronAffinity,Key_2_7
1525,0.62197948704754,107.756645,51.9688277861034,61.0151885714286,60.1231785550982,20907
7150,0.619734632330547,172.205316,47.0946331703134,61.3723314285714,69.8333146094209,3612
18030,0.619094682704274,107.756645,51.9688277861034,60.94376,60.1231785550982,15558
18186,0.620535408483887,107.756645,51.9688277861034,60.9794742857143,60.1231785550982,19174
13381,0.624877733754845,107.756645,51.9688277861034,61.0866171428571,60.1231785550982,16807
6944,0.630714805103745,107.756645,51.9688277861034,61.2294742857143,60.1231785550982,2023
19007,0.645547145403338,107.756645,51.9688277861034,61.5866171428571,60.1231785550982,8388
442,0.625003895937664,112.006645,44.2894585275144,61.1866171428571,48.4772646848066,14318
2924,0.629441022509672,112.006645,44.2894585275144,61.34376,48.4772646848066,12064
412,0.633909649832865,112.006645,44.2894585275144,61.5009028571429,48.4772646848066,18775
5430,0.642942302860948,112.006645,44.2894585275144,61.8151885714286,48.4772646848066,18321
14680,0.529257783997972,87.865316,64.4590043168734,44.2994742857143,28.7376861754751,19388
3638,0.619414574871733,172.205316,47.0946331703134,61.1580457142857,69.8333146094209,7257
8486,0.619734632330547,172.205316,47.0946331703134,61.3723314285714,69.8333146094209,10891
14393,0.620695797309414,172.205316,47.0946331703134,62.0151885714286,69.8333146094209,20912
9306,0.622301052748017,172.205316,47.0946331703134,63.0866171428571,69.8333146094209,8420
6664,1.20267708825327,127.005316,41.8090108966237,103.398927692308,31.6524095958504,8958
13855,0.620535408483887,107.756645,51.9688277861034,60.9794742857143,60.1231785550982,4825
1727,0.629441022509672,112.006645,44.2894585275144,61.34376,48.4772646848066,475
17423,0.620598048058198,112.006645,44.2894585275144,61.0294742857143,48.4772646848066,16314
16238,0.625003895937664,112.006645,44.2894585275144,61.1866171428571,48.4772646848066,6797
11178,0.636155846100244,112.006645,44.2894585275144,61.5794742857143,48.4772646848066,19330
15443,0.638410001542362,112.006645,44.2894585275144,61.6580457142857,48.4772646848066,3271
4643,0.642942302860948,112.006645,44.2894585275144,61.8151885714286,48.4772646848066,47
3676,0.647506780610342,112.006645,44.2894585275144,61.9723314285714,48.4772646848066,7018
17499,0.652103663222555,112.006645,44.2894585275144,62.1294742857143,48.4772646848066,11128
20414,0.631671384637255,112.006645,44.2894585275144,61.4223314285714,48.4772646848066,4992
19330,0.653394774623536,153.256645,46.0590828187331,64.8794742857143,42.5341298772863,7578
19969,32.8888780762287,114.256645,61.4203089521699,72.101329,60.7214928257155,6443
8557,10.8491681517504,114.256645,61.4203089521699,118.456645,60.7214928257155,13940
10646,20.6182969701048,114.256645,61.4203089521699,72.4473977777778,60.7214928257155,6200
10394,10.3602434701382,84.1710966666667,52.8156796260954,117.371645,40.4713809428694,10671
20714,5.71899012324137,108.756645,43.8233541228786,139.20886,53.5279646494387,7161
406,5.71899012324137,108.756645,43.8233541228786,139.20886,53.5279646494387,16444
16630,5.59026355497843,108.256645,59.6638915296974,138.842193333333,60.7214928257155,11894
18098,5.72444085919451,108.756645,60.1661492738256,139.225526666667,60.7214928257155,2288
2864,5.72989679021212,108.756645,60.1661492738256,139.242193333333,60.7214928257155,2472
2404,5.73535792124559,108.756645,60.1661492738256,139.25886,60.7214928257155,9346
667,5.74082425725103,108.756645,60.1661492738256,139.275526666667,60.7214928257155,3441
25,1.07390441706157,107.756645,51.9688277861034,96.0912353846154,60.1231785550982,20229
10431,26.5786364903901,108.756645,43.8233541228786,179.003797142857,53.5279646494387,5195
19603,0.66907775311293,108.756645,43.8233541228786,74.7450470588235,53.5279646494387,13757
12221,0.669888984089299,108.756645,43.8233541228786,71.0821716666667,53.5279646494387,2171
12418,0.671863213755674,108.756645,43.8233541228786,62.1866171428571,53.5279646494387,4292
19995,5.71899012324137,108.756645,53.2860956008225,139.20886,60.7214928257155,18489
5335,0.656852606640012,108.006645,55.3076953283176,83.295948,60.7214928257155,8768
7360,0.644301436540822,107.256645,56.763654304317,83.055948,60.7214928257155,15398
11864,0.644301436540822,107.256645,58.2627140093044,83.055948,60.7214928257155,10537
13269,0.66390705463033,108.506645,58.973428446235,83.455948,60.7214928257155,19106
1071,0.660488082084392,108.256645,59.6638915296974,83.375948,60.7214928257155,20436
17863,0.667134804677043,108.756645,60.1661492738256,83.535948,60.7214928257155,14353
7482,0.66390705463033,108.506645,62.0114329850553,83.455948,60.7214928257155,18633
20143,40.3271285105586,108.756645,53.2860956008225,189.820598181818,60.7214928257155,17344
771,25.5793229276503,107.756645,54.8771367304272,178.432368571429,60.7214928257155,3220
20625,37.2583345566153,107.256645,56.763654304317,188.729689090909,60.7214928257155,1917
3401,26.5786364903901,108.756645,43.8233541228786,179.003797142857,53.5279646494387,1419
589,0.66789788810538,108.756645,43.8233541228786,83.555948,53.5279646494387,8975
19730,7.57399959898114,108.756645,43.8233541228786,108.806645,53.5279646494387,8716
18578,6.71486091467766,108.756645,43.8233541228786,121.836165714286,53.5279646494387,700
3380,0.575083824008956,87.865316,64.4590043168734,52.6930457142857,28.7376861754751,7717
1042,0.629441022509672,112.006645,44.2894585275144,61.34376,48.4772646848066,16319
5197,10.2692890390007,94.005316,57.3804269969151,117.156645,58.2901256971925,16224
1901,0.647506780610342,112.006645,44.2894585275144,61.9723314285714,48.4772646848066,16973
16384,5.71899012324137,108.756645,43.8233541228786,139.20886,53.5279646494387,7569
7659,0.712956205469156,114.256645,61.4203089521699,85.295948,60.7214928257155,5720
11741,0.656091389620344,108.506645,62.0114329850553,61.7866171428571,60.7214928257155,5665
2969,0.388032882188991,108.756645,43.8233541228786,69.5343866666667,53.5279646494387,2009
9692,0.620535408483887,107.756645,51.9688277861034,60.9794742857143,60.1231785550982,7566
18027,0.629441022509672,112.006645,44.2894585275144,61.34376,48.4772646848066,14634
5150,0.620911857497292,94.005316,41.238126623923,58.8009028571429,34.6927529912107,15513
11424,0.631597861841535,95.805316,40.9134180139658,60.97376,49.1810764579576,20534
16068,0.632599564335237,108.405316,40.8099799718028,61.06376,51.5318417278475,4560
16527,0.626795307540739,91.145316,40.54323706565,60.3800457142857,24.1907168067826,9854
7328,0.626607659655769,105.405316,40.4675513114137,59.2080457142857,39.4036247847416,1734
9909,0.627663587067547,109.605316,40.2333117997614,59.3580457142857,51.4375180170299,1227
13867,0.627240905314431,107.805316,40.250191507903,59.29376,57.4684730300687,17869
13501,0.632820286962612,113.605316,39.8634257121224,61.1009028571429,24.1907168067826,5261
11324,0.633909649832865,92.205316,47.2505561290559,61.5009028571429,49.0672740582682,6124
17874,0.636343669850454,93.005316,47.9905976181867,61.5580457142857,49.0672740582682,5808
16164,0.633909649832865,92.205316,49.4132992108188,61.5009028571429,49.0672740582682,7729
10615,0.632398636466656,91.805316,51.1084840251979,61.4723314285714,49.0672740582682,15870
