Key_1_2,mean_FusionHeat,gmean_ThermalConductivity,wtd_entropy_fie,wtd_mean_FusionHeat,wtd_mean_fie,Key_2_8
1525,6.9055,7.06248773046785,0.791487788469155,3.84685714285714,1010.26857142857,15989
7150,7.7844,16.0642278788044,0.807078214938731,3.79685714285714,1010.61285714286,18967
18030,6.9055,7.06248773046785,0.773620193146673,3.82257142857143,1010.82,2361
18186,6.9055,7.06248773046785,0.783206660361291,3.83471428571429,1010.54428571429,17991
13381,6.9055,7.06248773046785,0.805229640813357,3.87114285714286,1009.71714285714,3761
6944,6.9055,7.06248773046785,0.824742649703668,3.91971428571429,1008.61428571429,13217
19007,6.9055,7.06248773046785,0.841871802066264,4.04114285714286,1005.85714285714,400
442,6.9055,8.33981834610162,0.776332032161783,3.82257142857143,1011.48428571429,9749
2924,6.9055,8.33981834610162,0.786865234305601,3.83471428571429,1011.54071428571,14058
412,6.9055,8.33981834610162,0.7959767720407,3.84685714285714,1011.59714285714,5781
5430,6.9055,8.33981834610162,0.811136187493863,3.87114285714286,1011.71,2487
14680,5.9824,7.29426913845031,0.896265618929428,3.40785714285714,1020.90285714286,11975
3638,7.7844,16.0642278788044,0.794064496705543,3.80971428571429,1010.71642857143,10959
8486,7.7844,16.0642278788044,0.807078214938731,3.79685714285714,1010.61285714286,8667
14393,7.7844,16.0642278788044,0.831385674680195,3.75828571428571,1010.30214285714,19651
9306,7.7844,16.0642278788044,0.844440229116872,3.694,1009.78428571429,3673
6664,8.2524,14.5436454295599,0.943576679628931,5.27107692307692,1006.96538461538,17819
13855,6.9055,7.06248773046785,0.783206660361291,3.83471428571429,1010.54428571429,2010
1727,6.9055,8.33981834610162,0.786865234305601,3.83471428571429,1011.54071428571,13075
17423,6.9055,8.33981834610162,0.763668388312443,3.81042857142857,1011.42785714286,20319
16238,6.9055,8.33981834610162,0.776332032161783,3.82257142857143,1011.48428571429,10027
11178,6.9055,8.33981834610162,0.800110719564941,3.85292857142857,1011.62535714286,15032
15443,6.9055,8.33981834610162,0.804001738739379,3.859,1011.65357142857,20218
4643,6.9055,8.33981834610162,0.811136187493863,3.87114285714286,1011.71,19733
3676,6.9055,8.33981834610162,0.817508477887223,3.88328571428571,1011.76642857143,637
17499,6.9055,8.33981834610162,0.823208733235304,3.89542857142857,1011.82285714286,291
20414,6.9055,8.33981834610162,0.791573139297037,3.84078571428571,1011.56892857143,18209
19330,7.0405,12.8942794736024,0.789970807006816,3.84628571428571,1012.40642857143,4086
19969,7.2555,9.29475656886456,0.826283676202007,7.8811,647.68,7078
8557,7.2555,9.29475656886456,1.17791431983646,7.1955,811.0,2494
10646,7.2555,9.29475656886456,1.10166769372817,7.50244444444444,686.511111111111,19302
10394,7.22033333333333,12.2600971840552,1.29061337455195,7.1325,808.447,5891
20714,8.1805,7.55238461047956,1.17577392128513,7.56066666666667,868.586666666667,10247
406,8.1805,7.55238461047956,1.17577392128513,7.56066666666667,868.586666666667,5373
16630,10.3055,7.31972361760292,1.17384540799092,9.09066666666667,866.616666666667,11954
18098,9.5305,7.55238461047956,1.16530072805038,8.134,863.625,2869
2864,9.5305,7.55238461047956,1.15732853750474,7.98733333333333,862.183333333333,19216
2404,9.5305,7.55238461047956,1.14672713648827,7.84066666666667,860.741666666667,13486
667,9.5305,7.55238461047956,1.13314245070015,7.694,859.3,20070
25,6.9055,7.06248773046785,0.877780638464984,4.858,997.907692307692,14972
10431,8.1805,7.55238461047956,1.28243898817756,9.56028571428571,738.357142857143,13238
19603,8.1805,7.55238461047956,0.825170516628035,4.64470588235294,1032.74352941176,19692
12221,8.1805,7.55238461047956,0.834524355551347,4.65283333333333,1027.05666666667,19098
12418,8.1805,7.55238461047956,0.853868085752242,4.67257142857143,1013.24571428571,16168
19995,7.1055,7.55238461047956,1.15948121240893,6.98733333333333,857.4,5119
5335,7.6555,7.19455400938082,0.787305752688947,4.4572,1040.912,3503
