Key_1_1,wtd_gmean_fie,wtd_range_atomic_radius,wtd_std_atomic_mass,mean_Density,wtd_gmean_atomic_mass,Key_2_6
6547,938.016780052204,42.9142857142857,53.6225345301219,4654.35725,36.1166119053847,67
4029,938.745412527433,50.5714285714286,53.9798696513451,5821.4858,36.3966020291995,14937
12089,939.009035665864,49.3142857142857,53.6562677320982,4654.35725,36.1225090359592,20591
1825,938.512776724546,46.1142857142857,53.63940496787,4654.35725,36.1195603503211,5216
18515,937.025572960086,36.5142857142857,53.5887706050743,4654.35725,36.1107157375382,1609
884,935.046299909737,23.7142857142857,53.5211503531322,4654.35725,36.0989262894004,16812
9625,930.116388995673,15.4285714285714,53.3515579773433,4654.35725,36.0694695057962,7473
3695,940.196999785305,49.8,52.9241398674945,4434.35725,35.8913680915719,8559
12046,940.294344338809,46.8428571428571,52.5332069817455,4434.35725,35.7734324182576,18742
15358,940.391698971013,43.8857142857143,52.1367692052591,4434.35725,35.6558842705178,21200
2323,940.586438475689,37.9714285714286,51.3268669881746,4434.35725,35.421945462455,3060
17895,949.165190419892,40.0285714285714,60.9030999494508,6430.2858,37.9342310251462,7573
15226,938.877214843953,51.75,53.8192430704523,5821.4858,36.2592965414108,12322
2649,938.745412527433,50.5714285714286,53.9798696513451,5821.4858,36.3966020291995,13947
10776,938.350116584238,49.3142857142857,54.4478632018492,5821.4858,36.8116460385351,6251
6480,937.691659877668,49.3142857142857,55.1827253459345,5821.4858,37.5139302399351,19059
5012,943.328777591012,26.0,40.7277630997463,3698.6858,33.3190727483359,12326
17977,938.512776724546,46.1142857142857,53.63940496787,4654.35725,36.1195603503211,8711
10618,940.294344338809,46.8428571428571,52.5332069817455,4434.35725,35.7734324182576,11481
13236,940.099665309456,52.7571428571429,53.3096889687425,4434.35725,36.0096925680314,545
6302,940.196999785305,49.8,52.9241398674945,4434.35725,35.8913680915719,10806
14194,940.440380066952,42.4071428571429,51.9364466580431,4434.35725,35.5972551206457,19289
7050,940.489063682958,40.9285714285714,51.7346999879263,4434.35725,35.5387223749798,15294
5684,940.586438475689,37.9714285714286,51.3268669881746,4434.35725,35.421945462455,18981
374,940.683823350249,35.0142857142857,50.9131316961109,4434.35725,35.3055522679253,8271
5153,940.781218307683,32.0571428571429,50.4933490243224,4434.35725,35.1895415305294,19097
19506,940.343020395009,45.3642857142857,52.3356839826981,4434.35725,35.7146099833749,13164
4051,941.726157610762,47.3785714285714,52.3865965336534,4164.35725,35.1788295937542,20343
16288,634.513943738143,175.2,45.5234592654557,4760.35725,137.387467131856,114
2940,765.267222534948,87.9,67.4248022521386,4760.35725,73.4289831765329,3414
3193,659.59463200443,142.666666666667,55.5591231631474,4760.35725,115.819574924474,5383
11121,761.883386738609,88.815,66.1905647021307,4636.23816666667,72.5430728034325,13556
1310,810.835777778831,34.6,43.8497276094712,4235.85725,48.9559936648586,4523
638,810.835777778831,34.6,43.8497276094712,4235.85725,48.9559936648586,7822
2261,808.543501862101,32.3333333333333,57.1397877038019,5384.35725,53.6111195184815,8685
3649,803.978231711222,38.8166666666667,55.4457449358474,5447.85725,53.1469252817524,3796
15057,801.852774520411,43.0333333333333,54.7052785250714,5447.85725,52.9637568451237,20681
16516,799.732936347743,47.25,53.9495074749036,5447.85725,52.7812196900977,2511
6307,797.618702338358,52.6666666666667,53.1777792534454,5447.85725,52.5993116409916,549
8822,928.325409806207,23.9230769230769,49.1949951911837,4654.35725,36.1552112429797,9591
18309,702.424196542615,65.4285714285714,40.6122928726987,4235.85725,68.2296174829281,2446
9965,966.028030239743,15.7647058823529,43.9187562773408,4235.85725,32.4876206818544,2628
14599,958.927828020883,16.75,44.7198266826164,4235.85725,32.9962776738169,1810
876,941.900982976533,22.6571428571429,46.5125345491842,4235.85725,34.2649914406573,3772
20716,795.143794146561,34.6,51.1574609998059,4870.35725,52.2188603720756,11427
15619,974.044721430737,11.88,49.7622655788098,4428.85725,32.6700523751374,6897
8280,980.529975904899,11.72,50.633756052752,5093.10725,32.7595423255238,19656
3607,976.861307541287,12.12,51.5242337624695,5255.60725,32.8457242570066,3494
18151,977.820672619618,12.28,51.9445073406819,5316.60725,32.8847552212223,19790
6772,978.769333860581,12.28,52.3518294612137,5384.35725,32.9216605807418,10008
6360,979.840726894317,12.6,52.6475890649094,5447.85725,32.9479184066728,3927
15901,969.071123246613,13.0,53.7310096333153,5578.10725,33.0405315317033,6556
11181,662.562296217489,64.6363636363636,44.1088783680707,4870.35725,80.285294584177,12567
18442,689.448525312811,65.4285714285714,47.3560390137589,4956.10725,73.5483982707117,15977
14343,676.132886030662,64.6363636363636,46.9929228514498,5093.10725,81.555638174518,18046
9700,702.424196542615,65.4285714285714,40.6122928726987,4235.85725,68.2296174829281,10279
12315,979.306042331044,22.7,43.3472093765044,4235.85725,31.5719577064091,7073
13572,734.151747249523,63.9,45.7405096457189,4235.85725,60.6611761030062,15619
16594,766.085842950285,51.3428571428571,45.4002347081707,4235.85725,55.3361196944535,11065
9788,943.075848692441,43.6928571428571,57.4377568710925,6430.2858,37.0112446868672,17622
12098,940.294344338809,46.8428571428571,52.5332069817455,4434.35725,35.7734324182576,5280
12871,761.134001728179,79.05,66.0895348168993,5037.4858,72.6263803195269,8942
10288,940.683823350249,35.0142857142857,50.9131316961109,4434.35725,35.3055522679253,11101
4087,810.835777778831,34.6,43.8497276094712,4235.85725,48.9559936648586,19072
3665,981.683854335301,12.6,53.3844295503474,4760.35725,33.0114883095383,18520
17953,925.241567081205,48.5714285714286,68.0204983861522,5578.10725,38.3249900875423,19202
19913,1049.42274125445,27.7833333333333,31.3582883818848,4235.85725,26.9910212378555,11219
16021,938.512776724546,46.1142857142857,53.63940496787,4654.35725,36.1195603503211,12242
5828,940.294344338809,46.8428571428571,52.5332069817455,4434.35725,35.7734324182576,4649
372,939.555905980413,48.8857142857143,52.1382298560301,4448.8858,35.5837954075815,573
21089,940.208665482826,49.8985714285714,52.136489365428,4769.4858,35.6446245891041,17836
1805,940.213409080596,49.9057142857143,52.1363461405974,4985.4858,35.6456680142076,16508
9099,940.288026886182,49.6828571428571,52.1354427824092,5041.4858,35.6410587887378,2775
7850,940.517648037223,49.0285714285714,52.133307971551,5122.2858,35.6229982184753,3049
675,940.508792312802,49.0571428571429,52.1337271033013,5327.4858,35.6366964995179,17175
4464,940.311887301529,49.0785714285714,52.1336481012563,5329.0858,35.6356586646108,14126
8448,940.654285347295,49.94,52.1371721879743,4975.4858,35.6573335765932,18741
2702,940.026859393421,43.8285714285714,52.1825302086091,4875.4858,35.6631746480574,10450
8042,940.151245942925,44.4142857142857,52.2610471228364,4949.4858,35.6750920790742,2515
14437,940.366848816635,43.9571428571429,52.4125762454586,5018.0858,35.6962689676715,5007
10110,941.650137596818,44.0285714285714,52.5947027052043,5127.6858,35.7191241764007,14576
14568,937.762044166009,37.1230769230769,44.1750423852583,4963.4858,34.8832309627221,16252
1172,937.96493977809,35.3230769230769,44.157774140714,4963.4858,34.831273265642,20480
6849,937.599759277099,38.5630769230769,44.188723472037,4963.4858,34.9248529185312,14143
8012,937.640327866235,38.2030769230769,44.1853143191682,4963.4858,34.9144427760361,6045
1344,937.721470310613,37.4830769230769,44.1784737775005,4963.4858,34.8936317990563,19228
14730,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,905
14862,918.048111216102,32.2307692307692,43.4068549078437,3780.6858,36.854392128874,15723
7026,934.295339062983,32.8461538461538,43.2935145207529,3389.3286,37.1402456046513,7323
5991,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,1795
315,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,16037
3269,935.034325726886,21.0,51.7743616374933,5093.10725,36.5018478008209,16078
18452,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,9436
17901,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,9163
13823,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,11372
10167,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,17892
20956,955.626605497615,20.0,52.1109432308238,5316.60725,34.5308774180451,13127
110,958.230284297368,34.6285714285714,50.2977332347945,4968.8858,34.2735694452065,2962
14322,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,5311
493,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,5435
6630,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,11634
7389,950.254974044032,34.4193548387097,46.1438991768191,5102.6858,33.783479318845,11108
14948,973.7726636002,7.58,49.7471436649573,4956.10725,32.6719399810269,20522
910,973.070255674631,11.32,49.5029996056966,4956.10725,32.6423305828975,11881
5433,1111.08299997752,28.6066666666667,40.4812349220353,4956.10725,23.759673601754,10082
20638,971.666959454156,21.14,49.0100233502046,4956.10725,32.5831922641015,3621
13922,970.966070428571,26.05,48.7611437568265,4956.10725,32.5536632948197,4413
1266,970.265686972739,30.96,48.510637187553,4956.10725,32.5241610865754,5982
20885,972.368354414441,16.23,49.2573006292824,4956.10725,32.6127480186952,599
4085,980.630154267995,19.6,42.8498072789617,4235.85725,31.4805763636058,5183
16617,955.894400816729,11.6923076923077,67.5296234688155,5342.85725,38.1560202706869,4683
6091,783.844635520963,42.75,71.191170776491,5342.85725,65.6863575421637,20377
19972,696.675756303839,65.4285714285714,50.6740486799663,5384.35725,74.676058552684,18239
17307,695.470420481985,65.4285714285714,50.1884759583107,5316.60725,74.5266382026861,20884
6824,698.91519999395,65.4285714285714,48.6494182758937,5093.10725,74.020664849634,12624
15648,935.114076729286,22.7906976744186,44.2535665434991,4235.85725,35.147400203827,5842
5516,694.871753007314,55.2857142857143,48.8125159677123,4428.85725,74.1947767189921,5804
11551,707.333523192287,55.2857142857143,50.2426030162569,5093.10725,74.7404075524011,19234
7595,712.667096487998,55.2857142857143,37.6616031500607,4235.85725,66.1432292182881,15104
18434,709.565324319914,55.2857142857143,54.808414215451,4760.35725,76.2900353717751,11607
3016,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,5614
16006,937.34497747783,36.0576923076923,44.171171004727,5170.2858,34.8819387410997,5811
6407,936.639410120744,38.4692307692308,44.2109336256527,3928.6858,34.8203557969568,9373
16054,935.72053014077,38.0153846153846,44.2292868814489,3928.6858,34.7058233964108,10933
16884,940.294344338809,46.8428571428571,52.5332069817455,4434.35725,35.7734324182576,10881
15484,940.254441788688,51.0035714285714,52.5317819426731,5329.0858,35.763284836787,3176
16839,940.214540931878,50.4714285714286,52.530351147226,5329.0858,35.7531401338048,4387
5410,935.536862347962,37.9246153846154,44.2329029641563,3928.6858,34.682962162917,18503
7957,935.353230606364,37.8338461538462,44.2365008678402,3928.6858,34.6601159884521,3426
10473,935.169634908901,37.7430769230769,44.2400805969361,3928.6858,34.6372848630965,819
9130,935.077850574508,37.6976923076923,44.241863647393,3928.6858,34.6258749407366,7688
1337,934.252196836029,37.2892307692308,44.2577067771637,3928.6858,34.5233546262287,1749
17044,937.559192443233,22.6153846153846,44.1921252152174,4235.85725,34.93526616493,3194
8230,932.637282988302,22.96875,44.3141564162387,4235.85725,35.3641673473087,12972
14964,933.41989500172,21.5384615384615,53.3182231896719,5384.35725,36.6755216155718,20253
16580,940.916514980407,37.9436834094368,44.2576538067725,3388.70378,33.6401527827151,11
6486,948.826807968454,35.6498516320475,44.3854941552617,3388.70378,30.7916766002748,2200
8963,960.298121893067,32.3571428571429,44.5066822042372,3388.70378,27.1191606527435,18912
17267,980.630154267995,19.6,42.8498072789617,4235.85725,31.4805763636058,13372
12145,931.543849023371,20.9923664122137,50.9211647420374,4428.85725,36.1781896133552,290
4121,936.97825719872,20.8715596330275,51.7123001752911,5093.10725,36.3181699033182,1613
10873,927.191961825924,21.6848673946958,52.7152316992445,5255.60725,37.0217438521198,19983
9769,925.296601237215,22.029897718332,53.1824933234058,5316.60725,37.335111507101,18288
10258,928.957725259096,21.8408736349454,53.4648859573051,5384.35725,37.1051959124959,12804
16789,925.647394299182,22.4505928853755,53.8709968396721,5447.85725,37.5566164581195,3613
2421,928.891752731465,22.3446105428796,54.4959792359421,4760.35725,37.4766138109453,1788
3207,924.525057808176,22.2307692307692,54.566241304048,5578.10725,36.8028446101478,5184
20808,930.632629913306,23.1132075471698,44.3619780098503,4235.85725,35.5410169664183,16296
15079,930.980236914462,22.7963525835866,49.7939488967835,4870.35725,35.9013051566889,16186
2255,930.898981056916,20.4424103737605,50.6836680333266,4956.10725,36.1264284388063,19067
20855,940.294344338809,46.8428571428571,52.5332069817455,4434.35725,35.7734324182576,20613
14631,940.294344338809,46.8428571428571,52.5332069817455,4434.35725,35.7734324182576,8840
4351,929.512593307635,37.7828481510621,44.4060181471629,5170.2858,35.5812687997071,5544
19012,948.261504788432,30.3087557603687,44.3206325954615,4816.6858,35.0715919501963,8247
19141,930.359116040358,37.6851851851852,44.7279038866236,5486.6858,35.7753803955939,10688
