age,credit_amount,other_payment_plans,personal_status
67.0,1169.0,none,male single
22.0,5951.0,none,female div/dep/mar
49.0,2096.0,none,male single
45.0,7882.0,none,male single
53.0,4870.0,none,male single
35.0,9055.0,none,male single
53.0,2835.0,none,male single
35.0,6948.0,none,male single
61.0,3059.0,none,male div/sep
28.0,5234.0,none,male mar/wid
25.0,1295.0,none,female div/dep/mar
24.0,4308.0,none,female div/dep/mar
22.0,1567.0,none,female div/dep/mar
60.0,1199.0,none,male single
28.0,1403.0,none,female div/dep/mar
32.0,1282.0,none,female div/dep/mar
53.0,2424.0,none,male single
25.0,8072.0,bank,male single
44.0,12579.0,none,female div/dep/mar
31.0,3430.0,none,male single
48.0,2134.0,none,male single
44.0,2647.0,none,male single
48.0,2241.0,none,male single
44.0,1804.0,none,male single
26.0,2069.0,none,male mar/wid
36.0,1374.0,bank,male single
39.0,426.0,none,male mar/wid
42.0,409.0,none,female div/dep/mar
34.0,2415.0,none,male single
63.0,6836.0,none,male single
36.0,1913.0,bank,male mar/wid
27.0,4020.0,stores,male single
30.0,5866.0,none,male single
57.0,1264.0,none,male single
33.0,1474.0,bank,female div/dep/mar
25.0,4746.0,none,male single
31.0,6110.0,bank,male single
37.0,2100.0,stores,male single
37.0,1225.0,none,male single
24.0,458.0,none,male single
30.0,2333.0,bank,male single
26.0,1158.0,none,male div/sep
44.0,6204.0,none,male single
24.0,6187.0,none,male mar/wid
58.0,6143.0,stores,female div/dep/mar
35.0,1393.0,none,female div/dep/mar
39.0,2299.0,none,male single
23.0,1352.0,none,female div/dep/mar
39.0,7228.0,none,male single
28.0,2073.0,none,female div/dep/mar
29.0,2333.0,bank,male single
30.0,5965.0,none,male single
25.0,1262.0,none,male single
31.0,3378.0,none,male single
57.0,2225.0,bank,male single
26.0,783.0,stores,male single
52.0,6468.0,none,male single
31.0,9566.0,stores,female div/dep/mar
23.0,1961.0,none,female div/dep/mar
23.0,6229.0,none,female div/dep/mar
27.0,1391.0,bank,male mar/wid
50.0,1537.0,none,male single
61.0,1953.0,none,male single
25.0,14421.0,none,male single
26.0,3181.0,none,female div/dep/mar
48.0,5190.0,none,male single
29.0,2171.0,bank,female div/dep/mar
22.0,1007.0,none,male mar/wid
37.0,1819.0,stores,male single
25.0,2394.0,none,female div/dep/mar
30.0,8133.0,bank,female div/dep/mar
46.0,730.0,none,male single
51.0,1164.0,bank,male single
41.0,5954.0,bank,female div/dep/mar
40.0,1977.0,none,male single
66.0,1526.0,none,male single
34.0,3965.0,none,male single
51.0,4771.0,none,male single
39.0,9436.0,none,male single
22.0,3832.0,none,male mar/wid
44.0,5943.0,none,female div/dep/mar
47.0,1213.0,stores,male single
24.0,1568.0,none,female div/dep/mar
58.0,1755.0,none,female div/dep/mar
52.0,2315.0,none,male single
29.0,1412.0,none,female div/dep/mar
27.0,1295.0,none,female div/dep/mar
47.0,12612.0,none,male single
30.0,2249.0,none,male single
28.0,1108.0,none,male single
56.0,618.0,none,male single
54.0,1409.0,none,male single
33.0,797.0,bank,female div/dep/mar
20.0,3617.0,none,male single
54.0,1318.0,none,male single
58.0,15945.0,none,male single
61.0,2012.0,none,female div/dep/mar
34.0,2622.0,none,male single
36.0,2337.0,none,male single
36.0,7057.0,bank,male single
41.0,1469.0,none,male mar/wid
24.0,2323.0,none,male single
