Project Name,Category,Borough,Managing Agency
26th Ward Waste Water Treatment Plant Preliminary Treatment Improvements,Wastewater Treatment,Brooklyn,DEP
New Ferry Boat Construction,Ferries,,DOT
Gerritsen Inlet Bridge Replacement,Bridges,Brooklyn,DOT
Bruckner Expressway Westchester Creek Bridge Reconstruction,"Bridges, Streets and Roadways",Bronx,DOT
Fresh Creek Bridge Replacement,Bridges,Brooklyn,DOT
Roosevelt Avenue Bridge Superstructure and Substructure Repairs,Bridges,Queens,DOT
Broadway Bridge over Harlem River Replacement,Bridges,"Bronx, Manhattan",DOT
Rockaway Parkway Bridge Replacement,Bridges,Brooklyn,DOT
Henry Hudson Parkway Viaduct Reconstruction (West 72nd to 82nd Streets),"Bridges, Streets and Roadways",Manhattan,DOT
Westchester Avenue Bridge over Hutch River Parkway Rehabilitation,"Bridges, Streets and Roadways",Bronx,DOT
Riverside Drive/West 158th Street Bridge Rehabilitation,"Bridges, Streets and Roadways",Manhattan,DOT
Madison Avenue Bridge Reconstruction,Bridges,"Manhattan, Bronx",DOT
Macombs Dam Bridge Rehabilitation,Bridges,"Manhattan, Bronx",DOT
Long Island Railroad Atlantic Avenue Bridge Rehabilitation,Bridges,Brooklyn,DOT
Grand Concourse Metro North Railroad Bridge Construction,Bridges,Bronx,DOT
49th Avenue Bridge Replacement,"Bridges, Streets and Roadways",Queens,DOT
Ozone Park Street Reconstruction,Streets and Roadways,Queens,DDC
Third Water Tunnel Water Main Shaft Installation,Water Supply,Manhattan,DDC
Rosedale Area Roadway Reconstruction,Streets and Roadways,Queens,DDC
Bergen Avenue Street Reconstruction,Streets and Roadways,Brooklyn,DDC
"West 30th Street Trunk Water Main Installations, Phase 2",Water Supply,Manhattan,DDC
"Pelham Parkway Roadway Reconstruction, Phase 2",Streets and Roadways,Bronx,DDC
Pugsley Creek Sewer Relief and Water Main Repair,Sewers,Bronx,DDC
Queens Water Main New Installations,Water Supply,Queens,DDC
Wyckoff Avenue Street Reconstruction,Streets and Roadways,Brooklyn,DDC
Dumbo and Vinegar Hill Area Roadway Reconstruction and Renovation,Streets and Roadways,Brooklyn,DDC
Edgewood Triangle Roadway Reconstruction,Streets and Roadways,Queens,DDC
Roma and Hett Avenue Storm and Sanitary Sewer Installation,Sewers,Staten Island,DDC
Emergency Communications Transformation Program (ECTP) Upgrades and Enhancements,IT,Citywide,DOITT
Worth Street Roadway Reconstruction,Streets and Roadways,Manhattan,DDC
Dutch Kills and Lower Newtown Creek Enhanced Aeration Work,Wastewater Treatment,Queens,DEP
Wards Island Water Pollution Control Plant final Settling Tank Rehabilitation,Wastewater Treatment,Manhattan,DEP
"West 59th Street Marine Transfer Station Construction, Phase 2",Sanitation,Manhattan,DDC
Battery Park Underpass Sandy Flood Damage Repair,Streets and Roadways,Manhattan,DOT
Hannah Street Pumping Station Construction,Wastewater Treatment,Staten Island,DEP
Coney Island Biological Nutrient Construction,Wastewater Treatment,Brooklyn,DEP
Flatbush Avenue Trunk Watermain Replacement,Wastewater Treatment,Brooklyn,DDC
"Fresh Creek Basin Sewers Construction, Phase II",Sewers,Brooklyn,DDC
Baisley Boulevard Sewers and Watermain Construction,Sewers,Queens,DDC
"Fresh Creek Basin Sewers Construction, Phase III",Sewers,Brooklyn,DDC
South Beach Reconstruction,Streets and Roadways,Staten Island,DDC
2nd Avenue Watermain Trunk Construction,Water Supply,Manhattan,DDC
Francis Lewis Boulevard Construction,Water Supply,Queens,DDC
"Fresh Creek Basin Sewers Construction, Phase I",Sewers,Brooklyn,DDC
Green Infrastructure Construction,Sewers,Citywide,EDC
Electronic Medical Records Upgrade,"Health and Hospitals, IT",Citywide,HHC
"Gilboa Dam Reconstruction, Phase III",Water Supply,Upstate,DEP
"Gilboa Dam Reconstruction, Phase IV",Water Supply,Upstate,DEP
Rondout-West Branch Bypass Tunnel Construction Project 2,Water Supply,Marlboro,DEP
North River Wastewater Treatment Plant Cogeneration and Electrification,Wastewater Treatment,New York,DEP
Southern Boulevard Trunk Water Main Replacement,Water Supply,Bronx,DDC
Gansevoort Area Roadway Reconstruction,Streets and Roadways,Manhattan,DDC
Hudson Yards Cultural Shed Facility New Construction,Arts and Culture,Manhattan,DDC
20th Avenue Storm and Sanitary Sewer Construction,Sewers,Queens,DDC
Replacement of the Esopus & Route 28A Railroad Bridges,Bridges,Olive,DEP
Reconstruction of the Port Jervis Wastewater Treatment Plant,Wastewater Treatment,Port Jervis,DEP
Jerome Reservoir and Aqueduct Rehabilitation,Water Supply,Bronx,DEP
Oakwood Beach WWTP Sludge Thickening Improvements,Wastewater Treatment,Staten Island,DEP
Oakwood Beach WWTP Headworks Improvements,Wastewater Treatment,Staten Island,DEP
Primary Treatment Improvement at Wards Island WWTP,Wastewater Treatment,Manhattan,DEP
Reconstruction of Power Distribution at Wards Island WWTP,Wastewater Treatment,Manhattan,DEP
Bainbridge Avenue Trunk Water Main,Water Supply,Bronx,DDC
Queens Long Island City Distribution Water Main,Water Supply,Queens,DDC
"Gilboa Dam Reconstruction, Phase V",Water Supply,Upstate,DEP
"4th Avenue Safety Improvements, Phase 1 (Great Streets)",Streets and Roadways,Brooklyn,DOT
"Ped Safety Upgrades on Atlantic Avenue, Phase 1",Streets and Roadways,Brooklyn,DDC
"Atlantic Avenue - Pedestrian Safety Upgrades, Phase 2 (Great Streets)",Streets and Roadways,"Brooklyn, Queens",DOT
"Grand Concourse, Phase 3",Streets and Roadways,,DDC
"Grand Concourse Reconstruction, Phase 4 (Great Streets)",Streets and Roadways,,DDC
Queens Boulevard Reconstruction (Great Streets),Streets and Roadways,,DOT
Catskill Aqueduct Repair and Rehabilitation,Water Supply,Citywide,DEP
DBCD South Site Cultural Fit-Out,Arts and Culture,Brooklyn,EDC
Hunters Point Street Reconstruction (Long Island City),Streets and Roadways,,DOT
Brookville-Edgewood Triangle Reconstruction,Streets and Roadways,,DOT
"FDR Rehabilitation, Northbound (East 42nd to 49th Streets)",Streets and Roadways,,DOT
West Tremont Avenue over Metro North Railroad,Streets and Roadways,Bronx,DOT
"5th Avenue Bridge Reconstruction over LIRR and Sea Beach, Brooklyn",Bridges,Brooklyn,DOT
Pelham Parkway Bridge Reconstruction over Hutchinson Parkway,"Bridges, Streets and Roadways",Bronx,DOT
Restack of 345 Adams St.,Other Government Facilities,Brooklyn,DCAS
Brooklyn Civil Court move to 210 Joralemon St,Public Safety and Criminal Justice,Brooklyn,DCAS
