Union Code,Union Description,Bargaining Unit Description
23,PRINCIPAL ADMINISTRATIVE ASSOC,Communication Wrkrs of America
124,"L420,L2507,L3627 DC37 HOSPITAL",District Council 37
775,MGRL TEMP - PROP NC,Non-Union
129,ACCOUNTING AND EDP TITLES DC37,District Council 37
121,L237 INSTITUTIONAL TITLES,Intl Brotherhood of Teamsters
19,ATTORNEYSCSBA 237 IBT,Intl Brotherhood of Teamsters
772,NON COMPETITIVE MANAGER,Non-Union
665,TEMPORARY OJ,Non-Union
993,OJ & NON-MGRL TEMP - PROP EX,Non-Union
883,MGRL TEMP - PROP EX,Non-Union
81,DETECTIVE INVESTIGATORS PBA DA,Patrolmen's Bnvlnt Assoc of DA
681,DA-NON-MAYOR SALARY/TEMPORARY,Non-Union
679,DA-NON-MAYOR SALARY/NON-COMPET,Non-Union
128,CLERICAL TITLES DC37,District Council 37
130,HEALTH SERVICE TITLES DC37,District Council 37
76,STAFF NURSES - UFT,United Federation of Teachers
75,STAFF NURSE NEW YORK STATE NUR,New York State Nurses Assoc
3,SOCIAL SERVICE TITLES DC 37L37,District Council 37
779,BOE MANAGERIAL/EXEMPT,Non-Union
403,UNIQUE TITLES DB OF ED,Non-Union
180,STAFF ANALYSTS,Organization of Staff Analysts
660,PART TIME OJ,Non-Union
414,DISTR BUSN MG BD ED LOCAL 1180,Communication Wrkrs of America
4,ENGINEERS DC 37 L375 CSTG,District Council 37
774,UNCLASSIFIED MANAGER,Non-Union
773,EXEMPT MANAGER,Non-Union
991,EXEMPT NON MANAGERIAL,Non-Union
771,COMPETITIVE MANAGER,Non-Union
790,HA COMPETITIVE MANAGER,Non-Union
177,EMS-FIRE PROTECTION INSPECTORS,District Council 37
430,EDUCATION ANALYST- DOE,Non-Union
183,SCHOOL SECURITY/TRAFFIC,Non-Union
133,REAL ESTATE TITLES DC387,District Council 37
45,ELECTRICAL INSPECTORS L3 IBEW,Intl Brthd of Electrical Wrkrs
131,SUPERVISORY MAINTENANCE TITLES,District Council 37
97,BUYERS L300 SEIU,Service Employees Int'l Union
992,UNCLASSIFIED NON OJ & NON MANA,Non-Union
668,OJ COOPERATIVE TRAINEES,Non-Union
