Key_0_0,own_telephone,existing_credits,other_payment_plans,Key_1_2
941,yes,2.0,none,234
825,none,1.0,none,170
281,none,1.0,none,509
607,none,1.0,none,268
1,none,2.0,none,412
925,yes,1.0,none,910
770,none,1.0,none,371
723,yes,1.0,none,436
668,none,1.0,none,221
811,none,2.0,none,917
803,none,1.0,none,342
330,none,1.0,none,511
679,yes,1.0,none,344
111,none,2.0,none,832
699,none,1.0,none,810
701,none,1.0,none,269
834,none,2.0,none,814
140,none,3.0,bank,307
915,yes,1.0,none,396
802,yes,1.0,none,217
79,yes,3.0,none,565
357,none,1.0,none,770
5,none,2.0,none,563
76,none,1.0,none,187
373,none,2.0,none,937
844,yes,1.0,bank,893
896,none,1.0,none,186
57,none,2.0,none,927
8,none,1.0,none,173
15,yes,2.0,none,998
720,yes,1.0,bank,591
407,none,1.0,stores,896
557,yes,2.0,none,865
25,none,1.0,none,265
194,yes,1.0,bank,755
450,none,2.0,none,809
402,yes,1.0,bank,886
411,none,1.0,stores,486
319,yes,1.0,none,129
366,none,1.0,none,856
824,none,1.0,bank,395
99,yes,1.0,none,833
906,yes,1.0,none,973
282,none,2.0,none,726
176,none,2.0,stores,315
173,none,2.0,none,553
151,none,1.0,none,546
171,yes,1.0,none,925
589,none,2.0,none,128
164,none,1.0,none,723
418,none,1.0,bank,209
860,yes,2.0,none,484
311,none,1.0,none,372
206,yes,1.0,none,849
290,yes,2.0,bank,972
736,none,1.0,stores,575
256,yes,1.0,none,746
95,none,2.0,stores,171
651,none,1.0,none,908
719,yes,2.0,none,291
954,yes,1.0,bank,157
523,yes,2.0,none,607
591,yes,1.0,none,441
160,yes,1.0,none,122
264,yes,1.0,none,318
827,yes,4.0,none,37
643,none,1.0,bank,781
683,none,1.0,none,633
7,yes,1.0,stores,111
952,none,1.0,none,696
75,none,1.0,bank,402
340,yes,2.0,none,283
190,yes,2.0,bank,735
288,none,2.0,bank,711
133,yes,1.0,none,386
55,none,2.0,none,479
386,none,1.0,none,685
564,none,1.0,none,605
608,none,1.0,none,230
782,none,1.0,none,277
715,yes,2.0,none,889
266,yes,1.0,stores,796
486,none,1.0,none,717
665,yes,1.0,none,378
423,none,1.0,none,313
284,yes,2.0,none,131
468,none,2.0,none,60
398,yes,1.0,none,778
943,yes,1.0,none,722
996,none,2.0,none,622
660,none,1.0,none,999
122,none,1.0,none,895
420,none,1.0,bank,105
166,none,2.0,none,743
848,yes,1.0,none,701
42,yes,1.0,none,292
586,none,1.0,none,668
795,none,1.0,none,941
148,none,1.0,none,984
590,yes,2.0,bank,212
177,none,1.0,none,914
717,none,1.0,none,338
692,none,1.0,none,580
382,yes,1.0,none,987
849,yes,1.0,none,577
894,yes,2.0,none,526
278,yes,2.0,bank,96
912,none,1.0,none,507
553,yes,1.0,none,447
752,yes,1.0,none,287
570,none,2.0,bank,811
452,yes,1.0,none,206
990,none,1.0,none,16
955,yes,2.0,stores,920
385,none,1.0,none,736
440,yes,1.0,none,68
216,yes,1.0,none,516
71,none,2.0,none,294
794,none,2.0,none,36
335,yes,1.0,none,557
588,yes,2.0,none,127
671,yes,2.0,none,79
697,none,1.0,none,301
574,yes,2.0,none,993
511,none,1.0,none,826
78,none,2.0,none,316
551,none,1.0,none,979
819,none,1.0,none,818
192,yes,2.0,none,881
162,none,2.0,none,792
234,none,1.0,none,190
299,yes,1.0,stores,219
312,none,2.0,bank,568
54,none,2.0,bank,876
968,yes,1.0,none,409
470,yes,2.0,none,34
272,none,2.0,none,902
742,none,1.0,none,137
241,yes,3.0,bank,747
238,yes,1.0,none,656
857,none,1.0,none,235
512,yes,1.0,none,616
391,none,1.0,none,349
191,none,1.0,none,831
449,yes,1.0,none,686
415,none,1.0,none,47
460,yes,2.0,none,690
38,yes,2.0,none,261
578,none,2.0,none,975
672,none,2.0,none,903
873,yes,1.0,bank,916
869,yes,1.0,none,188
83,none,1.0,none,22
842,none,1.0,none,740
645,yes,1.0,none,854
605,none,1.0,none,482
34,none,2.0,none,8
890,none,1.0,bank,446
714,yes,2.0,bank,756
106,none,2.0,none,110
592,yes,1.0,none,389
254,none,2.0,none,539
430,yes,2.0,none,273
973,yes,1.0,bank,310
970,none,1.0,none,376
964,yes,1.0,none,933
769,none,1.0,none,991
476,none,1.0,none,149
188,yes,1.0,none,847
542,yes,2.0,none,100
972,none,2.0,none,40
580,yes,1.0,none,63
690,yes,1.0,none,636
728,none,1.0,none,237
654,none,2.0,none,548
977,yes,1.0,bank,243
368,none,1.0,none,343
30,none,2.0,none,719
575,yes,2.0,none,572
213,none,2.0,none,223
424,none,2.0,none,31
400,yes,2.0,stores,522
426,none,2.0,none,364
3,yes,1.0,none,799
479,yes,1.0,bank,19
585,none,2.0,none,665
507,yes,1.0,bank,549
104,yes,3.0,none,698
181,none,1.0,none,671
567,yes,2.0,bank,762
0,yes,3.0,none,179
334,none,1.0,none,709
117,yes,1.0,none,247
409,none,1.0,none,952
840,none,1.0,none,957
70,yes,2.0,none,465
777,yes,2.0,none,297
876,none,4.0,bank,594
237,yes,1.0,bank,25
258,yes,1.0,none,693
374,yes,2.0,none,35
693,none,1.0,none,958
201,none,2.0,none,672
136,none,1.0,none,435
198,none,2.0,none,6
491,yes,3.0,none,250
572,yes,3.0,none,244
982,none,1.0,none,771
772,none,1.0,stores,560
482,none,1.0,none,325
616,none,2.0,none,718
331,yes,1.0,none,164
346,yes,2.0,stores,862
236,yes,1.0,none,216
535,yes,1.0,none,793
751,none,2.0,none,518
936,yes,1.0,bank,464
342,yes,1.0,none,626
295,none,1.0,none,676
471,yes,1.0,none,306
37,none,1.0,bank,192
686,yes,1.0,bank,727
297,none,2.0,bank,101
833,yes,2.0,none,264
540,yes,1.0,none,232
647,none,2.0,none,202
120,yes,2.0,bank,657
444,yes,1.0,none,703
620,none,1.0,none,62
504,none,1.0,bank,1
684,none,1.0,none,880
922,none,1.0,none,52
293,none,1.0,none,390
924,none,1.0,none,455
93,none,3.0,none,928
927,none,1.0,stores,564
984,yes,1.0,none,290
957,none,2.0,bank,619
741,none,2.0,none,699
436,none,1.0,none,713
182,none,1.0,bank,892
184,none,1.0,none,229
688,none,2.0,none,403
381,none,2.0,none,58
210,none,1.0,none,794
323,yes,1.0,none,373
88,none,3.0,none,73
328,none,1.0,bank,81
709,none,1.0,none,571
631,none,1.0,none,651
815,yes,2.0,none,93
611,none,1.0,none,246
646,none,1.0,bank,909
979,none,2.0,none,462
369,yes,1.0,none,356
877,none,1.0,none,104
370,none,2.0,none,595
639,none,1.0,none,629
344,yes,1.0,none,167
775,none,3.0,none,321
920,none,1.0,none,169
704,none,1.0,none,946
706,yes,3.0,none,977
159,none,3.0,bank,606
492,none,2.0,none,425
405,none,1.0,none,758
596,none,2.0,none,589
387,yes,1.0,stores,830
891,yes,1.0,none,254
401,none,2.0,none,673
928,none,1.0,none,480
108,yes,1.0,none,193
65,yes,1.0,none,528
308,none,2.0,none,767
316,yes,1.0,none,540
593,none,1.0,none,829
229,none,2.0,none,808
144,yes,1.0,none,843
533,none,1.0,none,66
550,yes,1.0,none,766
439,yes,2.0,none,494
726,none,1.0,none,643
427,none,1.0,bank,912
940,none,1.0,none,117
727,yes,1.0,none,559
637,yes,1.0,none,923
798,none,1.0,none,704
552,yes,1.0,none,457
375,yes,2.0,none,674
350,none,1.0,stores,761
931,yes,1.0,none,473
506,yes,1.0,none,368
910,yes,2.0,none,468
675,none,1.0,none,496
623,none,2.0,bank,573
942,yes,1.0,none,708
638,none,1.0,none,875
244,none,1.0,none,78
461,yes,1.0,none,12
918,yes,2.0,none,596
621,yes,1.0,none,222
132,yes,1.0,none,870
754,none,2.0,bank,642
445,yes,2.0,none,337
563,none,1.0,bank,370
642,none,1.0,none,275
351,none,1.0,stores,54
700,yes,1.0,none,942
60,none,1.0,none,274
270,none,1.0,none,661
320,yes,1.0,bank,147
669,none,1.0,stores,667
217,none,1.0,none,345
367,none,1.0,bank,328
343,none,1.0,none,420
761,none,1.0,bank,452
565,none,1.0,none,214
823,yes,1.0,none,281
766,none,2.0,none,965
283,none,2.0,none,160
797,none,2.0,none,860
624,none,1.0,none,177
459,yes,1.0,none,992
384,none,1.0,none,256
755,none,2.0,none,966
142,none,2.0,none,943
810,yes,1.0,none,501
983,yes,1.0,none,791
863,none,1.0,none,383
490,none,1.0,none,65
412,yes,2.0,none,499
767,none,2.0,none,603
183,none,1.0,none,460
235,none,2.0,bank,904
77,none,2.0,bank,311
999,yes,1.0,none,783
740,none,1.0,none,120
571,none,1.0,none,367
48,none,1.0,none,57
453,none,1.0,none,41
289,yes,2.0,none,241
167,none,1.0,none,456
497,none,1.0,none,543
634,yes,1.0,bank,189
758,none,1.0,none,197
656,none,1.0,none,970
921,none,2.0,none,647
16,none,1.0,none,950
493,none,2.0,none,245
618,none,2.0,none,962
97,yes,1.0,none,262
