Key_0_0,housing,other_parties,job,Key_1_1
941,own,none,skilled,860
825,own,none,skilled,884
281,own,none,unskilled resident,142
607,for free,guarantor,skilled,398
1,for free,none,skilled,668
925,for free,none,unskilled resident,121
770,own,none,skilled,369
723,rent,none,high qualif/self emp/mgmt,228
668,own,none,unskilled resident,547
811,own,none,high qualif/self emp/mgmt,463
803,rent,none,skilled,43
330,rent,none,skilled,265
679,own,none,skilled,477
111,own,none,unskilled resident,382
699,rent,none,skilled,826
701,own,none,unskilled resident,231
834,own,none,skilled,77
140,own,none,skilled,851
915,for free,none,high qualif/self emp/mgmt,914
802,own,none,skilled,710
79,own,none,skilled,493
357,rent,none,skilled,25
5,rent,none,unskilled resident,854
76,own,none,skilled,41
373,own,none,skilled,624
844,own,none,unskilled resident,245
896,own,none,unskilled resident,403
57,rent,none,skilled,431
8,own,guarantor,skilled,316
15,own,none,skilled,522
720,own,none,skilled,585
407,own,none,skilled,126
557,own,none,skilled,571
25,rent,none,unskilled resident,348
194,own,none,high qualif/self emp/mgmt,882
450,own,none,unskilled resident,179
402,for free,none,skilled,924
411,own,co applicant,skilled,110
319,own,none,skilled,983
366,own,none,skilled,82
824,own,none,high qualif/self emp/mgmt,725
99,own,none,skilled,119
906,own,none,unskilled resident,16
282,rent,none,skilled,984
176,for free,none,unskilled resident,341
173,own,none,high qualif/self emp/mgmt,427
151,own,none,skilled,520
171,rent,none,unemp/unskilled non res,214
589,own,none,unskilled resident,99
164,own,co applicant,skilled,100
418,own,none,unskilled resident,942
860,own,none,high qualif/self emp/mgmt,324
311,own,none,skilled,731
206,own,none,skilled,419
290,for free,none,skilled,219
736,own,guarantor,unskilled resident,821
256,own,none,high qualif/self emp/mgmt,342
95,own,none,skilled,441
651,own,none,high qualif/self emp/mgmt,69
719,rent,co applicant,unskilled resident,676
954,own,none,skilled,230
523,own,guarantor,skilled,86
591,for free,none,high qualif/self emp/mgmt,237
160,own,none,skilled,154
264,own,none,skilled,838
827,own,none,skilled,686
643,own,none,skilled,10
683,own,none,skilled,201
7,for free,none,skilled,694
952,own,none,skilled,397
75,own,none,skilled,958
340,rent,none,unskilled resident,244
