credit/table_0_0.class,credit/table_0_0.residence_since,credit/table_0_0.num_dependents,credit/table_0_0.employment,Key_0_0
bad,4.0,1.0,>=7,15
bad,1.0,1.0,<1,363
good,4.0,1.0,1<=X<4,509
bad,4.0,1.0,1<=X<4,633
good,2.0,1.0,1<=X<4,84
bad,4.0,1.0,4<=X<7,908
good,2.0,1.0,1<=X<4,964
bad,1.0,1.0,unemployed,673
bad,4.0,1.0,1<=X<4,40
good,2.0,1.0,<1,307
good,4.0,2.0,>=7,827
good,1.0,1.0,<1,512
bad,2.0,1.0,<1,231
bad,2.0,2.0,1<=X<4,178
good,4.0,1.0,unemployed,458
bad,2.0,1.0,1<=X<4,767
good,4.0,1.0,1<=X<4,271
bad,4.0,1.0,unemployed,631
good,2.0,1.0,1<=X<4,29
good,4.0,1.0,>=7,900
good,2.0,1.0,1<=X<4,642
good,1.0,2.0,4<=X<7,771
good,3.0,1.0,1<=X<4,734
good,2.0,1.0,1<=X<4,164
good,4.0,1.0,<1,131
good,3.0,2.0,4<=X<7,281
good,4.0,1.0,>=7,548
good,4.0,1.0,<1,97
good,1.0,1.0,>=7,600
good,3.0,1.0,unemployed,403
good,1.0,2.0,<1,758
good,3.0,1.0,>=7,100
good,1.0,1.0,<1,858
good,3.0,1.0,4<=X<7,657
good,4.0,1.0,>=7,25
good,2.0,1.0,1<=X<4,407
good,4.0,1.0,>=7,922
bad,2.0,1.0,>=7,163
bad,2.0,2.0,1<=X<4,117
bad,4.0,1.0,1<=X<4,235
good,4.0,2.0,4<=X<7,607
good,1.0,2.0,>=7,198
good,1.0,1.0,<1,502
good,2.0,1.0,<1,902
good,4.0,1.0,4<=X<7,351
good,2.0,1.0,>=7,752
good,4.0,1.0,4<=X<7,416
good,4.0,1.0,4<=X<7,564
good,4.0,1.0,>=7,423
good,3.0,2.0,4<=X<7,798
good,4.0,1.0,1<=X<4,486
good,4.0,2.0,>=7,371
bad,3.0,1.0,1<=X<4,805
good,3.0,1.0,1<=X<4,127
bad,1.0,1.0,>=7,143
good,2.0,1.0,1<=X<4,384
good,4.0,1.0,>=7,396
good,2.0,2.0,1<=X<4,689
bad,4.0,1.0,<1,923
good,4.0,2.0,1<=X<4,925
bad,4.0,2.0,1<=X<4,750
good,4.0,2.0,1<=X<4,36
good,4.0,1.0,1<=X<4,795
good,4.0,1.0,>=7,596
bad,2.0,1.0,1<=X<4,625
good,2.0,1.0,>=7,261
good,4.0,1.0,>=7,517
good,4.0,1.0,4<=X<7,722
bad,3.0,1.0,1<=X<4,762
bad,4.0,1.0,unemployed,45
good,2.0,1.0,>=7,389
bad,4.0,1.0,1<=X<4,794
bad,4.0,1.0,>=7,667
good,4.0,1.0,4<=X<7,815
good,4.0,1.0,4<=X<7,253
bad,2.0,1.0,unemployed,811
good,1.0,1.0,1<=X<4,777
bad,2.0,1.0,1<=X<4,233
good,3.0,1.0,>=7,266
bad,2.0,1.0,<1,784
good,1.0,1.0,1<=X<4,58
good,4.0,1.0,<1,518
good,3.0,2.0,>=7,436
good,2.0,1.0,1<=X<4,931
good,4.0,1.0,>=7,331
good,2.0,1.0,1<=X<4,676
bad,4.0,1.0,4<=X<7,341
bad,3.0,1.0,1<=X<4,469
bad,4.0,1.0,>=7,444
good,3.0,2.0,unemployed,938
bad,4.0,2.0,<1,505
bad,4.0,2.0,>=7,630
good,4.0,2.0,>=7,796
good,1.0,1.0,4<=X<7,791
good,2.0,1.0,1<=X<4,903
good,2.0,1.0,1<=X<4,765
bad,3.0,1.0,<1,496
good,4.0,1.0,>=7,137
good,2.0,1.0,1<=X<4,723
bad,4.0,1.0,1<=X<4,605
good,4.0,1.0,>=7,425
good,4.0,1.0,>=7,814
good,4.0,1.0,>=7,801
good,3.0,2.0,4<=X<7,527
good,2.0,1.0,>=7,822
bad,4.0,1.0,>=7,275
bad,4.0,2.0,>=7,77
good,1.0,1.0,4<=X<7,333
good,1.0,1.0,1<=X<4,262
good,2.0,1.0,>=7,930
bad,3.0,1.0,>=7,743
good,1.0,2.0,4<=X<7,186
good,3.0,2.0,<1,92
bad,3.0,1.0,<1,50
good,4.0,1.0,>=7,988
good,4.0,1.0,>=7,763
bad,2.0,1.0,4<=X<7,620
good,4.0,1.0,unemployed,735
bad,3.0,1.0,>=7,864
bad,4.0,1.0,unemployed,346
good,1.0,1.0,<1,782
good,2.0,1.0,1<=X<4,578
bad,2.0,2.0,4<=X<7,754
