bioresponse/table_1_1.D139,bioresponse/table_1_1.D184,bioresponse/table_1_1.D203,bioresponse/table_1_1.D865,bioresponse/table_1_1.D770,bioresponse/table_1_1.D585,bioresponse/table_1_1.D815,bioresponse/table_1_1.D767,bioresponse/table_1_1.D107,bioresponse/table_1_1.D188,bioresponse/table_1_1.Key_1_1,Key_0_0
0.0952,0.0,0.0836,0.0,0.0,0.111111111,0.0,0.0,0.69879863,0.0,3332,2946
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.743325193,0.0,1304,3270
0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.560272704,0.0,853,1848
0.0952,0.0,0.0836,0.0,0.0,0.222222222,0.0,0.0,0.515842443,0.0,2248,1407
0.19047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.71125624,0.0,2860,147
0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.57490439,0.0,620,1631
0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.73369815,0.0,169,2490
0.119047619,0.0,0.791977269,0.0,0.0,0.0,0.0,0.0,0.748951012,0.0,950,1260
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.602212263,0.0,2499,1384
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.671639083,0.0,2360,629
0.19047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.633966336,0.0,2147,1077
0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.663334136,0.0,1680,2280
0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.575985883,0.0,35,307
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.666171615,0.0,1867,3406
0.0952,0.0,0.580946014,0.0,0.0,0.0,0.0,0.0,0.6431803,0.0,1640,995
0.142857143,0.0,0.0836,0.0,0.121212121,0.0,0.0625,0.307692308,0.559389509,0.0,2049,2370
0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.76952013,0.0,2129,2561
0.0238,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.408153674,0.0,1390,213
0.285714286,0.0,0.792378405,0.0,0.0,0.0,0.0,0.0,0.781394158,0.0,2555,500
0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.759165129,0.0,474,255
0.0714,0.0,0.0836,0.0,0.0,0.0,0.0,0.0769,0.68488427,0.0,1089,3103
0.119047619,0.0,0.0836,0.0588,0.0,0.0,0.0,0.0,0.655331461,0.0,2352,1617
0.166666667,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.779665818,0.0,886,708
0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.153846154,0.662842452,0.0,1125,238
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.562203823,0.0,442,3142
0.142857143,0.0,0.75671068,0.0,0.0,0.0,0.0,0.0,0.778947658,0.0,408,1675
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.739376449,0.0,2299,1361
0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.682591943,0.0,2936,70
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.657574726,0.0,2332,2054
0.214285714,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.404651123,0.0,1963,2974
0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.539762217,0.0,1713,2677
0.0238,0.0,0.0836,0.0,0.0,0.111111111,0.0,0.0,0.354019892,0.0,1175,2586
0.0476,0.0,0.373859268,0.0,0.0,0.0,0.0,0.0769,0.631949472,0.0,664,2954
0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.49977717,0.0,2776,1574
0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.572159871,0.0,352,483
0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.756405725,0.0,3263,2032
0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.638503446,0.0,1761,195
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.661836298,0.0,2518,2769
0.166666667,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.567865945,0.0,81,1621
0.0238,0.0,0.0836,0.235294118,0.0,0.0,0.0,0.0,0.272455732,0.0,2170,1841
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.773915218,0.0,2614,2992
0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.763191188,0.0,2768,2874
0.119047619,0.0,0.0836,0.117647059,0.0,0.0,0.0,0.0,0.676727724,0.0,1906,938
0.119047619,0.0,0.639712519,0.0,0.0,0.0,0.0,0.0,0.622491261,0.0,534,1626
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.775859628,0.0,813,1287
0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.76795766,0.0,2922,2958
0.30952381,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.636600731,0.0,2222,473
0.0476,0.0,0.0836,0.0,0.0,0.0,0.0,0.0769,0.588284839,0.0,2108,1600
0.19047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.682811507,0.0,2480,1167
0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.760905696,0.0,2511,1688
0.142857143,0.0,0.0836,0.0,0.121212121,0.0,0.375,0.0769,0.547002606,0.0,141,1127
0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.230769231,0.627035814,0.0,41,630
0.0238,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.757059102,0.0,413,1875
0.0238,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.56224643,0.0,2188,1807
0.0952,0.0,0.0836,0.0,0.0606,0.0,0.0625,0.0,0.572530191,0.0,1,1154
0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.697030038,0.0,1592,1545
0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.579634558,0.0,1578,1970
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.348305518,0.0,1549,685
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.792107479,0.0,2469,829
0.0952,0.0,0.0836,0.0,0.0303,0.0,0.0,0.153846154,0.646811279,0.0,2400,731
0.214285714,0.0,0.0836,0.0,0.0606,0.0,0.0625,0.0,0.572947979,0.0,2470,2119
0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.717950794,0.0,2294,1786
0.404761905,0.0,0.0836,0.0,0.0,0.222222222,0.0,0.0,0.34066048,0.0,3430,2514
0.333333333,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.771556968,0.0,3169,686
0.19047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.669304454,0.0,2329,2095
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0769,0.652936985,0.0,1850,3174
0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.787979575,0.0,1465,458
0.285714286,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.631924485,0.0,2612,711
0.166666667,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.726303436,0.0,1176,2840
0.0,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.607369637,0.0,2151,2618
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.767846472,0.0,1033,2092
0.357142857,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.615991513,0.0,1496,189
0.0238,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.717144382,0.0,2689,306
0.0952,0.0,0.0836,0.117647059,0.0,0.0,0.0,0.0,0.638450511,0.0,2508,3196
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.760729878,0.0,2454,972
0.0952,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.580664712,0.0,2673,2549
0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.6281167,0.0,2286,233
0.0238,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.57397555,0.0,1679,2488
0.0,0.0,0.774928965,0.0,0.0,0.0,0.0,0.0,0.637315018,0.0,3050,809
0.119047619,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.718923531,0.0,668,2291
0.142857143,0.0,0.0836,0.0,0.0,0.0,0.0,0.0,0.665559705,0.0,2186,1592
