steel/table11.V13,steel/table11.V14,steel/table11.V27,steel/table11.V28,steel/table11.V29,steel/table11.V32,V3,Class
1,40,0.3068,0,0,0,260124,2
1,50,0.1441,0,0,0,1789332,1
1,40,1.0,0,0,0,2708878,1
1,40,0.8223,0,0,0,86408,1
0,70,0.2083,0,1,0,530968,1
1,40,1.0,0,0,0,590440,1
1,40,1.0,0,0,0,1359602,1
1,40,1.0,0,0,0,696884,1
1,50,0.1284,0,0,0,1436089,1
1,40,1.0,0,0,0,1505915,1
1,40,0.215,0,0,0,6712,2
0,100,0.4138,1,0,0,4270168,1
0,100,0.215,1,0,0,1553913,1
1,40,1.0,0,0,0,4440514,1
0,100,0.9172,0,0,0,1969029,2
0,100,1.0,0,0,0,4737382,2
1,175,0.3977,0,1,0,737538,1
0,100,0.9856,0,0,0,4532922,1
1,40,1.0,0,0,0,1863816,1
1,40,0.2051,0,0,0,2451285,1
0,69,0.3819,0,0,0,1094338,2
1,40,1.0,0,0,0,2698232,1
0,70,0.2408,0,1,0,1723382,1
0,70,1.0,0,1,0,425023,1
1,50,0.3012,0,0,0,3020344,1
0,70,0.6453,0,1,0,1323717,1
1,40,0.5378,0,0,0,151240,2
1,300,0.6015,0,0,0,178458,2
1,40,0.7359,0,0,0,1133715,2
0,70,0.2051,0,0,0,961360,1
1,100,0.9998,0,0,1,2113679,1
1,40,0.6031,0,0,0,2286293,2
1,40,0.9899,0,0,0,289647,2
1,40,1.0,0,0,0,862475,1
0,70,0.9979,0,1,0,1747625,1
0,80,0.266,0,0,0,399348,2
0,100,0.1852,0,0,0,2636449,2
1,200,1.0,0,0,0,395521,2
0,70,0.2173,0,1,0,1398904,1
1,40,1.0,0,0,0,844714,1
0,70,0.9905,0,0,0,2191536,2
0,70,0.1892,0,0,0,2615295,2
1,50,0.2942,0,0,0,4174907,2
0,70,0.3678,0,1,0,2445033,1
1,40,0.1696,0,0,0,928256,1
0,80,0.2105,0,0,0,1671950,2
1,40,0.3945,0,0,0,997542,1
1,40,1.0,0,0,0,1853169,1
1,40,1.0,0,0,0,4639210,1
1,40,1.0,0,0,0,7783272,1
1,50,0.5822,0,0,0,673270,2
1,40,1.0,0,0,0,684933,1
1,40,0.7436,0,0,0,5303273,1
1,50,0.3068,0,0,0,4807459,1
1,150,0.8627,0,0,0,1120537,2
0,70,0.9718,0,0,0,1554711,2
1,40,1.0,0,0,0,2627229,1
1,200,0.4106,0,0,0,393457,2
0,70,0.2901,0,1,0,387402,1
1,300,0.4963,0,0,0,220228,2
0,70,0.3663,0,1,0,204933,1
0,70,0.3601,0,1,0,2001776,1
1,40,1.0,0,0,0,2616577,1
0,60,0.1954,0,0,0,2690125,1
0,70,0.2253,0,1,0,2097257,1
1,70,0.3601,0,0,0,1207379,2
0,70,0.1696,0,0,0,1973168,1
1,40,0.3977,0,0,0,3204829,2
1,100,0.3241,0,0,1,2197352,1
0,70,0.1923,0,0,0,3212692,2
1,40,0.7844,0,0,0,929482,2
1,100,0.556,0,0,0,356611,1
1,120,0.5063,0,0,0,1545468,1
1,40,0.3663,0,0,0,5798193,1
1,40,1.0,0,0,0,965451,1
1,40,0.1773,0,0,0,519257,1
1,40,0.215,0,0,0,603596,1
1,40,1.0,0,0,0,1704636,1
0,80,0.7776,0,0,0,4387848,1
1,40,0.2532,0,0,0,4118358,1
1,220,1.0,0,0,0,310621,2
0,70,0.9082,0,1,0,287835,1
1,40,1.0,0,0,0,409491,1
1,40,0.965,0,0,0,2212600,2
0,100,0.9991,0,0,0,2527319,2
1,185,0.9993,0,0,0,281358,2
1,40,0.9998,0,1,0,1317364,1
0,80,1.0,0,0,0,5367324,2
0,60,0.2408,0,0,0,3378464,1
1,40,0.3494,0,0,0,261713,1
0,80,0.2173,0,0,0,1248676,1
1,40,1.0,0,0,0,1814642,1
0,69,0.4963,0,0,0,1612840,1
1,50,0.1292,0,0,0,1292292,1
1,40,0.8848,0,0,0,473414,1
0,70,0.3977,0,1,0,618132,1
1,150,1.0,1,0,0,491552,1
0,70,0.9884,0,1,0,1647143,1
0,200,0.7079,0,0,0,5060301,2
1,50,0.14,0,0,0,1028213,1
0,60,0.1934,0,0,0,1294968,1
0,300,0.1954,0,0,0,344819,2
1,200,1.0,0,0,0,313092,2
1,40,0.33,0,0,0,11066410,2
0,60,0.1773,0,0,0,414919,1
0,69,0.1852,0,0,1,5948468,1
1,60,0.33,0,0,0,289529,2
1,40,0.6693,0,0,0,4625112,1
1,40,1.0,0,0,0,1565555,1
0,100,0.4498,0,0,0,2128940,2
0,70,0.2051,0,1,0,634279,1
1,40,0.9685,0,0,0,1124976,2
1,130,0.1753,0,0,0,66318,2
0,70,0.3068,0,0,0,433186,1
0,70,0.1852,0,0,0,1292098,2
0,143,1.0,0,0,0,1506506,2
1,70,1.0,0,0,0,401768,2
1,50,0.4779,0,0,0,1198171,2
1,40,1.0,0,0,0,1721788,1
1,220,1.0,0,0,0,233467,2
0,143,0.1812,0,0,0,664879,2
1,40,0.3097,0,0,0,1143416,2
0,80,0.9996,0,0,0,864919,2
0,60,0.3068,0,0,0,484193,1
1,70,1.0,0,0,0,1019477,2
0,69,0.2583,0,0,0,6042280,2
1,50,0.1322,0,0,0,888672,1
1,40,1.0,0,0,0,65059,1
1,40,0.7889,1,0,0,3884411,1
0,70,0.2712,0,1,0,1761692,1
1,70,0.3509,1,0,0,3375744,1
1,120,0.8861,0,0,1,68445,1
1,70,0.3241,0,0,0,3051375,2
1,40,0.2482,0,0,0,801872,1
1,125,0.6015,1,0,0,2094748,1
1,40,0.2532,0,0,1,1682919,1
1,40,1.0,0,0,0,2112377,1
1,40,0.9263,0,0,0,1563477,2
0,70,0.266,0,0,0,75224,1
1,50,0.3977,0,0,0,483796,1
0,70,0.5461,0,0,0,70219,1
1,40,1.0,0,0,0,3997970,2
1,40,0.5345,0,0,0,1003575,2
1,40,1.0,0,0,0,601086,1
0,60,0.4366,0,0,0,3581245,1
0,100,0.2792,1,0,0,11430396,1
1,175,0.3601,0,0,0,74495,2
0,70,0.8336,0,0,0,850713,1
1,40,0.2792,0,0,0,409908,1
1,40,1.0,0,0,0,920427,1
1,40,1.0,0,0,0,1810559,1
0,143,0.266,0,0,0,1219062,1
1,40,1.0,0,0,0,2289914,1
1,40,0.2583,0,0,0,2150440,2
1,50,0.1353,0,0,0,1311529,1
1,40,0.7598,0,0,0,244048,2
0,100,0.2105,0,0,0,1314894,2
0,80,0.2061,0,0,0,3706296,1
0,70,0.3601,0,1,0,2457919,1
1,100,0.266,0,0,1,2237084,1
1,40,1.0,0,0,0,652969,1
1,40,0.2469,0,0,0,531684,2
0,80,0.8123,0,0,0,1312199,1
0,70,0.9985,0,1,0,2433660,1
0,70,0.2532,0,1,0,1072228,1
1,130,0.2288,0,0,0,945792,2
0,100,1.0,0,0,0,4689395,2
0,70,0.9848,0,0,0,2978904,2
1,50,0.43,0,0,0,2922516,1
1,100,0.9891,0,0,1,2046094,1
1,40,0.9212,1,0,0,12917033,1
1,40,1.0,0,0,0,728912,1
0,80,0.1954,0,0,0,2702154,1
1,50,0.1322,0,0,0,858604,1
1,40,0.803,0,0,0,12416454,2
1,50,0.1353,0,0,0,972384,1
1,40,1.0,0,0,0,366881,1
1,175,1.0,0,0,0,338690,2
1,100,0.5029,0,0,0,594752,1
1,200,0.3834,0,0,0,444148,2
1,40,0.8927,0,0,0,4373281,2
0,80,0.3601,0,0,0,2195695,2
0,70,0.4089,0,1,0,1924923,1
0,100,0.223,0,0,0,1215744,2
1,40,1.0,0,0,0,2886302,1
1,50,0.133,0,0,0,1378585,1
0,150,0.5461,0,0,0,702237,2
1,40,0.6438,0,0,0,3780021,2
0,100,0.2901,0,0,0,1592233,1
1,40,0.2686,0,0,0,1225386,1
1,40,0.2051,0,0,0,893638,2
1,40,0.8952,0,0,0,2867489,2
0,143,0.2348,0,0,0,883635,2
0,100,0.2469,0,0,0,3597508,1
1,40,1.0,0,0,0,7818756,1
0,100,0.6514,0,0,0,595201,1
1,70,0.767,0,0,0,1314158,2
0,100,0.9537,0,0,0,4639384,2
0,200,0.9765,0,0,0,3948212,1
1,40,1.0,0,0,0,1945494,1
1,40,0.3678,0,0,0,1074472,2
0,70,0.43,0,1,0,1798152,1
0,120,0.1862,0,0,0,1338444,2
1,40,0.2914,0,0,0,185575,1
1,120,0.23,0,0,0,866291,2
0,70,0.1892,0,1,0,1184511,1
1,40,1.0,0,0,0,310065,1
1,40,0.1965,0,0,0,1465420,2
1,100,0.9961,0,0,1,1970774,1
0,70,0.9917,0,1,0,802771,1
1,185,0.2901,0,0,0,114430,2
1,40,0.417,0,0,0,9737743,2
0,100,0.2018,1,0,0,1094617,1
0,143,0.2806,0,0,0,276547,2
0,300,0.3329,0,0,0,960191,2
0,60,0.5162,0,0,0,2629644,2
1,40,0.1822,0,0,0,251869,1
1,40,1.0,0,0,0,2265059,1
1,40,1.0,0,0,0,1853674,1
1,40,0.1954,0,0,0,455871,1
1,40,0.2288,0,0,0,2634035,2
0,211,0.1965,0,0,0,766963,2
1,40,0.8958,0,0,0,172567,2
1,300,0.7037,0,0,0,195161,2
1,50,0.1292,0,0,0,249736,1
1,90,0.3068,1,0,0,487568,1
0,80,0.5212,0,0,0,3134228,1
1,40,1.0,0,0,0,7797464,1
1,40,1.0,0,0,0,2573973,1
1,40,1.0,0,0,0,2399992,1
1,40,0.2482,1,0,0,161967,1
0,80,0.1773,0,0,0,1204128,1
1,70,1.0,0,0,0,374730,2
1,40,0.2432,0,0,0,908164,1
0,70,0.2792,0,0,0,2077064,2
1,200,0.3241,1,0,0,33796,1
0,100,0.1965,0,0,0,176554,2
0,100,0.1892,0,1,0,750387,1
1,150,1.0,1,0,0,138468,1
1,40,1.0,0,0,0,4348250,1
0,80,0.2253,0,0,0,2591828,1
1,175,0.7933,0,0,0,697863,1
1,40,0.3601,0,0,1,1543653,1
1,40,1.0,0,0,0,1370247,1
1,40,1.0,0,0,0,1913522,1
0,150,0.2288,0,0,0,348556,2
0,70,0.3068,0,1,0,1939590,1
1,200,0.3329,0,0,0,31146,2
1,185,0.3068,0,0,0,173208,2
1,40,0.633,0,0,0,707576,2
0,70,0.6422,0,0,0,1974176,2
1,40,1.0,0,0,0,7300641,1
1,200,0.1449,0,0,0,18324,2
1,40,0.417,0,0,0,456228,2
0,70,0.2901,0,0,0,2115318,1
0,70,0.257,0,0,0,699354,1
1,100,0.2288,0,0,1,2224908,1
0,80,0.3241,0,0,0,508200,2
1,250,0.4138,0,0,0,220121,2
0,70,0.1965,0,1,0,2857887,1
1,40,0.1852,0,0,0,4186980,1
0,200,0.7955,0,0,0,5071808,2
1,100,0.3068,0,0,0,80480,2
0,60,0.9917,0,0,0,2455610,1
1,300,1.0,0,0,0,508368,2
0,70,0.2532,0,1,0,319303,1
1,40,1.0,0,0,0,2875657,1
1,40,0.3882,0,0,0,695980,2
1,220,0.2532,1,0,0,837868,1
1,40,1.0,0,0,0,982032,2
0,69,0.1934,0,0,0,1146871,2
1,40,1.0,0,0,0,1448373,1
1,50,0.9537,0,0,0,1410869,2
0,69,0.5063,1,0,0,4157586,1
1,40,0.1862,0,0,0,2382642,2
1,40,1.0,0,0,0,2002718,1
0,70,0.2288,0,1,0,1009876,1
1,90,0.4763,1,0,0,188768,1
1,175,0.6514,0,0,0,165248,2
0,200,0.5096,0,0,0,4085316,1
0,60,0.2288,0,0,0,1593977,1
0,70,0.2359,0,1,0,274230,1
1,40,1.0,0,0,0,3711661,1
1,40,1.0,0,0,0,899231,1
0,300,0.2914,0,0,0,428222,2
1,150,0.2998,1,0,0,844704,1
1,40,1.0,0,0,0,979651,1
1,200,0.4366,0,0,0,402394,2
0,70,0.2173,0,1,0,1913635,1
0,69,0.2007,0,0,0,1312943,2
1,40,1.0,0,0,0,1040020,1
1,60,0.2061,0,0,0,94662,2
1,40,1.0,0,0,0,4419228,1
1,40,1.0,0,0,0,2364667,1
1,40,0.9691,1,0,0,2378173,1
0,60,0.5378,0,0,0,2315017,1
0,60,0.5212,0,0,0,1250608,1
0,70,1.0,0,1,0,908862,1
1,50,0.124,0,0,0,224240,1
0,70,0.5329,0,1,0,2837245,1
1,40,1.0,0,0,0,398837,1
1,50,0.2116,0,0,0,1264388,1
1,40,1.0,0,0,0,4401486,1
1,70,0.5378,0,0,0,1689271,2
1,175,0.4399,0,1,0,882674,1
1,40,1.0,0,0,0,1825287,1
1,40,0.6995,1,0,0,12725281,1
0,80,0.8705,0,0,0,1044255,1
1,40,0.1852,0,0,0,211983,1
1,60,1.0,1,0,0,417618,1
0,60,0.2583,1,0,0,43036,1
1,40,1.0,0,0,0,1597511,1
0,70,0.3241,1,0,0,1488612,1
1,40,1.0,0,0,0,139939,1
0,100,0.6015,0,0,0,2240409,2
0,70,0.6268,0,0,0,96205,1
1,40,0.2482,0,0,0,548048,2
1,40,0.6173,0,0,0,657468,2
0,80,0.9998,0,0,0,1041924,2
1,40,1.0,0,0,0,2204696,1
1,40,0.2359,0,0,0,2039121,1
0,70,0.5029,0,1,0,350481,1
0,100,0.8355,0,0,0,2134924,1
0,70,0.2173,0,0,0,4048592,1
1,40,0.3197,0,0,0,964339,1
0,100,0.2739,0,0,0,652754,2
0,80,1.0,0,0,0,808169,2
1,40,1.0,0,0,0,2641432,1
1,175,1.0,0,1,0,1183612,1
1,175,0.266,0,0,0,210828,2
0,143,0.2583,0,0,0,712437,2
1,100,0.417,0,0,0,288152,1
1,40,0.4138,0,0,0,473262,2
0,60,0.1862,0,0,0,3426581,1
1,40,1.0,0,0,0,1495267,1
0,70,0.2432,0,0,0,3149617,2
0,70,0.2018,0,1,0,1312116,1
0,80,0.7065,0,0,0,111151,2
0,143,0.2712,0,0,0,1134907,1
0,70,0.2432,0,0,0,3096621,2
0,70,0.463,0,1,0,2535272,1
1,40,1.0,0,0,0,1196243,1
1,100,0.4465,0,0,0,33416,2
0,70,0.7474,0,0,0,1378026,2
0,70,0.2288,0,1,0,2409503,1
1,40,1.0,0,0,0,1150090,1
1,40,1.0,0,0,0,2244009,1
1,40,0.2173,0,0,0,508640,1
1,40,1.0,0,0,0,462709,1
0,60,0.463,0,0,0,3457631,1
0,70,0.2051,0,1,0,374580,1
1,40,0.8299,0,0,0,276029,2
1,40,0.119,0,0,0,1729556,1
1,100,0.6839,0,0,0,183293,2
0,80,0.2942,0,0,0,1752541,2
1,200,0.3068,0,0,0,130760,2
1,40,0.4399,0,0,0,240466,2
0,70,0.2288,0,0,0,224005,2
0,70,0.6236,0,1,0,2044448,1
1,100,0.9971,0,0,1,2014210,1
1,40,1.0,0,0,0,1512277,1
0,200,0.3068,0,0,0,3755477,1
