steel/table10.V17,steel/table10.V25,steel/table10.V26
0.8,-0.2,0.0362
0.7143,-0.2857,0.0294
0.3486,-0.6514,-0.1879
0.6786,-0.3214,-0.0416
0.3529,0.6471,-0.2096
0.4013,-0.5987,-0.1895
0.7865,-0.2135,-0.097
0.4076,-0.5924,-0.1925
0.6,-0.4,-0.0071
0.3918,-0.6082,-0.1923
0.75,0.25,-0.2813
0.1,0.9,-0.2325
0.3333,0.6667,-0.1228
0.3669,-0.6331,-0.1773
0.4359,0.5641,-0.1603
0.0408,-0.9592,-0.1512
0.2667,0.7333,-0.1014
0.7222,-0.2778,-0.0995
0.8125,0.1875,-0.0976
0.8182,0.1818,-0.0547
0.4348,-0.5652,-0.0377
0.3503,-0.6497,-0.1847
0.7692,-0.2308,-0.1849
0.8824,0.1177,-0.0496
0.6875,0.3125,-0.1458
0.5,0.5,-0.097
0.52,0.48,-0.0156
0.5385,0.4615,-0.1317
0.7917,-0.2083,-0.0195
0.8182,0.1818,-0.1196
0.0759,0.9241,-0.168
0.0685,-0.9315,-0.0402
0.3273,-0.6727,0.0317
0.7936,0.2064,-0.0843
1.0,0.0,-0.0397
0.6667,0.3333,-0.1979
0.8,0.2,-0.0816
0.3483,0.6517,-0.2395
0.9091,-0.0909,-0.1247
0.9895,-0.0105,-0.0767
0.009,-0.991,-0.0626
0.4286,0.5714,-0.1477
0.4737,0.5263,-0.3586
0.7647,0.2353,-0.5216
1.0,0.0,0.3315
0.6154,0.3846,-0.393
0.8235,-0.1765,-0.0217
0.8706,0.1294,-0.1059
0.3869,-0.6131,-0.1704
0.3158,-0.6842,-0.148
0.3438,-0.6563,0.0257
0.2892,-0.7108,-0.0577
0.9546,0.0454,-0.165
0.45,0.55,-0.2421
0.5,0.5,-0.122
0.3469,0.6531,-0.3068
0.858,0.142,-0.1309
0.2581,0.7419,-0.1019
0.8571,-0.1429,-0.1109
0.48,0.52,-0.2715
0.55,0.45,-0.4918
0.6667,0.3333,-0.244
0.9054,0.0946,-0.1144
0.9,0.1,-0.19
0.6923,0.3077,-0.2743
0.2963,0.7037,-0.0891
1.0,0.0,-0.1336
0.9375,0.0625,-0.1578
0.3333,0.6667,-0.0907
0.1035,-0.8965,0.0261
0.5161,0.4839,-0.2476
0.5833,-0.4167,0.0325
0.9444,0.0556,-0.0358
0.55,0.45,-0.0965
0.8268,-0.1732,-0.0838
0.8889,0.1111,0.3498
0.75,0.25,-0.1078
0.382,-0.618,-0.1906
0.4,-0.6,-0.0778
0.7143,0.2857,-0.1317
0.2273,0.7727,-0.0161
0.5588,0.4412,-0.3081
0.3529,-0.6471,-0.1885
0.08,-0.92,-0.0666
0.2676,0.7324,-0.1986
0.0581,0.9419,-0.3298
0.5961,-0.4038,0.0031
1.0,0.0,-0.1772
0.7692,-0.2308,-0.1323
0.5789,0.4211,-0.1436
0.9091,0.0909,-0.1903
0.3815,-0.6185,-0.1926
0.3333,0.6667,-0.2625
1.0,0.0,0.0007
0.4211,-0.5789,-0.0436
0.9375,0.0625,-0.222
0.1136,0.8864,-0.1487
0.3726,0.6274,-0.1883
0.5172,-0.4828,-0.045
0.8333,0.1667,-0.0283
0.7273,0.2727,-0.1112
0.9,0.1,-0.3112
0.2619,0.7381,-0.2372
1.0,0.0,-0.1101
0.5,0.5,-0.2114
0.2,-0.8,-0.0035
1.0,0.0,-0.0481
0.7083,0.2917,-0.1282
0.9737,-0.0263,-0.1019
0.9412,-0.0588,0.0229
0.8182,-0.1818,-0.0291
0.3542,0.6458,-0.074
0.7,0.3,-0.2097
0.8,-0.2,-0.1986
0.05,-0.95,0.0091
0.575,-0.425,-0.0493
0.1913,0.8087,-0.0622
1.0,0.0,-0.2769
0.9167,0.0833,-0.1028
0.1275,0.8726,-0.0753
0.2105,-0.7895,0.0243
0.9286,-0.0714,-0.0959
0.0968,0.9032,-0.4207
0.8,0.2,-0.1225
0.1439,-0.8561,-0.0904
1.0,0.0,-0.1709
0.8,-0.2,-0.0087
0.4336,-0.5664,-0.1785
0.2,0.8,-0.2037
0.7857,-0.2143,-0.0639
0.4762,0.5238,-0.2213
0.1639,0.8361,-0.2081
0.75,0.25,-0.0957
0.4706,0.5294,-0.0416
0.4643,0.5357,-0.1269
0.1786,0.8214,-0.0709
0.8849,0.1151,-0.1072
0.7097,-0.2903,-0.0251
0.6667,-0.3333,-0.1811
0.6,-0.4,-0.1144
0.6818,0.3182,-0.1435
0.3667,0.6333,-0.1135
0.8947,0.1053,-0.1166
0.3974,-0.6026,-0.1887
0.5454,0.4545,-0.1522
0.4,0.6,-0.16
0.375,0.625,-0.1147
0.5313,0.4688,-0.0698
0.625,-0.375,-0.1801
0.3851,-0.6149,-0.2309
0.9286,0.0714,-0.0993
0.6667,0.3333,0.0075
0.9394,0.0606,-0.1099
1.0,0.0,-0.0983
0.6667,0.3333,0.0176
0.76,-0.24,-0.0056
0.6154,-0.3846,-0.1181
1.0,0.0,-0.11
0.375,0.625,-0.192
0.6667,0.3333,-0.0999
0.9912,0.0088,-0.0589
0.6,-0.4,0.0337
0.6207,-0.3793,-0.0124
0.3443,0.6557,-0.1397
0.35,0.65,-0.1525
0.5333,0.4667,-0.0874
0.0913,-0.9086,-0.1171
0.9063,-0.0938,-0.1421
0.65,0.35,-0.1567
0.1236,0.8764,-0.1046
0.1803,0.8197,-0.2035
0.9157,0.0843,-0.0222
0.9,0.1,-0.1807
0.8,-0.2,0.0175
0.7037,-0.2963,-0.1143
0.6667,-0.3333,0.0287
0.3835,-0.6165,-0.1865
0.3514,-0.6486,-0.0705
0.8421,0.1579,0.0014
0.5238,0.4762,-0.1243
0.6452,0.3548,-0.146
0.6667,-0.3333,-0.0473
0.6842,-0.3158,-0.02
0.2174,-0.7826,0.0315
0.3714,-0.6286,-0.1969
0.4286,-0.5714,0.0016
0.3667,0.6333,-0.4856
0.7391,0.2609,-0.1489
0.8571,0.1429,0.0313
0.4211,0.5789,-0.0981
0.8182,0.1818,-0.0366
0.9231,-0.0769,-0.1148
0.2,-0.8,-0.0104
0.6,-0.4,0.031
0.3643,-0.6357,-0.1535
0.2045,0.7954,-0.1415
0.3514,0.6486,-0.2
0.4286,-0.5714,0.1044
0.5122,0.4878,-0.2728
0.9408,-0.0592,-0.0983
0.7647,-0.2353,-0.1699
0.65,0.35,-0.2356
1.0,0.0,-0.0905
1.0,0.0,0.5799
1.0,0.0,-0.0615
0.4286,0.5714,-0.3108
0.4017,-0.5983,-0.1866
0.5385,0.4615,-0.1048
0.1068,0.8932,-0.1212
0.3922,0.6078,-0.1561
0.8571,0.1429,-0.1301
0.3214,0.6786,-0.1901
0.6667,0.3333,-0.1353
0.3043,-0.6956,-0.0451
0.6111,-0.3889,-0.2167
0.5417,0.4583,-0.2939
0.6364,0.3636,0.4504
0.3613,-0.6387,-0.1757
0.4167,-0.5833,-0.1975
0.9,0.1,-0.1382
0.1333,-0.8667,-0.0046
0.5385,0.4615,-0.4
1.0,0.0,-0.0238
0.5926,0.4074,-0.0206
1.0,0.0,-0.0367
0.45,0.55,-0.1384
0.7143,0.2857,-0.1825
0.4193,-0.5806,-0.147
0.5786,-0.4214,-0.1562
0.9744,0.0256,-0.103
0.4706,0.5294,-0.133
0.8889,-0.1111,-0.1995
0.1385,0.8615,-0.059
0.9167,0.0833,0.2486
0.625,-0.375,-0.0665
0.75,0.25,-0.3683
0.5385,0.4615,-0.3077
0.5833,0.4167,-0.1125
0.0795,0.9205,0.2791
0.4128,-0.5872,-0.1736
0.6923,0.3077,-0.2099
0.2857,0.7143,-0.1055
0.1667,0.8333,-0.0884
0.8962,-0.1038,-0.101
0.9367,-0.0633,-0.0944
0.8333,0.1667,-0.176
0.8,-0.2,-0.2223
0.6111,0.3889,0.4573
0.5556,0.4444,0.0015
0.6667,0.3333,0.0058
0.4333,0.5667,-0.1892
0.3274,-0.6726,-0.1575
0.4444,-0.5556,0.5518
0.5714,0.4286,-0.2298
0.8571,-0.1429,-0.3128
0.8461,-0.1539,-0.1928
0.3,0.7,-0.0844
0.3333,0.6667,-0.1648
0.4,0.6,-0.0632
0.5385,0.4615,-0.2675
0.8,-0.2,0.0515
0.9565,0.0435,-0.1482
0.45,0.55,0.2407
0.8824,0.1177,-0.1698
0.2083,0.7917,-0.1602
0.7143,0.2857,-0.1328
0.4195,-0.5805,-0.1794
0.3462,0.6539,-0.187
0.35,0.65,-0.0786
0.156,-0.844,-0.1447
0.7273,-0.2727,-0.0513
0.9321,0.0679,-0.0948
0.9643,-0.0357,0.0051
0.2647,0.7353,-0.1469
1.0,0.0,-0.1175
0.3616,-0.6384,-0.1858
0.8333,0.1667,-0.0115
0.2813,0.7188,-0.1527
0.3636,0.6364,-0.2633
0.3929,0.6071,-0.1029
0.5333,0.4667,-0.1288
0.6429,0.3571,-0.1447
0.8561,0.1439,-0.1463
0.8816,0.1184,-0.0193
1.0,0.0,-0.2332
0.28,0.72,-0.1499
0.8324,-0.1676,-0.0945
0.4583,0.5417,-0.0615
0.9091,0.0909,-0.0418
0.2632,-0.7368,-0.1049
0.9832,0.0168,-0.0907
1.0,0.0,-0.2793
0.345,-0.655,-0.1751
0.3663,-0.6337,-0.1744
0.2063,0.7936,-0.2767
0.52,-0.48,-0.1426
0.7143,0.2857,-0.1455
0.2339,0.7661,-0.3758
1.0,0.0,-0.0651
0.6087,0.3913,-0.2651
0.3688,-0.6312,-0.1904
0.4667,0.5333,-0.0729
0.3452,-0.6548,-0.175
0.0769,0.9231,-0.0994
0.1842,0.8158,-0.0212
0.3778,-0.6222,-0.1901
0.3939,0.6061,-0.2292
0.75,0.25,0.0328
0.8,0.2,0.4976
0.0519,0.9481,-0.2153
1.0,0.0,-0.3468
0.8869,0.1131,-0.0949
0.3333,0.6667,0.0374
0.1806,-0.8194,-0.1053
0.4643,-0.5357,0.0102
0.95,0.05,-0.1094
0.0294,-0.9706,-0.0157
0.3235,0.6765,0.0182
0.125,0.875,-0.3712
0.4839,-0.5161,-0.1761
0.6429,0.3571,-0.0916
0.8421,0.1579,-0.2228
0.8077,0.1923,-0.3194
0.9091,-0.0909,-0.196
0.4286,0.5714,-0.1263
0.9231,-0.0769,-0.064
0.0675,0.9325,-0.2371
0.4927,-0.5073,-0.1606
0.1032,0.8968,-0.2039
0.6667,0.3333,-0.1424
0.5625,-0.4375,-0.0508
0.3214,-0.6786,0.0047
0.4,-0.6,-0.0129
1.0,0.0,-0.1363
0.3855,-0.6145,-0.1955
0.9167,0.0833,-0.2141
0.375,0.625,-0.5902
0.1129,0.8871,-0.4698
0.7857,0.2143,-0.2052
0.9167,-0.0833,-0.164
0.7,0.3,0.01
0.8762,0.1238,-0.097
0.3,-0.7,0.5591
0.4839,0.5161,-0.3307
0.5333,0.4667,-0.2788
0.9483,-0.0517,-0.09
0.422,-0.578,-0.1856
0.9091,-0.0909,0.2905
0.5168,-0.4832,-0.1874
0.7,0.3,-0.3382
0.8182,0.1818,-0.5411
0.6,-0.4,-0.0118
0.5,-0.5,-0.0039
0.2895,0.7105,0.133
0.4737,0.5263,-0.3868
0.45,0.55,-0.2656
0.7368,-0.2632,-0.1129
0.1333,0.8667,-0.2991
0.5185,0.4815,-0.241
0.1028,0.8972,-0.1232
0.821,0.1789,-0.0927
0.8,0.2,-0.3025
0.8667,0.1333,0.0865
0.8889,0.1111,0.338
0.8846,-0.1154,-0.0148
0.6667,0.3333,-0.215
0.1839,0.8161,-0.1694
0.4561,0.5439,-0.1875
0.7143,-0.2857,-0.0395
0.1863,0.8137,0.5917
0.8182,-0.1818,-0.146
0.4651,-0.5349,-0.1799
0.75,-0.25,-0.0807
0.8889,-0.1111,-0.0839
0.0946,0.9054,-0.3475
0.5185,-0.4815,-0.0633
0.0393,0.9607,-0.4283
0.2963,-0.7037,-0.079
0.9375,0.0625,0.0726
0.8824,-0.1177,-0.2313
0.5882,0.4118,-0.3765
0.64,0.36,-0.1153
