V19,V20,V8
0.4706,1.0,24220
0.6,0.9667,11397
0.75,0.9474,7972
0.5385,1.0,18996
0.2833,0.9885,246930
0.55,1.0,62357
0.1435,0.9607,1481991
0.9091,1.0,20007
0.8667,1.0,29748
0.3478,0.982,180215
0.9231,1.0,50393
0.2381,0.9275,31062
0.8,1.0,61966
0.4091,1.0,38917
0.5,0.9559,69258
0.2542,0.9925,119540
0.2156,0.9503,570911
0.3684,0.9605,59750
0.875,1.0,14907
0.8,1.0,24807
0.6111,1.0,32604
0.6923,1.0,17753
0.9,1.0,13829
0.6667,1.0,32175
0.5294,0.9429,27349
1.0,1.0,16645
0.7368,1.0,38722
0.6667,1.0,8948
0.2283,0.9921,368381
0.8667,1.0,36875
0.7778,1.0,20751
0.6842,1.0,48793
0.7778,1.0,16680
1.0,1.0,19762
0.7931,1.0,68851
0.75,1.0,35856
0.8,1.0,32705
0.2941,0.9861,43323
0.2778,1.0,17413
0.5454,1.0,20993
0.2857,1.0,44712
0.4,1.0,30269
0.6,1.0,23207
0.3333,1.0,34655
0.5,1.0,10784
0.2093,1.0,22785
0.5833,1.0,5587
0.5454,1.0,7502
0.8571,1.0,7525
0.7778,1.0,6124
0.7778,1.0,6567
0.234,1.0,46365
0.45,1.0,16337
0.5,1.0,13678
0.45,1.0,20528
0.45,1.0,15572
0.9286,0.8571,6902
0.48,1.0,18593
0.8,1.0,7416
0.6,1.0,7013
0.7,1.0,5039
0.7,1.0,6863
0.6429,1.0,8063
0.7778,1.0,6625
1.0,1.0,7846
0.2093,1.0,38206
0.6154,1.0,11126
0.75,1.0,5369
0.5333,1.0,5232
0.6667,1.0,4674
0.7857,1.0,7804
0.4286,1.0,18416
0.5333,1.0,8709
0.3529,1.0,4616
0.8889,1.0,4585
0.875,1.0,3022
0.375,1.0,24034
0.45,1.0,18654
0.097,0.986,300024
0.1343,0.9901,228995
0.1831,0.8973,141034
0.6154,1.0,11430
0.7273,1.0,4014
0.0645,0.9884,1096282
0.6667,1.0,10915
0.6429,0.9412,13173
0.5385,1.0,9671
0.6316,1.0,28986
0.44,1.0,32134
0.4167,1.0,35005
0.3611,1.0,44883
0.3778,1.0,67978
0.2955,1.0,67597
0.7222,1.0,17820
1.0,1.0,5049
0.4643,1.0,28261
0.4444,1.0,15385
0.2414,1.0,20264
0.5333,1.0,12212
0.7273,1.0,11385
0.875,1.0,5999
0.7692,1.0,13356
0.6087,1.0,24547
0.2105,1.0,97514
0.4063,1.0,41622
0.5882,1.0,11656
0.1438,1.0,283038
0.5909,1.0,28050
0.5454,0.9231,18742
0.5625,1.0,11439
0.4583,1.0,22478
0.5,1.0,33379
0.375,1.0,9559
0.375,1.0,21691
0.2069,1.0,19226
0.2121,1.0,24697
0.5833,1.0,9253
0.3429,1.0,37695
0.6923,1.0,13345
0.2381,0.9884,78455
0.1795,1.0,90154
0.3784,1.0,32766
0.4583,1.0,24672
0.4615,1.0,25531
0.4,1.0,14605
0.2143,0.9857,37930
0.2712,1.0,84410
0.4286,1.0,23706
0.2308,0.9903,89508
0.4091,1.0,21864
0.2571,0.9778,28268
0.36,1.0,76380
0.3514,1.0,43880
0.625,1.0,29895
0.4706,1.0,12238
0.0717,0.9977,454421
0.3333,1.0,8051
0.5,1.0,19118
0.6111,1.0,18052
0.4286,1.0,9917
0.0657,0.9916,197957
0.3333,1.0,17388
0.4231,1.0,22508
0.5,1.0,11573
0.7143,1.0,11748
0.0724,1.0,363821
0.3939,1.0,46520
0.65,1.0,28711
0.2558,1.0,45269
0.4444,1.0,26902
0.3333,1.0,20267
0.5263,1.0,16571
0.3462,1.0,14471
0.4762,1.0,31058
0.1915,0.9821,34055
0.4444,1.0,13943
0.45,1.0,19711
0.5,1.0,18695
0.5758,0.8235,15858
0.9231,1.0,6632
0.4848,0.8065,25563
0.2927,1.0,39043
0.6316,1.0,9155
0.7,0.8,7752
0.1469,0.9826,154035
0.204,0.9068,248809
0.3889,0.8518,62926
0.2407,0.9322,41476
0.3207,0.8929,32335
0.3636,0.9722,22913
0.6875,0.8696,8781
0.3429,1.0,20642
0.6667,1.0,6820
0.375,0.9474,6593
0.5294,0.9333,5912
0.3878,0.8095,35427
0.3636,0.8571,9467
0.7143,1.0,7659
0.5263,0.5714,13595
0.5714,1.0,15719
0.8,1.0,4557
0.6,1.0,4347
0.6087,1.0,8535
0.234,0.9255,85268
0.1805,0.3796,611544
0.3539,0.8,34230
0.6154,1.0,5608
0.6842,0.9231,8915
1.0,1.0,6106
0.3,0.9464,21964
0.6786,0.6875,13148
0.4583,0.9167,8388
0.3529,1.0,6374
0.4643,0.96,20000
0.6667,1.0,13549
0.2076,0.7041,83716
0.4762,1.0,8233
0.3103,1.0,51661
0.6522,0.9412,11154
0.7333,0.9,8824
0.4667,1.0,8235
0.1505,1.0,60260
0.1624,0.9855,145129
0.2076,0.932,53750
0.3771,0.9552,31515
0.2906,0.7979,110127
0.2234,0.8,479002
0.3286,0.9778,110993
0.198,0.9107,63194
0.0794,0.7295,608995
