steel/table7.V19,steel/table7.V20,steel/table7.V8
0.5556,0.7059,9948
0.7778,0.8333,2240
0.6364,0.4552,654634
0.7179,0.7308,33858
0.3529,1.0,6374
0.7929,0.5294,637317
0.3225,0.4389,1187807
0.7621,0.4961,626256
1.0,1.0,1398
0.5429,0.4621,671353
0.6429,1.0,9016
0.3333,1.0,17388
0.75,0.9474,7972
0.5578,0.4026,598976
0.4359,0.975,39229
0.9671,0.1379,201109
0.2857,0.9677,16908
0.3636,0.4333,41956
0.2504,0.4961,1505833
0.6923,1.0,8107
0.7188,0.8333,9115
0.6436,0.4189,660291
0.65,0.9091,6260
0.1805,0.3796,611544
0.9167,1.0,13996
0.56,0.9655,25660
0.4063,1.0,16759
0.3889,0.8965,18671
0.6154,0.5938,39911
0.8182,1.0,7550
0.0974,0.9931,98616
1.0,0.2941,24816
0.4741,0.3103,46882
0.2179,0.4404,2034432
0.4167,0.7,38597
1.0,1.0,11910
0.7273,1.0,6936
0.3704,0.9392,782154
0.9167,0.9091,6834
0.253,0.3803,2400588
1.0,0.0484,95390
0.4615,1.0,6764
1.0,1.0,9441
0.6842,1.0,5940
0.8889,1.0,9033
0.8,0.9286,5361
0.4474,0.5185,16028
0.228,0.4157,1245114
0.5676,0.3846,618846
0.9682,0.5053,417036
0.64,0.44,16937
0.7505,0.3401,1992604
0.7,0.88,35912
0.75,0.9524,13096
0.9444,1.0,41469
0.2429,0.9074,41524
0.2491,0.4723,889727
0.7273,1.0,22532
0.6087,1.0,8535
0.4,1.0,18651
0.6875,0.8696,8781
0.6,1.0,11516
0.2401,0.4379,945879
0.6923,1.0,6947
0.6,1.0,5573
0.2963,1.0,11776
1.0,1.0,6543
0.8824,1.0,20590
0.381,1.0,12919
1.0,0.3,7618
0.381,0.7949,20512
0.6154,0.7,22467
0.4048,0.8182,22708
0.55,0.9524,16538
0.2672,0.3482,1972773
0.8,0.8182,9848
0.75,1.0,9136
0.5071,0.3931,686356
0.6604,0.4375,20658
0.6667,1.0,8558
0.1096,0.6567,287273
0.3878,0.8095,35427
0.8193,0.5454,407163
0.9091,0.2286,43968
0.3065,0.9861,76627
0.25,1.0,76438
0.4643,0.5254,65223
0.803,0.9815,82565
0.8667,1.0,8996
0.6471,1.0,15785
0.7692,1.0,9120
0.6223,0.4925,674367
0.4,1.0,18218
1.0,1.0,1537
0.7451,0.5161,28034
0.6522,0.9412,11154
0.2542,0.9925,119540
0.2639,0.9273,46236
0.7073,0.7143,25181
1.0,1.0,1990
0.8889,1.0,7964
0.75,0.9091,4761
0.3235,0.9921,275539
0.7,1.0,16288
0.5454,1.0,5249
0.7692,0.6667,7143
0.9333,0.9333,16692
0.6539,1.0,21649
0.2459,0.3884,1507625
0.5152,0.7273,16498
0.7333,0.9,8824
0.3333,0.96,46226
0.875,1.0,4552
1.0,1.0,14669
1.0,0.5,7750
0.597,0.575,240091
0.1862,0.9682,515942
0.8095,0.9444,18327
0.2615,0.4615,1383987
0.1215,0.9273,236010
1.0,0.6667,7211
0.875,0.8667,13193
0.2857,0.992,55239
0.7059,0.9375,15501
0.8968,0.2353,128883
0.8571,1.0,11674
0.8333,1.0,2157
0.5766,0.5345,470165
0.3333,1.0,34655
0.8235,1.0,7309
0.7692,1.0,13356
0.2083,1.0,33449
0.3636,0.8421,10070
0.6667,1.0,7974
0.5909,1.0,28050
0.3125,1.0,10584
0.2216,0.4264,1068391
0.5082,0.5946,41053
0.8333,0.9091,11425
0.8696,0.9231,7595
0.7895,1.0,24230
0.2984,0.6364,389429
0.9444,0.95,14926
0.7723,0.5849,600867
0.48,0.9565,16061
0.5333,1.0,8709
0.4737,1.0,16771
0.4595,0.9697,33577
0.8421,1.0,12174
0.7523,0.4769,589956
0.264,0.4578,1361903
0.5882,1.0,10188
0.2086,0.3642,1084425
1.0,0.9231,12235
0.8,1.0,1563
0.6944,0.8636,29911
0.9286,0.8,6886
0.7143,1.0,7519
0.4737,0.9231,14997
0.6667,1.0,10024
0.2194,0.3247,2230510
0.6522,0.5625,7145
0.6042,0.5143,16308
0.3281,0.8714,62326
0.3684,1.0,8027
0.7273,1.0,9462
0.8703,0.1583,173468
0.6809,0.9063,58088
0.8125,1.0,19537
0.1642,0.9889,56735
0.2558,1.0,45269
0.329,0.494,301138
0.6429,1.0,7551
0.7143,1.0,2214
0.8182,0.7037,34579
1.0,1.0,2370
0.7472,0.5313,421512
0.6789,0.4407,66987
0.32,0.7037,17433
0.9167,1.0,18047
0.625,1.0,49848
0.6207,0.6667,9512
0.5,0.52,16308
1.0,0.8333,10827
0.5932,0.471,635475
1.0,1.0,1923
0.275,0.9091,12773
0.8095,1.0,27453
0.5,0.9333,13464
0.381,1.0,7273
0.9,1.0,7769
0.6047,0.8571,31838
0.8929,0.3571,9247
0.7895,0.8182,7390
0.7568,0.5,419968
0.3913,1.0,24834
0.52,1.0,38401
0.5317,0.3674,50750
0.6364,1.0,48309
0.2331,0.3421,1239926
0.9444,0.9286,14132
0.52,0.9524,16633
0.9,1.0,7683
0.8125,0.7647,21840
0.7857,1.0,10211
0.3529,1.0,4499
0.7178,0.5402,342248
0.5385,1.0,6302
0.1487,1.0,80541
0.198,0.9107,63194
0.5714,1.0,12693
0.3214,1.0,17727
0.8,1.0,7416
0.9583,0.5833,9778
0.6,0.6471,6116
0.5652,1.0,18075
0.875,1.0,12624
0.7243,0.4746,601643
0.7534,0.5983,666047
0.8182,1.0,7391
1.0,0.5714,9556
0.7778,1.0,2765
0.3677,0.6579,25491
0.3636,0.9643,24070
1.0,0.8,1233
0.6923,1.0,13345
0.4688,1.0,12348
0.6108,0.5778,425840
0.4308,0.4355,618954
0.239,0.4073,971036
0.6154,1.0,11430
0.9,1.0,5328
0.1436,0.9198,296673
0.9167,1.0,14703
0.9412,0.9091,10515
0.6667,1.0,10915
0.5833,1.0,6557
0.6364,0.9231,5907
0.1435,0.9607,1481991
0.6056,0.4897,649137
0.75,1.0,8091
0.4,0.9767,27364
0.2609,1.0,16920
0.2414,0.3914,1327403
0.2772,0.4157,1487763
0.625,1.0,9704
0.6818,0.8571,11647
0.5789,0.9474,22198
0.3846,1.0,8717
0.3404,0.8571,19311
0.4815,1.0,22418
0.6537,0.4044,516343
1.0,1.0,6356
0.6316,1.0,19028
0.8235,1.0,10115
0.8667,1.0,11778
0.4,1.0,10196
0.8889,1.0,18067
0.5882,1.0,16548
0.6364,1.0,6657
0.5,1.0,6999
0.5789,0.8518,30746
0.5294,0.9524,16675
0.566,0.7907,65563
0.239,0.9505,655912
0.7143,1.0,7659
0.5273,0.4171,659881
0.36,1.0,17587
0.5385,1.0,9671
0.8015,0.2125,104555
0.9167,0.8889,6193
0.2459,0.4512,1402972
0.549,0.7714,46442
0.45,1.0,20528
0.75,1.0,6100
0.6914,0.5664,723643
0.6667,0.9231,8477
0.375,1.0,21691
0.5,1.0,23009
0.44,1.0,16076
0.6667,1.0,10036
0.5294,0.9333,5912
0.2419,0.4744,773694
0.3045,0.5352,246168
0.65,0.8667,5791
0.875,1.0,14907
0.2403,0.3218,1847157
0.8461,1.0,17419
0.7692,1.0,7114
0.9048,0.5556,5843
0.203,0.3309,1751637
0.9091,1.0,6734
0.6429,0.4097,652005
0.587,0.4437,674326
0.6842,1.0,48793
0.8333,0.7647,22388
0.6522,1.0,20124
0.271,0.9612,198389
1.0,1.0,718
0.7,1.0,18720
0.7382,0.5098,456908
0.7778,1.0,9968
0.5833,0.3742,584291
0.3125,1.0,28818
0.2,0.9744,15035
0.5806,0.4503,684731
0.65,1.0,28711
0.5122,0.9655,27761
1.0,1.0,9968
0.0645,0.9884,1096282
0.8571,1.0,7525
0.2573,0.4706,1577022
0.4444,1.0,13943
0.9965,0.3094,1741571
0.8235,0.5652,26766
0.7308,1.0,28955
1.0,0.6667,16504
0.2895,0.9714,26197
0.3784,0.9912,69375
0.4859,0.4335,582040
0.6429,1.0,9767
0.5714,1.0,15719
0.75,1.0,37025
1.0,1.0,8851
0.5625,1.0,14874
0.5909,0.5454,6470
0.1615,0.9905,349860
0.6,0.5714,588758
0.1266,0.9723,395668
0.6667,1.0,10868
0.5517,0.75,8140
0.6364,0.5625,14403
0.8333,0.5556,11877
0.8182,1.0,6412
0.6679,0.4894,746545
0.7333,1.0,10160
0.4,1.0,3095
0.5833,1.0,21582
0.6111,1.0,11801
0.8,1.0,9203
0.5833,0.9524,26503
0.2056,0.387,1868220
0.9091,0.25,25944
0.4688,0.9394,23817
0.6154,1.0,8123
0.2597,0.4135,1976551
0.6268,0.5177,711671
0.9167,1.0,14041
0.596,0.5923,648220
0.6087,0.9524,17619
0.6,1.0,4347
0.5882,0.8182,37820
1.0,1.0,255
0.5,1.0,32920
0.5294,1.0,9105
0.75,1.0,10340
0.76,0.7778,16579
0.2222,0.9677,7446
0.3684,0.931,19139
0.1341,1.0,53536
0.1967,0.4051,1661835
0.9231,1.0,10893
0.7222,1.0,17802
0.8889,1.0,11132
0.6667,0.92,30769
0.5882,1.0,11656
0.2712,1.0,84410
0.5306,0.9661,105560
0.7778,1.0,1967
0.322,0.9808,181730
0.4342,0.5294,47440
0.4832,0.4301,685717
1.0,0.75,1059
0.9,1.0,6684
0.0794,0.7295,608995
0.5745,0.5185,20262
0.0657,0.9916,197957
0.9,0.6667,14029
0.5556,0.9412,13866
0.85,0.9375,14169
0.7143,1.0,7263
0.6154,0.8929,23894
0.6842,0.8182,10188
0.8267,0.7105,456305
0.5278,0.5714,37460
1.0,1.0,2028
0.8667,0.3158,12886
0.9231,1.0,50393
0.3429,1.0,30229
0.75,1.0,6661
0.4348,1.0,4931
0.8461,0.9091,5957
0.8333,1.0,7104
0.6316,0.5114,685894
0.5588,0.9836,116623
0.6154,1.0,3431
0.4091,1.0,21864
0.5806,0.8333,13292
0.1867,0.8477,160372
0.9167,1.0,6528
1.0,1.0,2015
0.7778,1.0,3094
1.0,0.8,4385
0.6667,0.8333,2076
0.1026,1.0,83011
0.6387,0.5114,723207
0.369,0.7455,83627
0.6316,1.0,19652
0.5758,0.8235,15858
0.625,1.0,9527
0.6383,0.45,669614
0.2699,0.5155,996980
0.8962,0.2857,39231
0.645,0.4118,656298
0.2076,0.7041,83716
0.4615,0.9615,10888
0.6842,0.8518,19028
0.2297,0.3633,2160349
0.4444,1.0,15385
0.75,1.0,15517
1.0,0.8333,16873
0.45,1.0,19711
0.2438,0.4276,2094532
0.6154,1.0,5577
0.2413,0.4011,1248379
0.5,0.6552,18123
0.7202,0.5349,673434
0.75,1.0,28061
0.5333,1.0,12587
0.375,0.9167,16734
0.3015,0.4435,1398637
0.75,1.0,14120
0.5263,0.5714,13595
0.7273,0.9714,49303
0.8177,0.5963,651641
0.9091,1.0,6294
0.6279,0.5,45673
0.7,1.0,14689
0.9231,0.9412,12480
0.7097,0.6956,11743
0.2593,1.0,16441
0.8125,1.0,10318
0.8846,0.9565,33217
0.8571,1.0,14163
0.5911,0.4125,602131
