steel/table14.V21,steel/table14.V25
0.0,-0.2
0.0,-0.2857
0.0,-0.6514
0.0,-0.3214
1.0,0.6471
0.0,-0.5987
0.0,-0.2135
0.0,-0.5924
0.0,-0.4
0.0,-0.6082
1.0,0.25
1.0,0.9
1.0,0.6667
0.0,-0.6331
1.0,0.5641
0.0,-0.9592
1.0,0.7333
0.0,-0.2778
1.0,0.1875
1.0,0.1818
0.0,-0.5652
0.0,-0.6497
0.0,-0.2308
1.0,0.1177
1.0,0.3125
1.0,0.5
1.0,0.48
1.0,0.4615
0.0,-0.2083
1.0,0.1818
1.0,0.9241
0.0,-0.9315
0.0,-0.6727
1.0,0.2064
0.5,0.0
1.0,0.3333
1.0,0.2
1.0,0.6517
0.0,-0.0909
0.0,-0.0105
0.0,-0.991
1.0,0.5714
1.0,0.5263
1.0,0.2353
0.5,0.0
1.0,0.3846
0.0,-0.1765
1.0,0.1294
0.0,-0.6131
0.0,-0.6842
0.0,-0.6563
0.0,-0.7108
1.0,0.0454
1.0,0.55
1.0,0.5
1.0,0.6531
1.0,0.142
1.0,0.7419
0.0,-0.1429
1.0,0.52
1.0,0.45
1.0,0.3333
1.0,0.0946
1.0,0.1
1.0,0.3077
1.0,0.7037
0.5,0.0
1.0,0.0625
1.0,0.6667
0.0,-0.8965
1.0,0.4839
0.0,-0.4167
1.0,0.0556
1.0,0.45
0.0,-0.1732
1.0,0.1111
1.0,0.25
0.0,-0.618
0.0,-0.6
1.0,0.2857
1.0,0.7727
1.0,0.4412
0.0,-0.6471
0.0,-0.92
1.0,0.7324
1.0,0.9419
0.0,-0.4038
0.5,0.0
0.0,-0.2308
1.0,0.4211
1.0,0.0909
0.0,-0.6185
1.0,0.6667
0.5,0.0
0.0,-0.5789
1.0,0.0625
1.0,0.8864
1.0,0.6274
0.0,-0.4828
1.0,0.1667
1.0,0.2727
1.0,0.1
1.0,0.7381
0.5,0.0
1.0,0.5
0.0,-0.8
0.5,0.0
1.0,0.2917
0.0,-0.0263
0.0,-0.0588
0.0,-0.1818
1.0,0.6458
1.0,0.3
0.0,-0.2
0.0,-0.95
0.0,-0.425
1.0,0.8087
0.5,0.0
1.0,0.0833
1.0,0.8726
0.0,-0.7895
0.0,-0.0714
1.0,0.9032
1.0,0.2
0.0,-0.8561
0.5,0.0
0.0,-0.2
0.0,-0.5664
1.0,0.8
0.0,-0.2143
1.0,0.5238
1.0,0.8361
1.0,0.25
1.0,0.5294
1.0,0.5357
1.0,0.8214
1.0,0.1151
0.0,-0.2903
0.0,-0.3333
0.0,-0.4
1.0,0.3182
1.0,0.6333
1.0,0.1053
0.0,-0.6026
1.0,0.4545
1.0,0.6
1.0,0.625
1.0,0.4688
0.0,-0.375
0.0,-0.6149
1.0,0.0714
1.0,0.3333
1.0,0.0606
0.5,0.0
1.0,0.3333
0.0,-0.24
0.0,-0.3846
0.5,0.0
1.0,0.625
1.0,0.3333
1.0,0.0088
0.0,-0.4
0.0,-0.3793
1.0,0.6557
1.0,0.65
1.0,0.4667
0.0,-0.9086
0.0,-0.0938
1.0,0.35
1.0,0.8764
1.0,0.8197
1.0,0.0843
1.0,0.1
0.0,-0.2
0.0,-0.2963
0.0,-0.3333
0.0,-0.6165
0.0,-0.6486
1.0,0.1579
1.0,0.4762
1.0,0.3548
0.0,-0.3333
0.0,-0.3158
0.0,-0.7826
0.0,-0.6286
0.0,-0.5714
1.0,0.6333
1.0,0.2609
1.0,0.1429
1.0,0.5789
1.0,0.1818
0.0,-0.0769
0.0,-0.8
0.0,-0.4
0.0,-0.6357
1.0,0.7954
1.0,0.6486
