V17,V25,V26
0.1818,0.8182,-0.2913
0.2069,0.7931,-0.1756
0.3333,0.6667,-0.1228
0.1556,0.8444,-0.1568
0.0662,0.9338,-0.1992
0.1264,0.8736,-0.2267
0.0795,0.9205,0.2791
0.5,0.5,0.1841
0.5,0.5,-0.1197
0.0976,0.9024,-0.0651
0.25,0.75,-0.1093
0.1563,0.8438,-0.1455
0.2222,0.7778,0.0086
0.15,0.85,-0.2978
0.2308,0.7692,-0.2568
0.1136,0.8864,-0.1487
0.1343,0.8657,-0.1157
0.1918,0.8082,-0.1543
0.28,0.72,-0.1499
0.4444,0.5556,-0.0727
0.3235,0.6765,-0.1031
0.3103,0.6897,-0.0935
0.4737,0.5263,0.0192
0.2564,0.7436,-0.0479
0.2727,0.7273,0.063
0.3913,0.6087,-0.2395
0.359,0.641,-0.2341
0.3333,0.6667,-0.1776
0.0837,0.9163,-0.1045
0.3421,0.6579,-0.2537
0.2121,0.7879,-0.1093
0.2063,0.7936,-0.2767
0.2917,0.7083,-0.1752
0.3571,0.6429,-0.2785
0.371,0.629,-0.4588
0.2791,0.7209,-0.2367
0.3077,0.6923,-0.2015
0.1408,0.8591,-0.1046
0.2083,0.7917,-0.3522
0.5217,0.4783,-0.184
0.1852,0.8148,-0.095
0.3333,0.6667,-0.2701
0.4615,0.5385,-0.2252
0.2,0.8,-0.2037
0.381,0.6191,-0.1403
0.1837,0.8163,-0.3333
0.5385,0.4615,-0.2206
0.3529,0.6471,-0.1745
1.0,0.0,-0.3468
0.6364,0.3636,-0.1301
0.5385,0.4615,-0.1154
0.1667,0.8333,-0.3611
0.3333,0.6667,-0.2987
0.4167,0.5833,-0.3061
0.2647,0.7353,-0.1469
0.3333,0.6667,-0.1667
0.4615,-0.5385,0.0573
0.4,0.6,-0.2106
0.6667,0.3333,-0.1353
0.4,0.6,-0.1439
0.7,0.3,-0.2572
0.6364,0.3636,-0.1064
0.8182,0.1818,-0.1712
0.5833,0.4167,-0.2158
0.8182,0.1818,-0.1243
0.15,0.85,-0.2186
0.4,0.6,-0.2098
0.4615,0.5385,-0.1775
0.5714,0.4286,-0.3512
0.8889,0.1111,-0.3479
0.8461,0.1539,-0.315
0.3214,0.6786,-0.2428
0.4,0.6,-0.16
0.3333,0.6667,-0.4276
0.6667,0.3333,-0.403
0.8571,-0.1429,-0.213
0.2903,0.7097,-0.1016
0.3913,0.6087,-0.0658
0.0569,0.9431,-0.1132
0.0904,0.9096,-0.166
0.1566,0.8434,-0.2246
0.4706,0.5294,-0.133
0.875,-0.125,-0.216
0.0519,0.9481,-0.2153
0.75,0.25,-0.3683
0.5625,0.4375,-0.0972
0.35,0.65,-0.0786
0.375,0.625,-0.1765
0.3056,0.6944,-0.1313
0.3846,0.6154,-0.1263
0.25,0.75,-0.1976
0.2464,0.7536,-0.3003
0.194,0.806,-0.2199
0.5909,0.4091,-0.3402
0.7778,-0.2222,-0.2414
0.4483,0.5517,-0.1541
0.3077,0.6923,-0.1097
0.1628,0.8372,-0.1253
0.4211,0.5789,-0.1247
0.5,0.5,-0.128
0.5833,0.4167,-0.081
0.4762,0.5238,-0.2213
0.5,0.5,-0.279
0.1165,0.8835,-0.2146
0.2281,0.7719,-0.3686
0.6667,0.3333,-0.215
0.1066,0.8934,-0.112
0.4643,0.5357,-0.1269
0.5,0.5,-0.1126
0.5294,0.4706,-0.2021
0.3438,0.6563,-0.1557
0.3714,0.6286,-0.2262
0.3214,0.6786,-0.5528
0.2813,0.7188,-0.1527
0.0714,0.9286,-0.5816
0.1,0.9,-0.4471
0.2333,0.7667,-0.4836
0.2667,0.7333,-0.223
0.45,0.55,-0.1384
0.1765,0.8235,-0.1956
0.1429,0.8571,-0.182
0.3333,0.6667,-0.2359
0.3333,0.6667,-0.2035
0.4,0.6,-0.2445
0.2963,0.7037,-0.1485
0.1739,0.8261,-0.2034
0.1839,0.8161,-0.1694
0.375,0.625,-0.1841
0.1471,0.8529,-0.2456
0.2903,0.7097,-0.2475
0.2045,0.7954,-0.1851
0.2023,0.7977,-0.2261
0.2407,0.7593,-0.2722
0.4688,0.5313,-0.1805
0.3478,0.6522,-0.2033
0.0422,0.9578,-0.2424
0.2778,0.7222,-0.1015
0.3462,0.6539,-0.1702
0.4783,0.5217,-0.1704
0.3,0.7,-0.0666
0.0393,0.9607,-0.4283
0.1,0.9,-0.2325
0.3548,0.6452,-0.2043
0.4444,0.5556,-0.1705
0.7143,0.2857,-0.1175
0.0448,0.9552,-0.1436
0.2453,0.7547,-0.2746
0.3939,0.6061,-0.2292
0.1803,0.8197,-0.2035
0.3871,0.6129,-0.1854
0.2857,0.7143,-0.0575
0.5263,0.4737,-0.0481
0.3462,0.6539,-0.05
0.2941,0.7059,-0.0559
0.1636,0.8364,0.004
0.3333,0.6667,0.0374
0.4091,0.5909,0.0
0.4286,0.5714,0.0073
0.7368,-0.2632,0.0072
0.5,-0.5,-0.0748
0.64,0.36,-0.1163
0.2143,0.7857,-0.3004
0.9167,-0.0833,-0.1485
0.8571,-0.1429,-0.0387
0.1243,0.8757,-0.2431
0.2808,0.7192,-0.1426
0.7609,0.2391,-0.0564
0.2364,0.7636,-0.1797
0.34,0.66,-0.2844
0.3429,0.6571,-0.1268
0.55,0.45,-0.4918
0.2857,0.7143,-0.4515
0.6154,0.3846,-0.2496
0.3333,0.6667,-0.0802
0.6429,0.3571,-0.1447
0.5588,0.4412,-0.3081
0.4444,0.5556,-0.098
0.7143,0.2857,-0.1328
0.6,-0.4,-0.0683
0.8421,0.1579,-0.2228
1.0,0.0,-0.3754
0.8182,0.1818,-0.5411
0.8571,-0.1429,-0.1109
0.2529,0.7471,-0.1535
0.8824,0.1177,-0.0496
0.7188,0.2813,-0.2424
0.6667,0.3333,-0.2574
0.9231,-0.0769,-0.0588
0.5833,-0.4167,-0.1327
0.283,0.717,-0.5678
0.5789,-0.4211,-0.1649
1.0,0.0,-0.1599
0.3529,0.6471,-0.2096
0.5417,0.4583,-0.0809
0.6,0.4,-0.1464
0.3188,0.6812,-0.2601
0.3704,0.6296,-0.5373
0.36,0.64,-0.091
0.9375,0.0625,-0.222
0.8182,-0.1818,-0.0291
0.35,0.65,-0.1645
0.1167,0.8833,-0.4202
0.1569,0.8431,-0.6096
0.2292,0.7708,-0.5644
0.3594,0.6406,-0.5274
0.4533,0.5467,-0.0828
0.3454,0.6546,-0.1328
0.2614,0.7386,-0.1285
0.3922,0.6078,-0.1561
0.0946,0.9054,-0.3475
0.2841,0.7159,-0.5282
0.3441,0.6559,-0.113
0.3509,0.6491,-0.1819
0.2932,0.7068,-0.1407
0.2339,0.7661,-0.3758
0.7561,0.2439,-0.0785
0.2353,0.7647,-0.1725
0.246,0.754,-0.2498
0.5652,0.4348,-0.191
0.1884,0.8116,-0.0425
0.6471,0.3529,-0.1254
0.8333,0.1667,-0.0115
0.2577,0.7423,-0.2654
0.4857,0.5143,-0.213
0.8235,-0.1765,-0.0209
0.5909,0.4091,-0.0968
0.35,0.65,-0.1525
0.3333,0.6667,-0.0538
0.7895,-0.2105,-0.1737
0.6429,0.3571,-0.3908
0.7143,0.2857,-0.1408
0.5385,-0.4615,-0.1296
1.0,0.0,-0.0791
0.76,-0.24,-0.5178
0.5385,-0.4615,-0.1124
0.2759,0.7241,-0.0298
0.4286,0.5714,-0.3108
0.5,0.5,-0.2706
0.3433,0.6567,-0.154
0.7059,0.2941,-0.0508
0.8182,0.1818,-0.1879
0.7368,0.2632,-0.1646
0.8125,-0.1875,-0.2127
0.375,0.625,-0.5902
0.5,0.5,-0.097
0.5,-0.5,-0.1088
0.7353,-0.2647,-0.1664
0.4167,0.5833,-0.2253
1.0,0.0,-0.1923
0.7857,0.2143,-0.2241
0.9091,-0.0909,-0.1247
0.7857,0.2143,-0.2308
0.2973,0.7027,-0.296
0.6207,-0.3793,-0.1018
