V21,V25
1.0,0.8182
1.0,0.7931
1.0,0.6667
1.0,0.8444
1.0,0.9338
1.0,0.8736
1.0,0.9205
1.0,0.5
1.0,0.5
1.0,0.9024
1.0,0.75
1.0,0.8438
1.0,0.7778
1.0,0.85
1.0,0.7692
1.0,0.8864
1.0,0.8657
1.0,0.8082
1.0,0.72
1.0,0.5556
1.0,0.6765
1.0,0.6897
1.0,0.5263
1.0,0.7436
1.0,0.7273
1.0,0.6087
1.0,0.641
1.0,0.6667
1.0,0.9163
1.0,0.6579
1.0,0.7879
1.0,0.7936
1.0,0.7083
1.0,0.6429
1.0,0.629
1.0,0.7209
1.0,0.6923
1.0,0.8591
1.0,0.7917
1.0,0.4783
1.0,0.8148
1.0,0.6667
1.0,0.5385
1.0,0.8
1.0,0.6191
1.0,0.8163
1.0,0.4615
1.0,0.6471
0.5,0.0
1.0,0.3636
1.0,0.4615
1.0,0.8333
1.0,0.6667
1.0,0.5833
1.0,0.7353
1.0,0.6667
0.0,-0.5385
1.0,0.6
1.0,0.3333
1.0,0.6
1.0,0.3
1.0,0.3636
1.0,0.1818
1.0,0.4167
1.0,0.1818
1.0,0.85
1.0,0.6
1.0,0.5385
1.0,0.4286
1.0,0.1111
1.0,0.1539
1.0,0.6786
1.0,0.6
1.0,0.6667
1.0,0.3333
0.0,-0.1429
1.0,0.7097
1.0,0.6087
1.0,0.9431
1.0,0.9096
1.0,0.8434
1.0,0.5294
0.0,-0.125
1.0,0.9481
1.0,0.25
1.0,0.4375
1.0,0.65
1.0,0.625
1.0,0.6944
1.0,0.6154
1.0,0.75
1.0,0.7536
1.0,0.806
1.0,0.4091
0.0,-0.2222
1.0,0.5517
1.0,0.6923
1.0,0.8372
1.0,0.5789
1.0,0.5
1.0,0.4167
1.0,0.5238
1.0,0.5
1.0,0.8835
1.0,0.7719
1.0,0.3333
1.0,0.8934
1.0,0.5357
1.0,0.5
1.0,0.4706
1.0,0.6563
1.0,0.6286
1.0,0.6786
1.0,0.7188
1.0,0.9286
1.0,0.9
1.0,0.7667
1.0,0.7333
1.0,0.55
1.0,0.8235
1.0,0.8571
1.0,0.6667
1.0,0.6667
1.0,0.6
1.0,0.7037
1.0,0.8261
1.0,0.8161
1.0,0.625
1.0,0.8529
1.0,0.7097
1.0,0.7954
1.0,0.7977
1.0,0.7593
1.0,0.5313
1.0,0.6522
1.0,0.9578
1.0,0.7222
1.0,0.6539
1.0,0.5217
1.0,0.7
1.0,0.9607
1.0,0.9
1.0,0.6452
1.0,0.5556
1.0,0.2857
1.0,0.9552
1.0,0.7547
1.0,0.6061
1.0,0.8197
1.0,0.6129
1.0,0.7143
1.0,0.4737
1.0,0.6539
1.0,0.7059
1.0,0.8364
1.0,0.6667
1.0,0.5909
1.0,0.5714
0.0,-0.2632
0.0,-0.5
1.0,0.36
1.0,0.7857
0.0,-0.0833
0.0,-0.1429
1.0,0.8757
1.0,0.7192
1.0,0.2391
1.0,0.7636
1.0,0.66
1.0,0.6571
1.0,0.45
1.0,0.7143
1.0,0.3846
1.0,0.6667
1.0,0.3571
1.0,0.4412
1.0,0.5556
1.0,0.2857
0.0,-0.4
1.0,0.1579
0.5,0.0
1.0,0.1818
0.0,-0.1429
1.0,0.7471
1.0,0.1177
1.0,0.2813
1.0,0.3333
0.0,-0.0769
0.0,-0.4167
1.0,0.717
0.0,-0.4211
0.5,0.0
1.0,0.6471
1.0,0.4583
1.0,0.4
1.0,0.6812
1.0,0.6296
1.0,0.64
1.0,0.0625
0.0,-0.1818
1.0,0.65
1.0,0.8833
1.0,0.8431
1.0,0.7708
1.0,0.6406
1.0,0.5467
1.0,0.6546
1.0,0.7386
1.0,0.6078
1.0,0.9054
1.0,0.7159
1.0,0.6559
1.0,0.6491
1.0,0.7068
1.0,0.7661
1.0,0.2439
1.0,0.7647
1.0,0.754
1.0,0.4348
1.0,0.8116
1.0,0.3529
1.0,0.1667
1.0,0.7423
1.0,0.5143
0.0,-0.1765
1.0,0.4091
1.0,0.65
1.0,0.6667
0.0,-0.2105
1.0,0.3571
1.0,0.2857
0.0,-0.4615
0.5,0.0
0.0,-0.24
0.0,-0.4615
1.0,0.7241
1.0,0.5714
1.0,0.5
1.0,0.6567
1.0,0.2941
1.0,0.1818
1.0,0.2632
0.0,-0.1875
1.0,0.625
1.0,0.5
0.0,-0.5
0.0,-0.2647
1.0,0.5833
0.5,0.0
1.0,0.2143
0.0,-0.0909
1.0,0.2143
1.0,0.7027
0.0,-0.3793
0.0,-0.0833
1.0,0.4091
1.0,0.1905
1.0,0.6071
1.0,0.6296
1.0,0.8132
1.0,0.0476
1.0,0.4865
0.0,-0.1429
0.0,-0.05
0.5,0.0
1.0,0.6274
1.0,0.4444
0.0,-0.1429
1.0,0.4375
0.0,-0.375
1.0,0.1667
0.0,-0.2308
0.0,-0.5769
0.5,0.0
0.0,-0.2143
0.0,-0.5
0.0,-0.0938
1.0,0.35
0.0,-0.7273
1.0,0.2308
0.0,-0.2667
0.0,-0.1
1.0,0.4118
0.5,0.0
0.0,-0.7619
1.0,0.0909
0.0,-0.3158
0.0,-0.2
1.0,0.6279
1.0,0.3667
1.0,0.1905
0.0,-0.0909
1.0,0.3333
1.0,0.1818
1.0,0.3043
0.0,-0.4118
1.0,0.4815
1.0,0.4286
1.0,0.5556
1.0,0.1818
1.0,0.3077
0.0,-0.6
0.5,0.0
1.0,0.25
0.0,-0.2941
1.0,0.764
1.0,0.5
1.0,0.8671
1.0,0.4667
1.0,0.6557
1.0,0.2353
1.0,0.625
1.0,0.3
1.0,0.1
1.0,0.3636
0.0,-0.4375
1.0,0.4167
0.0,-0.1
1.0,0.381
0.0,-0.375
0.0,-0.2941
1.0,0.6342
0.0,-0.25
1.0,0.7813
1.0,0.75
1.0,0.1667
1.0,0.3913
1.0,0.4615
1.0,0.6471
1.0,0.4167
0.0,-0.16
0.0,-0.25
0.0,-0.6038
0.0,-0.3684
0.0,-0.4038
0.0,-0.2381
0.0,-0.6
0.0,-0.4694
1.0,0.5769
1.0,0.7333
1.0,0.9388
1.0,0.8158
1.0,0.9039
1.0,0.5
1.0,0.3158
1.0,0.64
1.0,0.8968
1.0,0.8036
1.0,0.0909
1.0,0.2727
1.0,0.25
1.0,0.2727
1.0,0.7288
0.0,-0.1
1.0,0.1333
1.0,0.8137
0.0,-0.4
0.0,-0.3889
0.5,0.0
1.0,0.3333
1.0,0.2
1.0,0.2727
1.0,0.5
1.0,0.3636
1.0,0.1111
1.0,0.1111
1.0,0.2
1.0,0.1539
1.0,0.3077
0.5,0.0
0.0,-0.0909
1.0,0.1111
1.0,0.1818
0.0,-0.0909
1.0,0.25
1.0,0.3
1.0,0.4545
1.0,0.1111
1.0,0.1818
1.0,0.0909
1.0,0.0833
0.5,0.0
1.0,0.1159
0.0,-0.4384
1.0,0.2222
0.5,0.0
1.0,0.1177
1.0,0.2857
1.0,0.3158
1.0,0.6042
1.0,0.2941
1.0,0.9917
0.0,-0.0913
0.0,-0.0773
0.0,-0.0711
0.0,-0.4633
0.0,-0.1161
0.0,-0.7548
1.0,0.0045
0.0,-0.0762
0.0,-0.4297
1.0,0.038
1.0,0.0718
0.0,-0.7406
1.0,0.1171
1.0,0.0088
1.0,0.1636
0.0,-0.5373
0.0,-0.7108
1.0,0.1191
1.0,0.0361
1.0,0.1379
0.0,-0.0374
0.0,-0.0105
1.0,0.085
1.0,0.2064
1.0,0.0556
0.0,-0.1921
0.0,-0.7938
1.0,0.0461
0.0,-0.4211
1.0,0.1379
0.0,-0.1732
0.0,-0.1676
0.0,-0.0442
