Key_2_4,V8,V28
59,24220,1
730,11397,1
305,7972,1
1315,18996,1
1637,246930,1
1525,62357,1
195,1481991,1
820,20007,1
1429,29748,1
350,180215,1
1558,50393,1
1642,31062,1
1214,61966,1
1353,38917,1
517,69258,1
489,119540,1
212,570911,1
746,59750,1
1236,14907,1
1630,24807,1
688,32604,1
237,17753,1
1732,13829,1
473,32175,1
1843,27349,1
566,16645,1
1584,38722,1
294,8948,1
1065,368381,1
1089,36875,1
1710,20751,1
875,48793,1
1618,16680,1
1091,19762,1
806,68851,1
1324,35856,1
676,32705,1
170,43323,1
1390,17413,1
1104,20993,1
402,44712,1
70,30269,1
330,23207,1
638,34655,1
1424,10784,1
908,22785,1
1200,5587,1
627,7502,1
860,7525,1
868,6124,1
46,6567,1
1006,46365,1
342,16337,1
420,13678,1
988,20528,1
933,15572,1
1272,6902,1
1496,18593,1
1093,7416,1
1004,7013,1
987,5039,1
898,6863,1
1335,8063,1
1593,6625,1
1527,7846,1
1826,38206,1
964,11126,1
1368,5369,1
569,5232,1
1568,4674,1
1419,7804,1
335,18416,1
331,8709,1
1677,4616,1
841,4585,1
1246,3022,1
210,24034,1
387,18654,1
461,300024,1
1876,228995,1
1435,141034,1
219,11430,1
1500,4014,1
582,1096282,1
1114,10915,1
1910,13173,1
1731,9671,1
209,28986,1
1387,32134,1
1888,35005,1
138,44883,1
112,67978,1
1698,67597,1
1877,17820,1
1231,5049,1
1268,28261,1
1493,15385,1
779,20264,1
1674,12212,1
1483,11385,1
835,5999,1
1563,13356,1
502,24547,1
194,97514,1
1283,41622,1
1822,11656,1
1684,283038,1
282,28050,1
997,18742,1
7,11439,1
1131,22478,1
1329,33379,1
369,9559,1
1726,21691,1
1588,19226,1
1569,24697,1
427,9253,1
1808,37695,1
1145,13345,1
1788,78455,1
1471,90154,1
75,32766,1
167,24672,1
567,25531,1
367,14605,1
1495,37930,1
1705,84410,1
1260,23706,1
507,89508,1
1244,21864,1
339,28268,1
893,76380,1
535,43880,1
393,29895,1
1226,12238,1
991,454421,1
1040,8051,1
1766,19118,1
937,18052,1
1147,9917,1
605,197957,1
1854,17388,1
1539,22508,1
1402,11573,1
827,11748,1
208,363821,1
1188,46520,1
540,28711,1
176,45269,1
1084,26902,1
1193,20267,1
450,16571,1
1013,14471,1
257,31058,1
1597,34055,1
1518,13943,1
47,19711,1
141,18695,1
647,15858,0
661,6632,0
321,25563,0
537,39043,0
1643,9155,0
169,7752,0
360,154035,0
1095,248809,0
1245,62926,0
1917,41476,0
604,32335,0
680,22913,0
359,8781,0
1897,20642,0
124,6820,0
262,6593,0
1437,5912,0
1207,35427,0
1720,9467,0
1140,7659,0
1881,13595,0
1741,15719,0
1396,4557,0
1068,4347,0
1678,8535,0
249,85268,0
1033,611544,0
996,34230,0
843,5608,0
1473,8915,0
1498,6106,0
1894,21964,0
79,13148,0
885,8388,0
1926,6374,0
1122,20000,0
723,13549,0
1520,83716,0
608,8233,0
831,51661,0
1063,11154,0
1445,8824,0
1346,8235,0
1607,60260,0
252,145129,0
1884,53750,0
1707,31515,0
24,110127,0
553,479002,0
1464,110993,0
994,63194,0
1751,608995,0
874,61231,0
839,202537,0
584,60005,0
1594,316233,0
764,198389,0
932,83627,0
812,121595,0
590,365943,0
832,63480,0
499,66181,0
536,77691,0
1443,8477,0
314,126759,0
495,26694,0
778,17295,0
1856,12602,0
1629,8027,0
222,917886,0
1827,19460,0
1685,19650,0
669,6819,0
12,6685,0
1450,6483,0
740,14875,0
1668,6135,0
1421,15896,0
630,4499,0
