school/pe.Borough,school/pe.Admin District,school/pe.Geographical District,school/pe.Location Code,school/pe.School Level ,school/pe.Student Enrollment,school/pe.Full Time Licensed PE Teachers,school/pe.F Status PE Teachers*,school/pe.Itinerant PE Teachers*,school/pe.Sum of F Status and Itinerant*,school/pe.Total Part Time and Full Time PE Teachers*,school/pe.Shared PE teachers with another school*,school/pe.Ratio of Full Time Licensed PE Teachers to Students*,DBN
Bronx,10,10,X159,Elementary                         ,186,0,0,0,0,0,0,0,10X159
Bronx,8,8,X125,Junior High-Intermediate-Middle    ,348,1,0,0,0,1,0,1:348,08X125
Bronx,8,8,X048,Elementary                         ,676,1,0,0,0,1,0,1:676,08X048
Brooklyn,17,17,K289,Elementary                         ,340,0,0,0,0,0,0,0,17K289
Brooklyn,13,13,K691,Junior High-Intermediate-Middle    ,197,1,0,0,0,1,0,1:197,13K691
Bronx,10,10,X344,Elementary                         ,389,1,0,0,0,1,0,1:389,10X344
Bronx,75,11,X176,K-12 All Grades                    ,772,10,0,0,0,10,0,1:77,75X176
Queens,30,30,Q092,Elementary                         ,830,0,0,0,0,0,0,0,30Q092
Brooklyn,22,22,K240,Junior High-Intermediate-Middle    ,770,2,0,0,0,2,0,1:385,22K240
Manhattan,6,6,M293,Secondary School                   ,588,2,0,0,0,2,0,1:294,06M293
Queens,27,27,Q047,K-8                                ,195,0,0,0,0,0,0,0,27Q047
Brooklyn,19,19,K678,Junior High-Intermediate-Middle    ,241,1,0,0,0,1,0,1:241,19K678
Brooklyn,16,16,K005,Elementary                         ,173,1,0,0,0,1,0,1:173,16K005
Manhattan,5,5,M197,Elementary                         ,268,1,0,0,0,1,0,1:268,05M197
Brooklyn,13,13,K020,Elementary                         ,345,0,0,0,0,0,0,0,13K020
Queens,75,26,Q993,K-12 All Grades                    ,488,3,0,0,0,3,0,1:163,75Q993
Brooklyn,32,32,K564,High School                        ,161,1,0,0,0,1,0,1:161,32K564
Bronx,7,7,X670,High School                        ,402,3,0,0,0,3,0,1:134,07X670
Queens,30,30,Q002,Elementary                         ,562,1,0,0,0,1,0,1:562,30Q002
Manhattan,4,4,M224,Junior High-Intermediate-Middle    ,154,0,1,0,1,1,0,0,04M224
Brooklyn,23,23,K298,Elementary                         ,167,1,0,0,0,1,0,1:167,23K298
Brooklyn,19,19,K663,Junior High-Intermediate-Middle    ,136,1,0,0,0,1,0,1:136,19K663
Staten Island,31,31,R059,Elementary                         ,183,1,0,0,0,1,0,1:183,31R059
Manhattan,2,2,M183,Elementary                         ,521,0,0,0,0,0,0,0,02M183
Bronx,8,8,X377,High School                        ,123,1,0,0,0,1,0,1:123,08X377
Queens,25,25,Q792,High School                        ,140,1,0,0,0,1,0,1:140,25Q792
Brooklyn,23,23,K671,Junior High-Intermediate-Middle    ,190,1,0,0,0,1,0,1:190,23K671
Brooklyn,17,23,K012,Elementary                         ,202,1,0,0,0,1,0,1:202,17K012
Queens,27,27,Q202,Junior High-Intermediate-Middle    ,1065,4,0,0,0,4,0,1:266,27Q202
Staten Island,31,31,R021,Elementary                         ,358,0,0,0,0,0,0,0,31R021
Brooklyn,16,16,K455,High School                        ,354,2,1,0,1,3,0,1:177,16K455
Queens,27,27,Q318,Junior High-Intermediate-Middle    ,220,1,0,0,0,1,0,1:220,27Q318
Bronx,9,9,X263,High School                        ,354,2,0,0,0,2,0,1:177,09X263
Queens,30,30,Q445,High School                        ,2171,10,0,0,0,10,0,1:217,30Q445
Manhattan,6,6,M463,High School                        ,363,2,0,0,0,2,0,1:182,06M463
Bronx,11,11,X016,Elementary                         ,339,0,0,0,0,0,0,0,11X016
Queens,26,26,Q216,Junior High-Intermediate-Middle    ,1414,1,0,0,0,1,0,1:1414,26Q216
Queens,30,30,Q010,Junior High-Intermediate-Middle    ,723,2,0,0,0,2,1,1:362,30Q010
Queens,25,25,Q184,Elementary                         ,471,1,0,0,0,1,0,1:471,25Q184
Manhattan,5,5,M161,K-8                                ,793,2,0,0,0,2,0,1:397,05M161
Queens,24,24,Q102,K-8                                ,1216,3,0,0,0,3,0,1:405,24Q102
Manhattan,4,4,M057,K-8                                ,771,0,0,0,0,0,0,0,04M057
Queens,30,30,Q502,High School                        ,939,6,0,0,0,6,0,1:157,30Q502
Queens,28,28,Q440,High School                        ,3765,12,0,0,0,12,0,1:314,28Q440
Manhattan,2,2,M312,Junior High-Intermediate-Middle    ,537,2,0,0,0,2,0,1:269,02M312
Staten Island,31,31,R063,Junior High-Intermediate-Middle    ,449,3,0,0,0,3,0,1:150,31R063
Bronx,9,9,X303,Junior High-Intermediate-Middle    ,306,2,0,0,0,2,0,1:153,09X303
Queens,26,26,Q266,K-8                                ,634,1,0,0,0,1,0,1:634,26Q266
Manhattan,2,2,M439,High School                        ,427,2,0,0,0,2,0,1:214,02M439
Queens,29,29,Q109,Junior High-Intermediate-Middle    ,989,2,0,0,0,2,0,1:495,29Q109
Queens,25,25,Q241,High School                        ,386,1,0,0,0,1,0,1:386,25Q241
Queens,29,29,Q015,Elementary                         ,409,1,0,0,0,1,0,1:409,29Q015
Bronx,10,10,X020,K-8                                ,1012,3,0,0,0,3,0,1:337,10X020
Queens,28,28,Q690,High School                        ,498,4,0,0,0,4,0,1:125,28Q690
Brooklyn,19,19,K502,High School                        ,304,1,0,0,0,1,0,1:304,19K502
Brooklyn,19,19,K158,Elementary                         ,527,0,0,0,0,0,0,0,19K158
Bronx,7,7,X154,Elementary                         ,334,1,0,0,0,1,0,1:334,07X154
Staten Island,31,31,R051,Junior High-Intermediate-Middle    ,1242,3,0,0,0,3,0,1:414,31R051
Bronx,10,10,X046,Elementary                         ,964,0,0,0,0,0,0,0,10X046
Bronx,11,11,X498,K-8                                ,628,1,0,0,0,1,0,1:628,11X498
Brooklyn,14,14,K071,Secondary School                   ,552,4,0,0,0,4,0,1:138,14K071
Queens,25,25,Q200,K-8                                ,421,2,0,0,0,2,0,1:211,25Q200
Bronx,10,10,X319,High School                        ,155,0,2,0,2,2,0,0,10X319
Bronx,9,9,X241,Secondary School                   ,619,2,0,0,0,2,0,1:310,09X241
Bronx,75,8,X010,K-12 All Grades                    ,441,9,0,0,0,9,0,1:49,75X010
Brooklyn,23,23,K446,Elementary                         ,304,1,0,0,0,1,0,1:304,23K446
Queens,26,26,Q173,Elementary                         ,892,1,0,0,0,1,0,1:892,26Q173
Bronx,12,12,X092,Elementary                         ,375,0,0,0,0,0,0,0,12X092
Brooklyn,32,32,K403,High School                        ,266,1,0,0,0,1,0,1:266,32K403
Brooklyn,18,18,K569,High School                        ,351,2,0,0,0,2,0,1:176,18K569
Brooklyn,16,16,K498,High School                        ,594,2,0,0,0,2,0,1:297,16K498
Brooklyn,14,14,K017,Elementary                         ,259,0,0,0,0,0,0,0,14K017
Queens,24,24,Q016,Elementary                         ,1607,2,0,0,0,2,0,1:804,24Q016
Queens,28,28,Q140,Elementary                         ,388,0,0,0,0,0,0,0,28Q140
