Key_1_1,landingPos,firstSaccLen,P2stFixation
7351,56.6326,300.1666,1
1445,47.3207,306.1066,1
6384,112.361,590.5294,1
7599,79.8389,80.9475,0
2501,96.7471,110.7576,1
7440,144.9422,173.4416,0
2713,58.1421,70.8025,0
2275,147.5212,467.285,0
865,58.6195,103.64,0
5829,121.6737,411.2922,0
1142,52.9953,133.7171,1
6850,16.8671,309.7773,0
7086,1300.849,1600.9859,0
6856,113.8036,333.7911,0
5797,27.2259,99.2182,0
2031,26.7442,186.1511,1
2788,13.4629,415.0976,1
154,50.5594,110.911,0
1501,156.9984,476.607,1
1538,93.5655,173.954,0
5549,38.7072,150.4028,0
634,14.7054,121.1084,0
1687,66.6652,108.5564,1
5510,87.8208,126.935,0
5998,80.6226,333.524,0
5006,76.3692,204.7102,0
3462,62.8431,196.5204,0
2994,101.6132,264.5468,0
5174,80.5062,327.5336,0
2709,55.5203,204.5,0
3637,60.1041,159.6598,1
5916,31.197,285.3003,1
5556,66.4172,142.6482,1
502,60.0833,182.3904,1
2406,56.9956,358.2304,0
6645,114.0395,437.7925,0
2830,67.487,874.0631,1
6891,97.3088,522.0931,1
6590,14.2215,300.5004,0
2693,79.6006,104.0048,0
1235,61.7839,179.5341,0
6716,73.6495,556.234,0
7222,80.5047,728.6323,0
6882,63.9414,120.7487,0
7469,58.6686,182.0687,0
1724,7.6322,111.5672,1
2781,54.6008,346.5274,0
800,143.4721,632.7152,1
978,98.0319,66.7308,0
2281,159.4153,296.9621,0
3380,45.1054,316.2673,1
6488,32.596,70.0,1
5876,83.2902,120.8356,1
6703,33.2453,124.6445,1
5585,39.9531,96.9239,1
107,116.5268,90.4268,1
58,143.3571,291.689,1
972,54.8179,59.1354,1
1238,60.4669,65.5534,0
1614,48.0521,120.3755,0
2937,87.0014,349.7417,0
1050,63.1229,58.4337,1
3848,60.7063,430.0012,1
3399,76.3217,165.5272,0
1008,91.9959,198.142,1
7205,71.8366,256.9679,1
6232,82.1736,337.9778,1
6788,988.7498,1123.4996,0
1095,304.2606,112.5722,1
2427,27.0601,104.1561,1
817,33.9485,1214.4073,1
5700,50.3314,191.1675,1
4171,50.2245,249.2007,0
853,47.363,97.751,0
369,60.208,119.5094,1
4324,25.4018,224.2733,1
3306,85.5716,173.1134,0
5531,85.4196,0.0,0
7294,65.123,799.2723,1
5353,83.9345,159.7568,1
3226,32.7185,88.0525,1
1449,37.7922,144.5078,1
961,40.5123,135.5083,1
6751,57.0022,722.2557,1
3346,15.6285,138.4783,0
482,98.8585,112.6421,0
5682,56.8001,105.5047,0
4533,76.7366,151.8634,1
2652,85.1587,322.1401,0
6400,53.584,137.5009,1
1488,28.4297,91.0179,0
2919,42.0595,98.7142,1
4496,124.501,120.9566,0
6301,72.3343,107.7926,1
4104,24.9098,0.0,1
6247,48.3141,222.1041,0
719,38.3438,256.6384,0
211,51.7325,50.4232,1
105,74.0304,209.1997,0
5352,57.6888,425.2473,1
4157,141.1427,196.5229,1
4193,100.2622,60.8543,0
5712,37.4233,118.0042,0
7528,185.529,394.5257,1
2373,53.8516,128.8187,0
4132,143.3911,259.3318,1
7588,35.8469,73.0924,0
6594,14.1156,71.0862,1
4066,83.8824,397.0532,0
4400,44.3001,100.5,0
737,78.4873,277.2819,1
809,90.4461,225.1089,1
4771,157.2872,320.3986,1
4688,42.5265,39.8811,0
1700,102.7485,94.5331,1
