label,meanFixDur,timePrtctg,firstfixDur,Key_0_0
0,119.0,0.0176,119.0,3586
0,119.5,0.0239,159.0,7162
0,178.6667,0.0431,139.0,5920
0,99.0,0.0264,139.0,7221
0,139.0,0.0288,100.0,4572
0,259.0,0.0235,259.0,5761
0,100.0,0.0202,100.0,6241
0,298.0,0.0207,298.0,1615
0,239.0,0.0271,239.0,5644
0,99.0,0.0085,99.0,2980
0,219.0,0.0147,159.0,3252
0,558.0,0.1015,558.0,6596
0,379.0,0.0096,379.0,4036
0,139.5,0.0266,179.0,1704
0,219.0,0.0467,219.0,1523
0,119.0,0.0287,139.0,6902
0,100.0,0.0067,119.0,220
0,99.0,0.0098,99.0,3999
0,238.0,0.0123,159.0,5085
0,80.0,0.0082,80.0,7181
0,99.0,0.0157,99.0,1784
0,179.0,0.0179,179.0,3032
0,179.0,0.0288,179.0,858
0,119.0,0.0299,119.0,3286
0,119.0,0.0229,139.0,408
0,139.0,0.0175,139.0,6095
0,80.0,0.008,239.0,5929
0,139.0,0.0154,139.0,4349
0,119.0,0.0211,119.0,3020
0,100.0,0.0091,100.0,7425
0,80.0,0.0054,80.0,4770
0,99.0,0.0131,99.0,4841
0,80.0,0.0069,80.0,4635
0,279.0,0.0253,279.0,6036
0,198.5,0.0425,258.0,3577
0,199.0,0.019,199.0,5071
0,159.0,0.0159,159.0,5829
0,99.0,0.0094,99.0,6664
0,169.0,0.0749,139.0,4198
0,238.0,0.0297,238.0,6171
0,139.0,0.0125,139.0,936
0,319.0,0.0338,319.0,6167
0,99.0,0.0372,99.0,174
0,159.0,0.0268,159.0,845
0,159.0,0.034,159.0,1101
0,159.0,0.0142,219.0,3908
0,318.0,0.0305,318.0,7160
0,139.0,0.0186,199.0,3614
0,20.0,0.0036,239.0,3649
0,80.0,0.0116,80.0,279
0,159.0,0.0116,159.0,280
0,179.0,0.0162,319.0,379
0,159.0,0.0249,199.0,423
0,179.0,0.0124,179.0,1738
0,99.0,0.0069,298.0,312
0,99.0,0.0155,99.0,6743
0,179.0,0.0259,179.0,3192
0,379.0,0.0234,379.0,4237
0,279.0,0.0172,279.0,5965
0,139.0,0.0281,139.0,1039
0,159.0,0.0153,139.0,7371
0,20.0,0.003,20.0,6568
0,139.0,0.0141,139.0,7307
0,119.0,0.017,119.0,3247
0,159.0,0.014,159.0,4599
0,139.0,0.0139,139.0,3624
0,80.0,0.0132,80.0,6416
0,399.0,0.0512,179.0,6372
0,179.0,0.0045,299.0,1188
0,99.0,0.0105,99.0,6854
0,239.0,0.0213,239.0,5983
0,199.0,0.0096,99.0,412
0,179.0,0.0312,80.0,4467
0,199.0,0.0335,199.0,4915
0,258.0,0.0347,258.0,5817
0,80.0,0.015,80.0,3201
0,219.0,0.0608,219.0,1896
0,139.0,0.0279,139.0,6066
0,219.0,0.0367,298.0,3873
0,278.0,0.0501,199.0,1518
0,189.0,0.0095,199.0,7501
0,159.0,0.0136,159.0,2828
0,99.0,0.01,80.0,72
0,129.5,0.0239,99.0,998
0,199.0,0.0432,199.0,7411
0,139.0,0.0272,139.0,1278
0,219.0,0.0338,219.0,6188
0,80.0,0.0054,139.0,3053
0,99.0,0.0214,99.0,2034
0,159.0,0.0159,199.0,1162
0,169.0,0.07,159.0,2309
0,298.0,0.0351,298.0,5141
0,99.0,0.0138,80.0,4048
0,139.0,0.0209,139.0,5219
0,159.0,0.0307,159.0,6112
0,99.0,0.0106,99.0,4050
0,339.0,0.0436,339.0,3622
0,359.0,0.0359,359.0,7382
0,298.0,0.0466,298.0,1406
0,159.0,0.0107,278.0,871
0,159.0,0.0106,139.0,904
0,80.0,0.0132,80.0,6098
0,139.0,0.0093,199.0,6552
0,159.0,0.0129,139.0,1129
0,139.0,0.0315,139.0,4491
0,159.0,0.1067,119.0,5162
0,99.0,0.0278,99.0,3650
0,139.0,0.0115,139.0,740
0,112.3333,0.0686,139.0,7089
0,199.0,0.0205,199.0,3135
0,80.0,0.0039,80.0,159
0,219.0,0.0681,219.0,449
0,319.0,0.008,279.0,1013
