pupilDiamLag,pupilDiamMax,timePrtctg,totalFixDur
0.4446,0.1541,0.0176,119.0
0.3264,0.0119,0.0239,239.0
0.0859,0.0874,0.0431,536.0
0.1453,0.0173,0.0264,198.0
0.4074,0.3229,0.0288,139.0
0.5542,0.0947,0.0235,259.0
0.122,0.1085,0.0202,100.0
0.2636,0.1261,0.0207,298.0
0.5067,0.8257,0.0271,239.0
0.3344,0.1874,0.0085,99.0
0.114,0.0715,0.0147,219.0
2.0226,-0.2634,0.1015,558.0
0.948,1.1015,0.0096,379.0
0.1181,0.0361,0.0266,279.0
0.2907,0.2907,0.0467,219.0
0.1229,0.0699,0.0287,357.0
0.5105,0.193,0.0067,100.0
0.1377,0.1097,0.0098,99.0
0.029,0.057,0.0123,238.0
0.1124,0.0179,0.0082,80.0
0.082,0.0395,0.0157,99.0
0.3234,0.1649,0.0179,179.0
0.0864,0.1029,0.0288,358.0
0.1637,0.1117,0.0299,238.0
0.1206,-0.0039,0.0229,238.0
0.1027,0.1447,0.0175,139.0
0.1649,0.1494,0.008,80.0
0.2052,0.0532,0.0154,139.0
0.3302,0.1832,0.0211,119.0
0.5822,0.1722,0.0091,100.0
0.3735,0.2,0.0054,80.0
0.2141,0.1311,0.0131,99.0
0.1189,0.1254,0.0069,80.0
-0.0108,-0.2753,0.0253,279.0
0.0261,0.0796,0.0425,397.0
-0.0044,0.0246,0.019,199.0
0.1859,0.1339,0.0159,159.0
0.0867,-0.0163,0.0094,99.0
0.2751,-0.078,0.0749,338.0
0.1432,-0.0873,0.0297,238.0
0.1196,0.0781,0.0125,139.0
-0.5825,-0.2575,0.0338,319.0
0.1191,0.1161,0.0372,198.0
0.2822,0.1472,0.0268,159.0
0.3484,0.2484,0.034,159.0
0.0865,0.032,0.0142,159.0
0.243,0.0835,0.0305,318.0
0.143,0.1965,0.0186,278.0
2.3481,1.7801,0.0036,20.0
0.2407,0.0882,0.0116,80.0
0.1393,0.0798,0.0116,159.0
1.2187,0.5542,0.0162,179.0
0.1753,0.1563,0.0249,159.0
0.1271,0.1456,0.0124,179.0
0.1086,0.0471,0.0069,99.0
0.2812,0.2232,0.0155,99.0
0.1168,0.3023,0.0259,179.0
1.5602,1.1122,0.0234,379.0
1.4382,0.6492,0.0172,279.0
0.258,0.122,0.0281,139.0
0.3466,0.1256,0.0153,159.0
0.4364,-0.1566,0.003,20.0
0.2165,0.2781,0.0141,139.0
0.2765,0.213,0.017,119.0
0.0766,0.0351,0.014,159.0
0.2216,0.2326,0.0139,139.0
0.1487,0.0892,0.0132,80.0
1.7037,1.5777,0.0512,399.0
0.948,0.421,0.0045,179.0
0.1383,0.1383,0.0105,99.0
0.0116,-0.1024,0.0213,239.0
0.1167,0.1172,0.0096,199.0
0.4452,0.4497,0.0312,179.0
0.4533,0.1079,0.0335,199.0
0.126,0.059,0.0347,258.0
0.1795,0.1686,0.015,80.0
0.3143,0.3173,0.0608,219.0
0.0959,-0.0881,0.0279,139.0
0.3127,0.3207,0.0367,219.0
0.4063,0.1708,0.0501,278.0
