eyemove/table3.firstPassFixDur,eyemove/table3.firstfixDur,eyemove/table3.lastSaccLen,eyemove/table3.meanFixDur
179.0,179.0,350.8208,179.0
119.0,119.0,262.894,119.0
398.0,80.0,0.0,99.5
219.0,80.0,224.0988,109.5
258.0,258.0,300.6996,258.0
239.0,239.0,1337.6251,239.0
199.0,199.0,146.5034,199.0
99.0,99.0,135.7765,199.0
439.0,140.0,239.4097,146.3333
239.0,239.0,311.1696,239.0
139.0,139.0,353.2212,139.0
99.0,99.0,199.6246,99.0
139.0,139.0,62.3699,139.0
338.0,139.0,215.2324,169.0
139.0,139.0,867.0066,139.0
199.0,199.0,126.4367,199.0
278.0,278.0,213.7832,278.0
139.0,139.0,262.0386,139.0
199.0,199.0,87.6584,199.0
179.0,179.0,637.1156,179.0
139.0,139.0,180.0694,139.0
199.0,199.0,163.01,199.0
179.0,179.0,142.8356,179.0
139.0,139.0,163.1104,139.0
99.0,99.0,103.5012,199.0
179.0,179.0,163.6498,179.0
99.0,99.0,169.1065,99.0
298.0,298.0,77.666,278.0
100.0,100.0,239.5005,100.0
139.0,139.0,107.4826,139.0
358.0,159.0,127.9932,179.0
99.0,99.0,48.9311,179.0
199.0,199.0,62.1168,199.0
139.0,139.0,751.5585,139.0
258.0,258.0,251.8358,258.0
298.0,139.0,72.8371,159.0
259.0,259.0,141.1737,259.0
80.0,80.0,718.3572,80.0
179.0,179.0,238.5886,179.0
119.0,119.0,101.2089,119.0
159.0,159.0,342.5526,159.0
119.0,119.0,606.132,119.0
179.0,179.0,102.2314,179.0
338.0,199.0,329.3543,169.0
219.0,219.0,172.0356,159.0
199.0,199.0,208.515,199.0
299.0,299.0,71.6415,299.0
99.0,99.0,353.8057,99.0
179.0,80.0,114.2639,89.5
99.0,99.0,607.225,99.0
100.0,100.0,934.2292,100.0
397.0,139.0,112.9436,132.3333
99.0,99.0,299.1028,179.0
139.0,139.0,431.196,139.0
99.0,99.0,95.0053,119.0
377.0,238.0,212.6511,188.5
239.0,239.0,59.7013,239.0
299.0,199.0,386.4848,129.5
159.0,159.0,113.8914,159.0
139.0,139.0,490.4498,179.0
199.0,199.0,146.1925,199.0
99.0,99.0,147.3516,99.0
179.0,179.0,116.9027,179.0
80.0,80.0,168.7965,80.0
219.0,219.0,229.0546,219.0
139.0,139.0,291.7795,139.0
199.0,199.0,496.258,199.0
179.0,179.0,184.1962,179.0
239.0,239.0,129.8124,239.0
139.0,139.0,203.141,139.0
338.0,338.0,231.6948,179.0
99.0,99.0,430.0012,99.0
179.0,179.0,91.1002,219.0
199.0,199.0,742.43,199.0
219.0,219.0,173.6412,219.0
159.0,159.0,462.3873,159.0
219.0,219.0,276.0041,219.0
557.0,199.0,132.0606,219.0
119.0,119.0,207.6132,139.0
80.0,80.0,288.3401,80.0
179.0,179.0,186.1196,179.0
159.0,159.0,197.1427,159.0
259.0,259.0,87.4714,259.0
100.0,100.0,255.7953,219.0
179.0,179.0,160.1999,179.0
338.0,179.0,166.0903,169.0
99.0,99.0,219.9528,99.0
99.0,99.0,125.9811,99.0
278.0,139.0,254.3275,139.0
259.0,259.0,174.5,159.0
99.0,99.0,360.8715,99.0
80.0,80.0,504.9802,80.0
319.0,319.0,177.5,179.0
99.0,99.0,182.5445,99.0
99.0,99.0,216.3354,99.0
219.0,219.0,112.0379,219.0
159.0,159.0,106.5106,159.0
99.0,99.0,237.0243,99.0
99.0,99.0,112.0179,99.0
179.0,179.0,247.0233,179.0
80.0,80.0,432.3439,80.0
258.0,258.0,106.48,109.5
198.0,99.0,205.8476,99.0
80.0,80.0,638.1618,80.0
219.0,219.0,334.9336,219.0
20.0,20.0,321.0876,159.0
119.0,119.0,306.6537,119.0
179.0,179.0,198.2839,179.0
219.0,219.0,996.4834,20.0
80.0,80.0,848.1327,80.0
199.0,199.0,169.0044,159.0
259.0,259.0,132.0237,259.0
298.0,298.0,241.2494,298.0
199.0,199.0,67.1751,199.0
159.0,159.0,100.4502,159.0
119.0,119.0,614.1974,119.0
80.0,80.0,280.2789,80.0
80.0,80.0,285.0952,80.0
238.0,238.0,382.0393,238.0
159.0,159.0,140.6983,139.0
99.0,99.0,158.2024,99.0
99.0,99.0,131.9185,99.0
