eyemove/table2.firstPassFixDur,eyemove/table2.meanFixDur,eyemove/table2.pupilDiamLag,eyemove/table2.pupilDiamMax,eyemove/table2.timePrtctg
179.0,179.0,0.2394,0.0694,0.032
119.0,119.0,0.361,0.3965,0.0166
398.0,99.5,0.1176,0.1176,0.0818
219.0,109.5,0.1057,0.0207,0.0218
258.0,258.0,0.3765,0.2195,0.1312
239.0,239.0,1.7275,0.9915,0.006
199.0,199.0,0.1617,0.3797,0.0233
99.0,199.0,0.2389,0.0984,0.0171
439.0,146.3333,0.6347,-0.1188,0.0682
239.0,239.0,1.7096,0.8401,0.0315
139.0,139.0,0.233,0.0305,0.0301
99.0,99.0,0.0869,0.1279,0.043
139.0,139.0,0.2644,0.3659,0.0227
338.0,169.0,0.1946,-0.0449,0.0325
139.0,139.0,0.1526,0.0326,0.0133
199.0,199.0,0.1626,0.0316,0.0247
278.0,278.0,0.3791,0.2451,0.0279
139.0,139.0,0.1771,0.1286,0.0279
199.0,199.0,0.3394,0.2699,0.0242
179.0,179.0,0.2875,-0.0145,0.018
139.0,139.0,0.1856,0.2236,0.0274
199.0,199.0,0.0708,0.0463,0.0247
179.0,179.0,0.1339,0.1039,0.0457
139.0,139.0,0.1934,0.2874,0.0112
99.0,199.0,0.0601,0.0796,0.0213
179.0,179.0,0.082,0.028,0.0283
99.0,99.0,0.2868,0.3973,0.0265
298.0,278.0,0.1706,0.0971,0.0258
100.0,100.0,0.325,0.2465,0.0162
139.0,139.0,0.2537,0.0742,0.0175
358.0,179.0,0.201,0.1405,0.1023
99.0,179.0,0.0661,0.1446,0.0124
199.0,199.0,0.1167,0.0487,0.0212
139.0,139.0,0.2312,0.2312,0.0161
258.0,258.0,0.1796,0.1211,0.0285
298.0,159.0,0.1208,0.1208,0.0197
259.0,259.0,0.2672,0.1452,0.0503
80.0,80.0,0.473,0.2675,0.0068
179.0,179.0,0.1682,0.2312,0.0208
119.0,119.0,0.1176,0.0086,0.0244
159.0,159.0,0.0218,0.0218,0.023
119.0,119.0,0.2586,0.0736,0.0107
179.0,179.0,0.1432,0.0107,0.0257
338.0,169.0,1.1346,-0.7869,0.0435
219.0,159.0,0.0865,0.032,0.0142
199.0,199.0,0.1757,0.0597,0.0287
299.0,299.0,-0.3694,0.7661,0.0267
