P2stFixation,lastSaccLen,prevFixDur,regressDur,regressLen,wordNo
1,288.0156,99.0,0.0,0.0,3.0
1,117.2359,119.0,159.0,0.0,1.0
1,805.0531,139.0,0.0,258.0,8.0
0,306.5587,199.0,396.0,0.0,2.0
1,161.4845,80.0,378.0,0.0,1.0
0,204.5,179.0,0.0,0.0,3.0
0,245.0862,199.0,0.0,0.0,2.0
0,208.5402,159.0,0.0,0.0,1.0
0,100.3606,359.0,717.0,0.0,3.0
0,169.3259,239.0,198.0,0.0,2.0
1,114.2147,0.0,716.0,0.0,1.0
0,115.434,179.0,0.0,0.0,2.0
0,1098.318,120.0,817.0,22514.0,4.0
0,70.2638,219.0,916.0,715.0,1.0
0,0.0,99.0,0.0,0.0,6.0
1,921.2918,139.0,0.0,258.0,8.0
1,407.939,80.0,800.0,0.0,5.0
0,536.0784,99.0,0.0,0.0,7.0
1,115.0848,219.0,835.0,0.0,1.0
0,557.0613,80.0,0.0,378.0,6.0
0,394.0381,179.0,0.0,0.0,5.0
0,98.6927,179.0,179.0,0.0,1.0
1,79.5692,80.0,0.0,0.0,5.0
0,180.0062,139.0,0.0,0.0,3.0
0,116.0097,139.0,0.0,378.0,4.0
0,126.935,119.0,0.0,0.0,2.0
0,50.324,139.0,279.0,299.0,1.0
0,398.0028,80.0,0.0,0.0,4.0
0,306.9405,179.0,0.0,0.0,4.0
0,560.7069,259.0,0.0,0.0,4.0
1,182.4966,179.0,1272.0,0.0,3.0
1,564.6072,139.0,0.0,598.0,6.0
1,94.7629,219.0,159.0,1372.0,3.0
1,70.0874,259.0,0.0,0.0,1.0
0,147.6432,139.0,0.0,0.0,1.0
0,175.309,159.0,199.0,0.0,2.0
1,138.1304,119.0,159.0,0.0,1.0
1,193.0317,656.0,0.0,3793.0,4.0
0,252.3846,99.0,676.0,0.0,3.0
0,163.5619,119.0,0.0,0.0,3.0
0,80.7233,139.0,139.0,0.0,1.0
0,135.0741,199.0,578.0,0.0,1.0
0,157.0796,80.0,99.0,0.0,1.0
0,442.0775,139.0,0.0,278.0,3.0
0,195.6074,199.0,0.0,0.0,2.0
1,172.0356,179.0,0.0,398.0,2.0
0,140.322,119.0,0.0,0.0,1.0
1,373.5482,0.0,2224.0,0.0,1.0
0,53.3877,558.0,20.0,0.0,1.0
0,120.9153,99.0,0.0,0.0,1.0
1,73.3757,119.0,99.0,854.0,6.0
1,177.5,100.0,0.0,0.0,1.0
1,209.1531,139.0,358.0,338.0,6.0
1,510.6332,298.0,1074.0,0.0,4.0
1,86.9253,80.0,495.0,8147.0,3.0
1,68.8368,159.0,139.0,0.0,1.0
1,904.1507,278.0,0.0,397.0,5.0
1,94.4312,20.0,1056.0,897.0,1.0
0,146.1617,777.0,0.0,2212.0,2.0
0,160.1811,100.0,0.0,0.0,3.0
0,95.0,159.0,159.0,0.0,1.0
1,61.0082,299.0,0.0,0.0,8.0
1,224.5802,99.0,278.0,0.0,5.0
0,84.537,80.0,0.0,0.0,2.0
1,848.0908,139.0,0.0,6001.0,2.0
1,284.3554,80.0,0.0,0.0,3.0
1,213.8019,99.0,0.0,0.0,2.0
0,167.0397,20.0,399.0,0.0,2.0
1,153.5008,139.0,11140.0,1434.0,1.0
1,142.0079,258.0,0.0,0.0,2.0
1,156.1802,199.0,319.0,0.0,3.0
1,190.9097,139.0,4116.0,6363.0,3.0
0,688.3931,80.0,179.0,0.0,6.0
0,318.2267,139.0,0.0,0.0,4.0
1,302.0348,159.0,258.0,0.0,4.0
1,330.276,119.0,80.0,0.0,1.0
0,105.7946,80.0,0.0,0.0,1.0
0,145.0078,0.0,0.0,0.0,1.0
1,37.1652,219.0,0.0,0.0,1.0
1,99.5691,99.0,835.0,0.0,1.0
1,70.0071,339.0,0.0,1255.0,1.0
1,91.0014,139.0,0.0,0.0,4.0
