from_path,from_table,from_column,to_path,to_label,to_column
accounting/,ACCOUNTS.csv,ACCTP_KEY,accounting/,ACCOUNT_TRANSACT_TYPES.csv,ACTRNTP_KEY
accounting/,ACCOUNTS.csv,ORG_KEY,accounting/,PARTIES.csv,ORG_KEY
accounting/,ACCOUNTS.csv,PT_UNIFIED_KEY,accounting/,PARTIES.csv,PT_UNIFIED_KEY
accounting/,ACCOUNTS.csv,ACCTP_KEY,accounting/,ACCOUNT_TRANSACTIONS.csv,ACCTP_KEY
accounting/,ACCOUNTS.csv,ACC_KEY,accounting/,target_churn.csv,ACC_KEY
accounting/,ACCOUNTS.csv,ACC_KEY,accounting/,ACCOUNT_TRANSACTIONS.csv,ACC_KEY
accounting/,ACCOUNTS.csv,ORG_KEY,accounting/,ORGANIZATIONS.csv,ORG_KEY
accounting/,ACCOUNTS.csv,PROD_KEY,accounting/,PRODUCTS.csv,PROD_KEY
accounting/,ACCOUNTS.csv,ACCTP_KEY,accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY
accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY,accounting/,ACCOUNT_TRANSACT_TYPES.csv,ACTRNTP_KEY
accounting/,ACCOUNT_TYPES.csv,ACCTP_DESC,accounting/,ACCOUNT_TRANSACT_TYPES.csv,ACTRNTP_DESC
accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY,accounting/,target_churn.csv,ACC_KEY
accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY,accounting/,ACCOUNT_TRANSACTIONS.csv,ACC_OTHER_ACCOUNT_KEY
accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY,accounting/,ACCOUNT_TRANSACTIONS.csv,ACCTP_OTHER_ACCOUNT_KEY
accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY,accounting/,ACCOUNT_TRANSACTIONS.csv,ACCTP_KEY
accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY,accounting/,ACCOUNTS.csv,ACCTP_KEY
accounting/,PRODUCTS.csv,PROD_KEY,accounting/,ACCOUNTS.csv,PROD_KEY
accounting/,ORGANIZATIONS.csv,ORGH_UNIFIED_ID,accounting/,PARTIES.csv,PTTP_UNIFIED_ID
accounting/,ORGANIZATIONS.csv,ORG_KEY,accounting/,PARTIES.csv,ORG_KEY
accounting/,ORGANIZATIONS.csv,ORG_KEY,accounting/,ACCOUNTS.csv,ORG_KEY
accounting/,ACCOUNT_TRANSACTIONS.csv,ACC_OTHER_ACCOUNT_KEY,accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY
accounting/,ACCOUNT_TRANSACTIONS.csv,ACCTP_OTHER_ACCOUNT_KEY,accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY
accounting/,ACCOUNT_TRANSACTIONS.csv,ACTRNTP_KEY,accounting/,ACCOUNT_TRANSACT_TYPES.csv,ACTRNTP_KEY
accounting/,ACCOUNT_TRANSACTIONS.csv,ACC_KEY,accounting/,ACCOUNTS.csv,ACC_KEY
accounting/,ACCOUNT_TRANSACTIONS.csv,ACCTP_KEY,accounting/,ACCOUNT_TYPES.csv,ACCTP_KEY
accounting/,ACCOUNT_TRANSACT_TYPES.csv,ACTRNTP_KEY,accounting/,ACCOUNT_TRANSACTIONS.csv,ACTRNTP_KEY
accounting/,PARTIES.csv,ORG_KEY,accounting/,ORGANIZATIONS.csv,ORG_KEY
accounting/,target_churn.csv,ACC_KEY,accounting/,ACCOUNT_TRANSACTIONS.csv,ACC_KEY
accounting/,target_churn.csv,ACC_KEY,accounting/,ACCOUNTS.csv,ACC_KEY
