fk_table,fk_column,pk_table,pk_column
ACCOUNTS.csv,ACCTP_KEY,ACCOUNT_TYPES.csv,ACCTP_KEY
ACCOUNTS.csv,PROD_KEY,PRODUCTS.csv,PROD_KEY
ACCOUNTS.csv,ORG_KEY,ORGANIZATIONS.csv,ORG_KEY
ACCOUNT_TRANSACTIONS.csv,ACCTP_KEY,ACCOUNT_TYPES.csv,ACCTP_KEY
ACCOUNT_TRANSACTIONS.csv,ACC_KEY,ACCOUNTS.csv,ACC_KEY
ACCOUNT_TRANSACTIONS.csv,ACTRNTP_KEY,ACCOUNT_TRANSACT_TYPES.csv,ACTRNTP_KEY
ACCOUNT_TRANSACTIONS.csv,ACCTP_OTHER_ACCOUNT_KEY,ACCOUNT_TYPES.csv,ACCTP_KEY
ACCOUNT_TRANSACTIONS.csv,ACC_OTHER_ACCOUNT_KEY,ACCOUNT_TYPES.csv,ACCTP_KEY
PARTIES.csv,ORG_KEY,ORGANIZATIONS.csv,ORG_KEY
target_churn.csv,ACC_KEY,ACCOUNTS.csv,ACC_KEY
