credit_amount,duration,other_parties
1169.0,6.0,none
5951.0,48.0,none
2096.0,12.0,none
7882.0,42.0,guarantor
4870.0,24.0,none
9055.0,36.0,none
2835.0,24.0,none
6948.0,36.0,none
3059.0,12.0,none
5234.0,30.0,none
1295.0,12.0,none
4308.0,48.0,none
1567.0,12.0,none
1199.0,24.0,none
1403.0,15.0,none
1282.0,24.0,none
2424.0,24.0,none
8072.0,30.0,none
12579.0,24.0,none
3430.0,24.0,none
2134.0,9.0,none
2647.0,6.0,none
2241.0,10.0,none
1804.0,12.0,none
2069.0,10.0,none
1374.0,6.0,none
426.0,6.0,none
409.0,12.0,none
2415.0,7.0,guarantor
6836.0,60.0,none
1913.0,18.0,none
4020.0,24.0,none
5866.0,18.0,none
1264.0,12.0,none
1474.0,12.0,none
4746.0,45.0,none
6110.0,48.0,none
2100.0,18.0,co applicant
1225.0,10.0,none
458.0,9.0,none
2333.0,30.0,none
1158.0,12.0,none
6204.0,18.0,none
6187.0,30.0,none
6143.0,48.0,none
1393.0,11.0,none
2299.0,36.0,none
1352.0,6.0,none
7228.0,11.0,none
2073.0,12.0,co applicant
2333.0,24.0,none
5965.0,27.0,none
1262.0,12.0,none
3378.0,18.0,none
2225.0,36.0,none
783.0,6.0,guarantor
6468.0,12.0,none
9566.0,36.0,none
1961.0,18.0,none
6229.0,36.0,co applicant
1391.0,9.0,none
1537.0,15.0,guarantor
1953.0,36.0,none
14421.0,48.0,none
3181.0,24.0,none
5190.0,27.0,none
2171.0,12.0,none
1007.0,12.0,none
1819.0,36.0,none
2394.0,36.0,none
8133.0,36.0,none
730.0,7.0,none
1164.0,8.0,none
5954.0,42.0,none
1977.0,36.0,none
1526.0,12.0,none
3965.0,42.0,none
4771.0,11.0,none
9436.0,54.0,none
3832.0,30.0,none
5943.0,24.0,none
1213.0,15.0,none
1568.0,18.0,none
1755.0,24.0,guarantor
2315.0,10.0,none
1412.0,12.0,guarantor
1295.0,18.0,none
12612.0,36.0,none
2249.0,18.0,none
1108.0,12.0,none
618.0,12.0,none
1409.0,12.0,none
797.0,12.0,none
3617.0,24.0,co applicant
1318.0,12.0,none
15945.0,54.0,none
2012.0,12.0,none
2622.0,18.0,none
2337.0,36.0,none
7057.0,20.0,none
1469.0,24.0,none
2323.0,36.0,none
932.0,6.0,none
1919.0,9.0,none
2445.0,12.0,none
11938.0,24.0,co applicant
6458.0,18.0,none
6078.0,12.0,none
7721.0,24.0,none
1410.0,14.0,none
1449.0,6.0,none
392.0,15.0,none
6260.0,18.0,none
7855.0,36.0,none
1680.0,12.0,none
3578.0,48.0,none
7174.0,42.0,none
2132.0,10.0,co applicant
4281.0,33.0,none
2366.0,12.0,none
1835.0,21.0,none
3868.0,24.0,none
1768.0,12.0,none
781.0,10.0,none
1924.0,18.0,none
2121.0,12.0,none
701.0,12.0,none
639.0,12.0,none
1860.0,12.0,none
3499.0,12.0,co applicant
8487.0,48.0,none
6887.0,36.0,none
2708.0,15.0,none
1984.0,18.0,none
10144.0,60.0,none
1240.0,12.0,none
8613.0,27.0,none
766.0,12.0,none
2728.0,15.0,guarantor
1881.0,12.0,none
709.0,6.0,none
4795.0,36.0,none
3416.0,27.0,none
2462.0,18.0,none
2288.0,21.0,none
3566.0,48.0,none
860.0,6.0,none
682.0,12.0,none
5371.0,36.0,guarantor
1582.0,18.0,none
1346.0,6.0,none
1924.0,10.0,none
5848.0,36.0,none
7758.0,24.0,none
6967.0,24.0,none
1282.0,12.0,none
1288.0,9.0,guarantor
339.0,12.0,none
3512.0,24.0,none
1898.0,6.0,none
2872.0,24.0,none
1055.0,18.0,none
