credit/table8.age,credit/table8.class,credit_amount
63.0,bad,6836.0
33.0,bad,2319.0
50.0,good,1236.0
29.0,bad,5003.0
21.0,good,886.0
23.0,bad,1442.0
32.0,good,2978.0
33.0,bad,2359.0
20.0,bad,2996.0
35.0,good,3780.0
48.0,good,5190.0
30.0,good,4795.0
46.0,bad,697.0
36.0,bad,4165.0
22.0,good,3973.0
30.0,bad,1864.0
50.0,good,1047.0
22.0,bad,433.0
27.0,good,3711.0
25.0,good,1206.0
33.0,good,1543.0
37.0,good,3380.0
57.0,good,1258.0
28.0,good,2073.0
28.0,good,2606.0
49.0,good,2096.0
61.0,good,1255.0
23.0,good,1236.0
36.0,good,1278.0
75.0,good,1374.0
37.0,good,3949.0
50.0,good,2390.0
26.0,good,1201.0
24.0,good,2788.0
57.0,good,1264.0
27.0,good,4020.0
51.0,good,2507.0
35.0,bad,2397.0
36.0,bad,3915.0
24.0,bad,11590.0
45.0,good,7882.0
38.0,good,1495.0
54.0,good,2255.0
35.0,good,1549.0
24.0,good,4811.0
35.0,good,1410.0
74.0,good,3448.0
51.0,good,4771.0
52.0,good,2315.0
26.0,good,4788.0
24.0,good,1568.0
34.0,good,1569.0
27.0,bad,5998.0
29.0,good,1169.0
46.0,bad,1223.0
28.0,good,2659.0
36.0,good,700.0
32.0,good,2848.0
22.0,bad,1366.0
35.0,good,9055.0
21.0,bad,1987.0
63.0,good,2924.0
34.0,good,2622.0
36.0,good,6304.0
26.0,bad,4463.0
37.0,good,7409.0
54.0,good,717.0
39.0,good,2212.0
44.0,bad,1553.0
38.0,bad,12976.0
26.0,good,1934.0
23.0,bad,4281.0
43.0,bad,2625.0
39.0,good,666.0
23.0,good,3488.0
28.0,bad,5234.0
28.0,good,1382.0
28.0,bad,3349.0
47.0,good,1213.0
23.0,bad,836.0
21.0,good,1289.0
22.0,good,1258.0
39.0,good,2522.0
26.0,good,1076.0
45.0,good,3835.0
32.0,good,1505.0
23.0,bad,2406.0
61.0,bad,1512.0
53.0,bad,7865.0
40.0,good,3590.0
30.0,bad,3349.0
51.0,bad,7511.0
42.0,good,5493.0
34.0,good,1950.0
36.0,good,2247.0
26.0,good,2764.0
30.0,bad,1919.0
20.0,good,1313.0
35.0,good,6948.0
20.0,bad,1282.0
60.0,good,2032.0
39.0,good,1884.0
57.0,good,3622.0
47.0,good,958.0
38.0,good,5711.0
31.0,bad,3621.0
23.0,bad,4110.0
27.0,good,2930.0
23.0,good,1498.0
34.0,good,2578.0
40.0,bad,1358.0
32.0,good,2273.0
49.0,good,3124.0
25.0,bad,2969.0
55.0,good,1424.0
35.0,good,2670.0
22.0,bad,1478.0
38.0,good,3229.0
59.0,bad,6416.0
50.0,bad,5293.0
22.0,good,3832.0
28.0,good,5371.0
37.0,bad,1344.0
36.0,good,4042.0
25.0,good,3509.0
36.0,good,2360.0
25.0,good,3213.0
47.0,bad,1209.0
35.0,bad,1198.0
