V24,V25,V26,V27
4.24676,0.74796,-0.227901,-1.00407
5.52069,-1.2789,2.64619,3.01398
15.6678,-0.0285853,-0.138172,0.424549
2.29019,0.156257,0.785821,0.300992
0.289982,-0.342658,0.0882267,0.488899
3.86252,-0.250629,0.765693,0.114596
1.08523,-1.21284,0.133688,-0.0559532
3.56386,-0.390544,-0.28899,0.50924
0.629998,-18.8092,0.712313,1.04249
4.75362,0.0403914,1.0412,0.788698
3.27468,1.15419,-1.96737,0.817508
7.53491,-0.631392,-0.432617,0.745986
9.40483,0.291699,-0.321768,0.412648
1.54855,-0.941083,0.96849,-0.5407
3.89576,-0.30861,-0.534652,1.27985
1.91667,-0.415091,-0.00520473,1.89131
0.927573,-0.169118,0.131466,-0.184935
3.50903,-3.29772,-4.47805,0.76852
9.59116,0.0579544,0.159813,-0.293242
1.69198,-0.42862,0.704227,-0.201405
4.04065,-0.927819,-0.920535,0.29753
7.85745,-1.53124,0.474517,-0.141438
14.0617,-0.512011,0.33871,-0.45204
3.93671,1.97928,0.412718,-0.182113
1.68101,0.0958754,0.422356,0.784378
5.66643,0.188068,-0.129605,-0.263496
5.03834,-1.23413,-0.287462,-0.182935
1.56956,-0.236551,0.428625,1.19446
2.92235,0.174787,0.505616,-0.00258714
0.534392,-4.07575,0.0245735,0.672672
2.4518,-0.39773,-0.0684012,-2.03221
5.17551,-0.0471284,1.03032,0.234434
2.04625,-0.836059,1.30096,2.04551
6.40392,0.233076,0.296725,0.482057
1.45803,-0.469349,-0.386802,-1.34322
5.95729,-0.568197,-2.0601,2.80933
5.90549,-0.393632,0.12591,-4.04035
10.7294,0.581387,0.0758674,0.708239
12.0279,-0.396698,0.37546,0.124871
3.61155,0.72006,0.0476972,0.811259
0.910029,-0.304216,-0.643754,-1.05327
7.54621,0.110122,0.320023,1.05577
2.23044,0.373848,0.0156981,0.894956
1.65721,-1.59895,-1.55407,0.683079
0.483325,-0.945812,-0.635173,0.362034
6.98345,-0.0485641,0.484982,0.909516
1.70504,-0.855123,-0.0768642,-0.207069
5.87779,0.343166,-0.829474,0.202916
8.65859,0.512474,0.564388,0.73532
0.182729,-8.12292,-0.698264,0.644316
6.80949,-0.758058,0.538701,-0.167724
2.11836,-0.093864,0.465382,-0.103242
0.787219,-15.5403,-1.1867,-1.461
5.7343,-0.0868497,-0.595835,0.612977
4.30944,0.636551,-0.352225,0.467073
6.3257,-0.183558,-1.04729,1.42181
5.59488,-0.963352,-3.24182,2.28473
3.96263,-3.50387,-1.97067,2.87892
0.976119,0.320144,0.270831,4.1164
6.6886,0.383078,0.100219,0.00730664
9.77392,-0.712138,-0.532772,1.14577
2.10352,-8.93001,4.70579,-1.09187
0.902964,0.766362,0.0863984,0.620583
3.87156,-1.05298,-1.15707,-0.793352
4.50128,-0.361496,-0.497318,0.123584
4.85841,0.28922,-1.34645,1.68313
3.82098,-0.0681531,-0.637632,0.085477
2.24965,-5.03355,-0.683011,1.3183
9.17817,0.0354208,-0.0326878,0.811362
9.24505,0.200949,-0.479025,0.737955
6.26699,-0.598036,-1.13518,1.69478
2.60293,-2.16155,-0.380076,0.862114
3.42024,-1.18461,1.71016,0.222828
3.7891,-0.124333,-0.1315,-0.0402586
9.24696,-0.484206,-1.19551,4.61583
7.22177,-0.973421,0.761432,0.183471
3.67027,0.691794,-0.565832,0.0280668
3.48736,-1.44159,1.66194,0.434127
6.89035,-0.711341,1.10396,-1.33208
0.738299,-2.55108,0.156678,0.532512
1.55962,0.297353,-0.622736,0.875398
3.59006,0.664786,-0.171622,-0.872512
1.14756,-0.548199,0.618032,0.132998
4.24784,-1.07268,-0.93064,0.376375
8.77206,-0.250155,3.10578,0.260492
4.37559,-1.45555,-0.690056,2.61359
8.27801,1.11739,-0.194747,0.701661
5.00303,-0.5142,0.219504,0.61583
6.73442,1.48212,0.0608234,-0.0236439
0.460454,-1.11067,-0.0432405,-0.458626
4.37584,-2.6377,-0.835331,-1.92866
3.52183,0.871981,1.26011,4.97595
10.3002,-0.446844,0.829138,-0.600945
1.72592,-2.19822,0.916999,-1.5901
2.5483,3.23555,0.152279,0.160907
0.857268,-0.123314,-1.21687,0.146772
3.6748,0.159375,-0.482628,-0.768108
3.0616,1.69633,0.585754,0.77483
7.9658,2.30613,0.873574,1.90817
10.296,-0.209771,-0.956565,0.353418
6.60778,-0.4245,0.220954,1.01669
3.69936,-1.4054,-1.22597,0.135163
6.01006,0.00190028,0.691426,0.0758665
15.052,0.332626,-0.889722,0.190907
2.33555,0.301655,5.54465,0.126345
1.46207,-3.04305,3.79623,3.78703
17.5199,0.150099,0.154244,0.16316
6.07693,-1.84504,4.20179,1.79065
10.4229,0.0205099,-0.022381,0.939698
1.61317,-2.31735,4.89896,-0.964376
3.36798,0.274223,-0.229263,-0.310754
4.68654,0.899888,-0.657944,0.256659
4.1183,0.0473466,2.34029,-0.310526
0.664255,-2.8037,0.547536,1.31086
3.2652,0.219931,0.553638,-0.155782
1.78481,-5.19304,0.61442,1.85011
8.42774,0.0986525,-1.79702,0.995503
4.64529,1.49923,0.865999,0.227536
4.39269,1.17436,-0.664976,1.37299
5.85587,0.946024,0.267105,0.907297
1.99175,1.06271,0.766586,5.03099
4.43583,0.165697,1.31218,0.475758
0.718914,-6.75024,0.407477,-3.24301
12.1259,-0.504293,0.33821,-0.136379
11.9887,0.611026,0.51071,0.944255
4.81065,0.840339,-0.497699,2.24051
7.48577,-0.772706,-0.370342,0.988174
9.43922,0.276155,1.07743,0.0207331
2.15089,0.767495,-0.0698491,1.92899
11.3372,-0.032529,-0.0888326,0.037966
1.66063,-2.16553,-1.82071,3.67687
3.59825,-0.396464,0.465383,0.494988
0.885486,-6.47316,-1.35454,0.028448
3.09165,0.222431,-1.18624,1.96704
0.164004,-4.64685,-1.43967,-2.68762
