V20,V21,V23,V24
-0.70509,7.14692,3.02276,4.24676
1.60427,8.3072,3.08837,5.52069
-7.99037,19.7019,5.94926,15.6678
-2.413,-8.78364,0.5687,2.29019
-0.394904,-3.75773,0.392728,0.289982
-5.31928,16.7702,2.1556,3.86252
1.29662,9.95156,0.509939,1.08523
-2.13586,4.30537,2.55785,3.56386
-2.07536,-2.30415,0.353624,0.629998
-0.785745,5.49892,3.00578,4.75362
-0.531029,-1.12039,1.40429,3.27468
-13.624,22.7747,4.03397,7.53491
-11.4843,17.9708,4.84577,9.40483
5.60679,-10.1254,0.811922,1.54855
-5.51727,-3.99818,1.80812,3.89576
-1.02423,2.7075,1.53434,1.91667
1.61522,-6.35535,0.395411,0.927573
-0.495801,3.56998,1.56077,3.50903
-4.22709,-4.39385,1.60749,9.59116
4.06255,1.79948,2.47423,1.69198
-0.847021,0.999647,3.21626,4.04065
-11.7847,12.833,3.62123,7.85745
-9.29636,37.0865,5.19547,14.0617
5.65569,-2.25248,4.05946,3.93671
-4.23631,-23.5791,0.736873,1.68101
-3.48869,7.95765,2.41774,5.66643
0.151166,-3.48595,1.0479,5.03834
0.293876,0.569453,0.507568,1.56956
0.210171,0.646555,1.35822,2.92235
0.151509,-1.32527,0.287565,0.534392
-0.389874,-1.64999,0.636698,2.4518
5.8476,4.09693,3.20479,5.17551
-1.34849,-3.90103,0.969559,2.04625
-1.81608,-11.4579,0.905356,6.40392
1.97291,4.34214,0.669647,1.45803
1.38594,-28.5616,1.51481,5.95729
2.79952,11.1145,1.63159,5.90549
-3.57228,10.9225,5.82366,10.7294
-17.0039,40.5454,4.53003,12.0279
-1.89799,-16.6254,0.722374,3.61155
-0.770386,-0.618065,0.717525,0.910029
-1.4221,21.3296,3.84583,7.54621
-1.25058,-22.0681,1.0777,2.23044
4.40155,8.8207,0.924706,1.65721
0.00325223,-1.11025,0.295825,0.483325
5.67968,17.7797,3.28493,6.98345
-2.01951,-4.85322,1.18832,1.70504
-2.73027,6.40684,2.81883,5.87779
0.265429,12.182,2.52463,8.65859
-0.178407,0.439288,0.137065,0.182729
1.48405,12.8059,2.48599,6.80949
-0.0784037,-1.58269,0.716263,2.11836
-0.423971,-0.456515,0.693639,0.787219
-4.97457,-2.23126,3.47879,5.7343
-3.49094,-1.88328,1.43561,4.30944
-14.5172,18.2572,4.70652,6.3257
-0.578412,4.22309,2.12898,5.59488
1.25819,22.3169,1.3906,3.96263
1.87942,-24.3987,0.857475,0.976119
-5.43038,11.8413,2.54757,6.6886
4.91767,2.70206,13.348,9.77392
0.58627,-5.45762,0.605586,2.10352
-0.352272,-2.38989,0.411995,0.902964
-0.213532,-3.587,0.950532,3.87156
0.140261,-2.76487,1.45591,4.50128
-6.43824,6.28422,2.99155,4.85841
2.14143,11.0858,1.6084,3.82098
-0.294696,2.67977,0.647715,2.24965
-3.83358,14.8341,5.36603,9.17817
-6.83795,13.801,4.95291,9.24505
4.02185,5.49191,3.95031,6.26699
-7.38059,-6.3859,1.81986,2.60293
2.36581,-0.310016,0.964892,3.42024
-0.822823,-7.70294,0.961127,3.7891
1.75276,8.23397,3.08238,9.24696
-5.32164,18.3085,3.52596,7.22177
0.520504,4.9977,1.30831,3.67027
-1.51445,-8.65863,1.47934,3.48736
-11.8907,32.7132,3.6817,6.89035
-0.0768809,-0.115693,0.433747,0.738299
-4.66162,-14.3355,0.754768,1.55962
5.44181,9.48706,2.79312,3.59006
0.448102,8.46112,0.786943,1.14756
-2.98129,21.8956,1.46213,4.24784
3.90288,3.03137,12.1983,8.77206
-3.06686,15.9609,1.11526,4.37559
-4.28857,20.4303,6.34289,8.27801
-2.69832,-5.45897,0.93394,5.00303
-3.29967,-5.4852,3.1088,6.73442
0.48084,0.368419,0.386633,0.460454
3.77927,17.9246,1.33296,4.37584
1.65882,-22.2231,1.14209,3.52183
3.37742,-10.3435,3.66104,10.3002
-0.392071,-0.557933,0.742811,1.72592
-0.570618,-4.55207,1.88057,2.5483
5.19594,-1.28548,2.35554,0.857268
-1.4282,8.45554,3.53449,3.6748
0.423963,-7.02872,1.61904,3.0616
-3.89532,-15.0963,3.41727,7.9658
-9.57151,20.0803,6.45305,10.296
-8.45643,14.6032,5.65401,6.60778
-1.07141,9.80682,2.09396,3.69936
-15.2383,23.7119,4.4396,6.01006
4.7282,38.3887,5.30934,15.052
2.56448,4.18555,1.71962,2.33555
0.48291,-0.294956,1.92652,1.46207
-12.9742,30.3589,7.11191,17.5199
3.21989,5.11047,6.36615,6.07693
-2.89769,8.78815,8.53691,10.4229
-2.10528,-1.30296,0.747367,1.61317
5.60452,4.7283,4.48003,3.36798
5.37971,5.64354,3.4416,4.68654
-4.45683,9.10666,2.32755,4.1183
-0.0952262,10.053,0.54096,0.664255
1.07204,-1.07674,1.07282,3.2652
4.0422,9.10459,0.965358,1.78481
1.92627,23.4931,3.61703,8.42774
-16.6589,29.1238,2.4447,4.64529
0.766011,-0.530698,1.11974,4.39269
2.47275,6.77886,1.81819,5.85587
-5.46229,-31.3892,1.05508,1.99175
-8.50476,-12.4808,2.12927,4.43583
-4.17591,-24.7766,0.56553,0.718914
-18.0645,37.9464,5.38692,12.1259
-14.5558,18.466,6.35949,11.9887
2.79121,-27.8587,1.90221,4.81065
-6.08325,14.4114,3.22904,7.48577
-0.660823,18.8247,2.82809,9.43922
0.266406,-18.701,1.12378,2.15089
-2.30299,4.8727,3.05309,11.3372
0.741105,0.967188,0.700382,1.66063
0.249571,10.4371,1.14654,3.59825
-2.41738,-2.63334,0.44027,0.885486
-2.41878,-0.0524039,2.43522,3.09165
0.362984,-0.165167,0.0898605,0.164004
1.2971,20.6471,1.1373,4.62866
-0.0858215,17.3498,2.20393,7.34576
0.201147,5.3687,1.41307,3.17353
-5.32489,5.29733,1.82245,2.96312
1.06682,10.866,3.52665,8.49796
3.25904,6.22367,4.08659,6.03613
-0.0893513,-0.741503,0.425031,1.41342
-0.906098,-21.4404,1.03826,4.75678
-0.284825,-2.90379,1.42199,2.57159
-9.68419,34.2559,3.11343,5.72472
1.60268,-10.556,1.16768,4.82606
-3.91449,22.9348,2.1338,5.89349
-12.0815,27.8783,3.12103,7.72776
1.81098,-3.59465,0.951491,3.67165
-14.2508,42.4278,3.26983,6.18123
-0.0780824,-0.0261053,0.302464,0.166273
-1.01248,-10.173,1.49233,6.28578
0.0818304,15.1558,0.554253,1.7072
1.03287,7.88909,2.70573,4.89767
-4.05379,6.25446,2.96339,5.66334
0.148051,3.8316,1.68698,2.76907
-1.79792,7.93318,2.39514,3.91212
-1.58894,8.83296,1.86879,5.35288
-7.05067,13.9225,4.5617,7.25776
-4.71708,-4.86789,2.38582,1.29896
0.386413,-2.10995,0.582351,2.05698
-1.93977,25.8153,3.98012,7.54845
-1.45154,-20.7176,0.700517,1.61411
-0.283522,-1.70492,0.586422,1.69113
4.95827,13.336,0.709792,2.01215
-5.50754,19.2984,2.6104,14.2836
-7.59584,15.9584,4.36155,7.24383
-1.04343,12.7037,0.434976,1.58723
-0.622337,1.43029,2.17718,5.13294
2.53981,2.38717,1.10928,2.73346
-0.33381,8.35959,2.15413,6.42582
-0.0287152,-6.12623,1.33089,1.63199
-5.23522,11.6919,6.30381,10.0658
1.97437,6.90442,0.32835,0.607119
-9.48609,25.48,5.10424,10.8161
0.341031,2.54789,0.906236,1.62614
0.108053,-0.117666,0.898177,1.8332
2.72872,10.2984,1.52904,4.99767
-2.08081,-3.98327,3.4402,4.17773
-5.70668,10.1533,5.49145,8.61974
-0.919918,4.66775,1.081,3.03652
-1.18191,0.463938,0.977876,5.01353
-3.17002,-4.9989,0.724726,2.81743
-3.84449,-10.4602,2.09413,3.41069
-8.27336,-2.64878,1.85786,1.25147
-0.190442,-0.164206,0.303305,0.340067
-7.81965,0.115368,2.93299,5.32614
0.0677329,2.05959,0.993124,1.96031
-9.46626,-4.58471,1.45008,1.12595
-5.15251,5.34089,2.71693,2.51748
-4.71378,-15.373,2.58722,8.91904
-2.09287,0.375201,2.77963,3.86078
-2.30225,-11.5442,1.55687,5.67897
-4.1932,-2.34087,1.18439,2.52269
1.70588,-4.02434,3.69918,5.7076
9.61973,11.8358,3.54087,3.37632
-1.16887,5.29887,0.537742,1.04652
-1.58381,-6.66718,0.732176,2.34268
-4.23503,-0.174971,1.95638,3.26546
6.08349,8.46177,5.14146,6.01504
0.807271,-2.36438,0.415749,2.22059
-3.51124,-3.07109,0.417919,0.477401
0.510473,-0.503999,0.107495,0.168759
2.39005,10.1293,0.366468,0.629251
2.8852,23.513,1.44573,3.99229
-3.11648,4.03618,3.32151,4.75096
-0.165756,-0.257215,0.290075,0.484834
-5.75053,-16.6207,1.1841,1.90251
1.03576,0.0150658,0.548318,0.559851
-1.57015,-2.0517,0.393045,0.890321
2.43065,12.2766,2.22812,4.37063
-3.26055,6.1272,4.17226,10.4445
2.96084,16.3853,5.01852,7.61916
-12.8516,18.5307,4.48679,7.09547
-13.6385,26.1171,1.86231,3.22633
-19.5772,22.3523,2.20203,4.13365
-2.57574,2.15593,2.27972,5.12663
-0.119808,0.812775,0.229288,0.490681
-7.20999,15.0943,5.97089,12.3179
0.148331,1.67338,1.34527,1.4583
3.76806,16.1586,1.95379,5.17155
0.327903,-0.864677,0.304704,0.358032
0.061866,-3.11876,0.597102,2.89194
-4.16918,17.916,4.16268,4.03579
4.88089,-8.82574,2.13803,7.16734
-1.78962,-7.66908,1.04054,3.41404
-2.29155,0.538935,1.10756,6.1719
9.22685,16.5639,0.849517,1.36035
4.87105,44.4507,5.38615,9.49509
13.6971,13.6336,7.8719,8.31927
1.99255,0.272774,2.57767,2.54361
-12.6092,-8.41645,2.7902,2.1027
-2.3333,-1.25462,1.73828,1.43773
-19.6346,24.1307,4.35667,4.64637
3.4187,3.66871,1.1281,1.85762
2.23613,-10.9739,1.56639,4.06144
-2.00348,2.90444,1.68446,4.03756
-5.41287,-5.21546,4.27103,6.40411
3.70089,0.528845,0.916309,1.51637
-15.9735,40.6478,4.44778,10.8997
-0.3877,6.91584,1.60954,2.57481
-0.945504,9.10387,2.67785,8.65842
-3.04913,-7.87172,0.501837,1.15433
-2.09816,-18.0332,1.01358,3.93501
-2.21256,-7.71801,0.719437,2.96106
-0.103234,0.209198,0.485478,0.412514
3.41812,7.87989,5.87323,6.4864
5.07004,13.5114,1.35151,3.08075
-3.97634,-28.7269,1.33872,2.90302
-0.957149,-2.54805,0.547107,1.16545
1.48183,11.6264,1.10937,1.39653
2.60732,15.6302,3.24618,4.94653
-4.51616,-9.13424,0.987475,1.59405
-2.91301,-1.8621,1.77966,2.70344
-5.05419,15.2648,2.56752,7.21097
-3.77929,9.26363,4.64697,8.04891
-3.42682,-8.79685,1.04077,2.85458
