jannis/table2.V29,jannis/table2.V38,jannis/table2.V41
1.0,0.680556,0.112952
1.0,0.386111,-1.73992
0.33125,0.544444,0.760322
0.339583,0.639583,-0.131592
0.127083,0.2375,0.54219
0.277083,0.313889,1.20274
0.1875,0.0944444,4.05932
0.735417,0.458333,-0.429142
0.594444,0.727083,-0.621341
0.540625,0.416667,-0.685065
0.85,0.175,4.31814
0.313889,0.641667,0.156993
0.93125,0.0944444,1.08948
1.0,0.166667,-1.89673
0.233333,0.35,2.81546
0.554167,0.54375,1.24546
1.0,0.433333,0.152279
0.147917,0.190625,-0.752183
0.678125,0.320833,0.122885
1.0,0.297222,-0.967811
0.0541667,0.5625,-1.58725
1.0,0.213889,0.00413985
0.177083,0.208333,1.37355
1.0,0.3875,-0.0696347
0.125,0.0638889,-0.40595
0.163889,0.35,0.646799
1.0,0.233333,-0.785826
1.0,0.0722222,-0.319879
0.73125,0.316667,-0.0867706
0.0854167,0.186111,-0.122782
0.7125,0.177778,0.19238
0.0625,0.541667,0.432135
0.191667,0.594444,-0.335074
0.3875,0.341667,0.0360246
0.483333,0.555556,1.2649
0.972917,0.419444,2.7989
0.483333,0.880556,1.14091
0.785417,0.61875,-0.918339
0.352083,0.822222,-0.0295049
0.263889,0.495833,-0.108496
0.310417,0.383333,0.227718
0.320833,0.491667,0.182566
0.995833,0.102778,-0.471328
0.291667,0.05,-0.462333
0.427083,0.7625,0.475166
0.15,0.0888889,0.0874535
0.241667,0.152083,-0.46211
0.260417,0.136111,3.80783
0.445833,0.7,1.08353
0.3625,0.433333,2.8715
0.0583333,0.355556,-1.24688
1.0,0.210417,0.251273
1.0,1.0,-0.290445
1.0,0.611111,-0.277037
0.116667,0.55,0.0112827
0.333333,0.372917,0.298029
1.0,0.25625,0.271462
0.384375,0.135417,7.10583
0.80625,0.219444,-1.88303
0.625,0.613889,0.496919
0.61875,0.60625,-2.2906
0.41875,0.675,-0.850411
0.908333,0.333333,-0.00953297
0.0958333,0.177083,1.36494
0.244444,0.819444,1.29527
0.541667,0.197917,-1.25998
0.845833,0.5,-1.19595
0.463889,0.136111,0.095223
0.185417,0.25,0.956193
0.635417,0.194444,0.867937
0.610417,0.635417,-0.81458
0.19375,0.520833,-0.212702
0.983333,1.0,0.0228965
0.752083,0.108333,1.75408
0.227778,0.352778,0.282765
1.0,0.247222,0.098585
1.0,0.985417,-0.173805
0.789583,0.475,-0.115949
0.441667,1.0,-0.197159
0.594444,0.56875,-1.32748
0.316667,0.0861111,-0.606298
0.675,0.402778,0.0361602
0.972917,0.435417,-0.309158
1.0,0.0555556,3.96368
0.141667,0.685417,-0.534913
1.0,0.5375,0.333137
0.377083,0.075,2.485
0.939583,0.54375,-0.812991
0.05625,1.0,-0.481548
0.09375,0.761111,-0.633313
0.241667,0.440625,0.565257
1.0,0.0770833,0.268372
0.2875,0.475,0.420178
1.0,0.3625,-1.93625
0.8625,0.304167,-0.221159
0.419444,0.120833,2.24639
0.0791667,0.259375,1.98348
0.997917,0.139583,-0.485341
0.452778,0.58125,-2.33629
0.35625,0.138889,1.63017
1.0,0.694444,0.0876326
0.252083,0.297917,5.29861
0.647222,0.933333,2.87724
0.161111,0.8,0.867749
1.0,0.164583,1.61764
0.260417,0.55,1.10646
0.652083,1.0,0.607501
0.577083,0.179167,-1.18195
0.08125,0.728125,0.393256
1.0,0.205556,1.84373
1.0,0.344444,0.187174
0.510417,0.788889,0.970126
0.825,0.233333,-0.160918
1.0,0.272917,-1.97798
0.595833,0.245833,1.19298
0.03125,0.6125,-0.71484
0.944444,0.655556,0.00409286
0.679167,0.241667,-0.799124
1.0,0.0888889,2.36922
0.108333,0.25625,0.334182
1.0,0.166667,-0.408048
1.0,0.186111,-0.794471
0.502778,0.819444,0.184729
0.347222,0.195833,-0.541474
0.775,0.495833,-0.654815
0.230556,0.133333,-0.531475
0.235417,0.929167,0.97976
0.683333,0.466667,0.740068
0.1625,0.691667,-0.21582
0.145833,0.258333,-0.789929
0.108333,0.170833,0.551903
0.372917,0.370833,-0.186117
0.997222,0.233333,-0.0949895
0.497222,0.158333,0.13878
0.866667,0.183333,0.727063
0.275,0.0972222,2.35918
0.0291667,0.235417,0.292812
0.0416667,0.133333,0.275186
0.458333,0.191667,0.197805
1.0,0.50625,0.154834
