V21,V24,V25
7.14692,4.24676,0.74796
8.3072,5.52069,-1.2789
19.7019,15.6678,-0.0285853
-8.78364,2.29019,0.156257
-3.75773,0.289982,-0.342658
16.7702,3.86252,-0.250629
9.95156,1.08523,-1.21284
4.30537,3.56386,-0.390544
-2.30415,0.629998,-18.8092
5.49892,4.75362,0.0403914
-1.12039,3.27468,1.15419
22.7747,7.53491,-0.631392
17.9708,9.40483,0.291699
-10.1254,1.54855,-0.941083
-3.99818,3.89576,-0.30861
2.7075,1.91667,-0.415091
-6.35535,0.927573,-0.169118
3.56998,3.50903,-3.29772
-4.39385,9.59116,0.0579544
1.79948,1.69198,-0.42862
0.999647,4.04065,-0.927819
12.833,7.85745,-1.53124
37.0865,14.0617,-0.512011
-2.25248,3.93671,1.97928
-23.5791,1.68101,0.0958754
7.95765,5.66643,0.188068
-3.48595,5.03834,-1.23413
0.569453,1.56956,-0.236551
0.646555,2.92235,0.174787
-1.32527,0.534392,-4.07575
-1.64999,2.4518,-0.39773
4.09693,5.17551,-0.0471284
-3.90103,2.04625,-0.836059
-11.4579,6.40392,0.233076
4.34214,1.45803,-0.469349
-28.5616,5.95729,-0.568197
11.1145,5.90549,-0.393632
10.9225,10.7294,0.581387
40.5454,12.0279,-0.396698
-16.6254,3.61155,0.72006
-0.618065,0.910029,-0.304216
21.3296,7.54621,0.110122
-22.0681,2.23044,0.373848
8.8207,1.65721,-1.59895
-1.11025,0.483325,-0.945812
17.7797,6.98345,-0.0485641
-4.85322,1.70504,-0.855123
6.40684,5.87779,0.343166
12.182,8.65859,0.512474
0.439288,0.182729,-8.12292
12.8059,6.80949,-0.758058
-1.58269,2.11836,-0.093864
-0.456515,0.787219,-15.5403
-2.23126,5.7343,-0.0868497
-1.88328,4.30944,0.636551
18.2572,6.3257,-0.183558
4.22309,5.59488,-0.963352
22.3169,3.96263,-3.50387
-24.3987,0.976119,0.320144
11.8413,6.6886,0.383078
2.70206,9.77392,-0.712138
-5.45762,2.10352,-8.93001
-2.38989,0.902964,0.766362
-3.587,3.87156,-1.05298
-2.76487,4.50128,-0.361496
6.28422,4.85841,0.28922
11.0858,3.82098,-0.0681531
2.67977,2.24965,-5.03355
14.8341,9.17817,0.0354208
13.801,9.24505,0.200949
5.49191,6.26699,-0.598036
-6.3859,2.60293,-2.16155
-0.310016,3.42024,-1.18461
-7.70294,3.7891,-0.124333
8.23397,9.24696,-0.484206
18.3085,7.22177,-0.973421
4.9977,3.67027,0.691794
-8.65863,3.48736,-1.44159
32.7132,6.89035,-0.711341
-0.115693,0.738299,-2.55108
-14.3355,1.55962,0.297353
9.48706,3.59006,0.664786
8.46112,1.14756,-0.548199
21.8956,4.24784,-1.07268
3.03137,8.77206,-0.250155
15.9609,4.37559,-1.45555
20.4303,8.27801,1.11739
-5.45897,5.00303,-0.5142
-5.4852,6.73442,1.48212
0.368419,0.460454,-1.11067
17.9246,4.37584,-2.6377
-22.2231,3.52183,0.871981
-10.3435,10.3002,-0.446844
-0.557933,1.72592,-2.19822
-4.55207,2.5483,3.23555
-1.28548,0.857268,-0.123314
8.45554,3.6748,0.159375
-7.02872,3.0616,1.69633
-15.0963,7.9658,2.30613
20.0803,10.296,-0.209771
14.6032,6.60778,-0.4245
9.80682,3.69936,-1.4054
23.7119,6.01006,0.00190028
38.3887,15.052,0.332626
4.18555,2.33555,0.301655
-0.294956,1.46207,-3.04305
30.3589,17.5199,0.150099
5.11047,6.07693,-1.84504
8.78815,10.4229,0.0205099
-1.30296,1.61317,-2.31735
4.7283,3.36798,0.274223
5.64354,4.68654,0.899888
9.10666,4.1183,0.0473466
10.053,0.664255,-2.8037
-1.07674,3.2652,0.219931
9.10459,1.78481,-5.19304
23.4931,8.42774,0.0986525
29.1238,4.64529,1.49923
-0.530698,4.39269,1.17436
6.77886,5.85587,0.946024
-31.3892,1.99175,1.06271
-12.4808,4.43583,0.165697
-24.7766,0.718914,-6.75024
37.9464,12.1259,-0.504293
18.466,11.9887,0.611026
-27.8587,4.81065,0.840339
14.4114,7.48577,-0.772706
18.8247,9.43922,0.276155
-18.701,2.15089,0.767495
4.8727,11.3372,-0.032529
0.967188,1.66063,-2.16553
10.4371,3.59825,-0.396464
-2.63334,0.885486,-6.47316
-0.0524039,3.09165,0.222431
-0.165167,0.164004,-4.64685
20.6471,4.62866,-0.68932
17.3498,7.34576,-0.206082
5.3687,3.17353,0.918895
5.29733,2.96312,1.38414
10.866,8.49796,0.657364
6.22367,6.03613,-1.40673
-0.741503,1.41342,-1.38211
-21.4404,4.75678,1.31148
-2.90379,2.57159,-1.65495
34.2559,5.72472,-0.675155
-10.556,4.82606,0.486395
22.9348,5.89349,-1.41102
27.8783,7.72776,-0.727311
-3.59465,3.67165,0.588468
42.4278,6.18123,-1.59032
-0.0261053,0.166273,-6.34939
-10.173,6.28578,0.527899
15.1558,1.7072,-2.02514
7.88909,4.89767,-0.746906
6.25446,5.66334,0.878669
3.8316,2.76907,1.6507
7.93318,3.91212,0.439589
8.83296,5.35288,-0.115023
13.9225,7.25776,-2.7384
-4.86789,1.29896,-0.790044
-2.10995,2.05698,-0.967131
25.8153,7.54845,-0.528764
-20.7176,1.61411,0.231721
-1.70492,1.69113,-3.19086
13.336,2.01215,-1.85815
19.2984,14.2836,-0.483916
15.9584,7.24383,2.30152
12.7037,1.58723,-1.16943
1.43029,5.13294,-0.598139
2.38717,2.73346,0.0329376
8.35959,6.42582,-0.0222285
-6.12623,1.63199,2.58479
11.6919,10.0658,0.125787
6.90442,0.607119,-2.86659
25.48,10.8161,-0.670488
2.54789,1.62614,-0.111387
-0.117666,1.8332,-7.04615
10.2984,4.99767,-0.220209
-3.98327,4.17773,-0.380414
10.1533,8.61974,-0.122578
4.66775,3.03652,-0.765578
0.463938,5.01353,-0.130861
-4.9989,2.81743,0.0307298
-10.4602,3.41069,-0.128821
-2.64878,1.25147,-3.63394
-0.164206,0.340067,-17.3243
0.115368,5.32614,1.04152
2.05959,1.96031,-0.925485
-4.58471,1.12595,-0.0169219
5.34089,2.51748,-0.435629
-15.373,8.91904,-0.265182
0.375201,3.86078,0.620009
-11.5442,5.67897,-2.2038
-2.34087,2.52269,-0.33807
-4.02434,5.7076,-0.616374
11.8358,3.37632,-1.23984
5.29887,1.04652,-1.12061
-6.66718,2.34268,0.00215359
-0.174971,3.26546,1.34072
8.46177,6.01504,-0.607691
-2.36438,2.22059,-0.905667
-3.07109,0.477401,-1.06397
-0.503999,0.168759,-29.4942
10.1293,0.629251,-0.271109
23.513,3.99229,-1.12112
4.03618,4.75096,1.08436
-0.257215,0.484834,-11.5386
-16.6207,1.90251,-0.360264
0.0150658,0.559851,-4.61139
-2.0517,0.890321,-1.36186
12.2766,4.37063,-1.2079
6.1272,10.4445,0.0831037
16.3853,7.61916,0.0910197
18.5307,7.09547,-0.0998414
26.1171,3.22633,-1.15132
22.3523,4.13365,-0.10569
2.15593,5.12663,1.16633
0.812775,0.490681,-2.98295
15.0943,12.3179,-0.207247
1.67338,1.4583,0.0691525
16.1586,5.17155,-0.745795
-0.864677,0.358032,-10.3483
-3.11876,2.89194,-0.976027
17.916,4.03579,-0.259288
-8.82574,7.16734,-0.474029
-7.66908,3.41404,0.617144
0.538935,6.1719,-0.666615
16.5639,1.36035,-5.34463
44.4507,9.49509,-0.159223
13.6336,8.31927,1.69675
0.272774,2.54361,-1.07095
-8.41645,2.1027,1.85186
-1.25462,1.43773,-2.98235
24.1307,4.64637,-2.72898
3.66871,1.85762,0.258853
-10.9739,4.06144,1.81065
2.90444,4.03756,0.491864
-5.21546,6.40411,0.581974
0.528845,1.51637,-3.23687
40.6478,10.8997,-0.382359
6.91584,2.57481,0.494499
9.10387,8.65842,1.27761
-7.87172,1.15433,-0.733826
-18.0332,3.93501,0.339559
-7.71801,2.96106,-0.733123
0.209198,0.412514,-4.19408
7.87989,6.4864,-0.82659
13.5114,3.08075,-1.49524
-28.7269,2.90302,0.226848
-2.54805,1.16545,-0.464708
11.6264,1.39653,-0.985506
15.6302,4.94653,0.0971524
-9.13424,1.59405,0.634885
-1.8621,2.70344,-0.866961
15.2648,7.21097,-0.00822271
9.26363,8.04891,-0.585185
-8.79685,2.85458,-0.200785
0.353909,3.02599,0.102129
-0.436307,3.75933,-1.4336
-13.2071,0.909859,0.630501
-2.82945,1.46895,-1.46986
14.8403,6.36225,0.217943
10.275,0.916715,-1.38321
5.30126,3.92032,-1.02186
-6.53416,4.73829,-0.00138681
17.8152,5.89053,0.439815
-11.193,0.682343,-5.643
21.964,3.2822,-1.03907
-10.0469,2.16675,0.0841212
22.0899,6.56661,-0.752224
-4.91293,0.756142,-0.780904
11.6941,4.07463,-0.0162932
16.4322,5.625,0.379422
15.1156,5.28961,-0.220675
-2.56259,3.26822,1.32989
10.3002,2.7215,-1.191
6.54785,8.26657,0.557686
-5.68636,1.67664,0.0555216
-26.4079,2.86162,0.549774
2.28125,2.86094,-0.625574
0.311004,1.80507,-4.26408
