jannis/table9.V16,jannis/table9.V17,jannis/table9.V18
1.09383,1.10455,1.58456
0.224212,0.242705,0.231948
0.322754,0.170381,-0.232729
1.43247,1.54678,1.22108
-0.66651,-0.597046,-4.58838
-0.211261,-0.0699875,-0.0875347
-1.24741,-0.552441,0.345247
-1.19812,-1.8575,-2.60761
-1.70874,-1.70152,-1.55509
1.01651,0.853511,0.819033
-0.480702,-0.391382,-0.426862
-0.256956,-0.174171,-0.286201
-1.20429,-1.30099,-1.52397
0.949009,1.1032,1.11258
-0.418327,-0.161674,-0.00592041
2.00928,1.98235,2.34757
0.466332,0.424339,-0.309295
-1.00178,-0.927514,-0.500932
0.835981,0.959097,1.60312
-0.0559776,-0.473786,-0.570294
0.841382,0.802833,0.841499
-0.266538,-0.246515,-0.248782
-1.21521,-0.971229,-0.682169
0.656651,-2.41937,-5.63028
1.10171,1.20965,1.15957
0.94274,0.995762,0.972106
1.26422,1.26237,1.07661
-0.291928,-0.472448,-2.26848
-0.276003,-0.278972,-0.27543
-1.65218,-2.11243,-2.34889
0.861475,0.68964,-0.200281
0.187753,4.15133,9.00998
-1.26724,-1.18671,-1.04503
1.45802,1.86877,2.65608
-1.49104,-1.55516,-1.51557
1.77729,1.74173,1.94958
0.186729,0.0141327,-0.25349
0.148839,0.0373248,0.166534
0.215447,0.255813,0.595941
0.170429,0.475749,0.69181
-0.100387,0.265035,0.0908835
2.70171,3.6821,3.85832
2.2451,2.41814,2.51836
-0.625957,-0.575014,-0.502663
-0.691209,0.261148,1.15096
1.9833,2.25944,2.22
2.33766,2.72485,2.98525
0.710094,0.717834,0.841345
0.567726,0.636763,1.32303
1.3541,2.08088,2.89753
-1.51375,-1.28219,-1.37359
1.30305,1.24074,1.09311
1.64432,1.67769,1.6788
2.38562,3.37716,3.00761
0.0572373,0.6314,1.37515
0.209847,0.183448,0.742337
-1.6096,-1.83689,-2.20678
1.63865,1.24293,1.15151
1.1147,1.84135,2.76063
1.02556,0.124202,-0.154884
0.648345,0.489247,0.921399
1.7118,1.78009,2.00766
1.69801,0.85038,-0.988944
0.943492,1.24947,1.37868
-4.75046,-6.2043,-10.1259
-1.80418,-1.8004,-1.67456
1.89141,1.90727,1.93558
2.45794,2.63061,2.89567
0.65812,0.643408,0.828242
1.66519,1.57146,1.95114
0.81974,0.989892,1.56089
-0.191611,0.693037,1.5871
0.171584,0.733231,0.958083
0.606083,-0.247872,0.329506
0.403552,0.431672,0.167701
-0.400326,-0.353705,-0.44472
-0.17499,-0.19158,-0.172274
-7.18654,-7.34507,-7.83641
-0.150316,-0.0734407,-0.18784
0.614418,0.576307,0.715678
-6.46364,-5.94065,-4.03294
0.912687,0.658374,-0.260863
1.48223,1.51066,1.78363
0.428223,0.406035,0.264037
-0.656661,-0.434131,-0.312244
1.02615,0.9916,1.63381
2.86106,1.99246,1.34636
0.230085,0.385248,0.428076
-0.158509,-0.153231,0.182949
1.97506,1.99474,2.08757
1.24714,1.02587,0.889203
0.0883201,0.159239,-0.0971199
-0.914837,-2.05768,-3.98257
0.818975,0.994393,0.608343
-0.160173,-0.11843,0.366042
-0.581411,-0.295241,-0.0324038
-0.835442,-0.747815,-0.707854
1.90443,2.13,1.89478
1.41214,2.6805,3.04218
0.931814,0.724055,0.472251
1.36506,1.2483,1.76667
-0.310517,-0.364979,-0.463186
0.203475,0.188678,0.319273
-1.65249,-1.59793,-1.1195
1.37036,1.43656,1.45282
0.166405,0.33475,0.569516
-3.06425,-3.22354,-2.98116
0.697726,1.9003,4.11848
1.58955,1.59806,0.977539
-0.107283,-0.114934,-0.0921998
-1.63892,-1.60213,-0.92177
1.46281,1.47649,1.94624
1.61103,1.51849,2.31226
5.11426,4.78223,4.73018
3.91166,5.10641,6.19204
0.935714,2.16687,2.35508
1.05833,1.89269,3.57971
0.592356,0.917511,1.254
0.5904,0.613361,0.445435
0.33875,-0.242728,0.104406
0.444526,0.407108,0.300062
-1.14127,-12.2056,-8.77768
-0.531963,-0.173618,0.0165073
0.538804,0.640992,0.883236
-0.996268,-0.940728,-0.970299
-4.755,-3.87148,-2.86261
1.0063,0.841113,0.806184
1.00353,0.773737,0.249747
-0.675617,-0.682164,-0.551691
1.1633,1.33127,1.67716
1.00441,2.1378,1.17322
-1.00162,-0.552504,-0.509862
-0.0865612,-0.0310439,0.104901
-0.970175,-2.2994,-3.11859
-0.0782509,-0.0691194,-0.0245005
0.826347,1.34177,2.65534
1.00013,0.937414,0.732206
0.497018,0.557826,0.596645
0.365717,0.179393,0.727683
0.0744579,-0.019545,0.224733
0.577107,0.709448,0.94209
0.137991,0.0629994,0.0638547
-1.29216,-1.75881,-2.33059
0.058192,4.29718,4.64845
-1.16907,-1.06211,-1.2441
-0.78837,-0.878315,-0.756524
-7.90261,-7.91794,-7.57076
1.78926,1.73788,1.62541
-0.311019,-0.417749,-0.33375
-0.323779,-0.150216,0.0779484
1.26175,1.18115,0.943051
1.79829,1.04075,0.595488
0.22436,0.0144867,-0.301007
-0.016499,0.100867,0.0878645
-2.92521,-2.77343,-2.51221
-1.73924,-1.47082,-1.10837
-0.33615,1.2342,1.17546
1.70465,1.98806,2.30698
4.25515,5.22439,4.9363
0.322006,-0.579655,0.267043
-0.20406,-0.056942,0.518284
-0.318513,-0.264648,-0.168295
-0.115112,0.0172328,0.192157
-0.0264245,-0.0492391,-0.0426406
-0.445243,-0.893331,-1.27042
-0.459193,-0.379242,-0.306068
-0.374233,-0.392342,0.0130833
0.825071,0.834553,0.969873
-1.1,-0.862074,0.0517498
0.393749,0.462532,0.83456
0.54994,0.37748,0.356945
4.31817,5.07773,5.23293
0.218871,0.23924,0.219821
0.250861,-0.280969,-0.765668
2.36676,2.1097,1.9832
-0.167035,0.0969257,0.327048
-3.35109,-2.88338,-2.62451
0.773765,0.254231,1.20115
-0.124893,-0.0185367,0.0225749
1.06756,1.20038,1.17885
-0.240221,-0.238627,-0.381564
1.73002,2.16674,2.22738
-7.37775,-25.1657,-26.0795
0.672397,0.765491,1.30696
0.457159,0.483556,0.599859
-0.149481,0.0195858,-0.0207882
-1.52113,-1.404,-1.42174
-1.45772,-1.23173,2.57031
-0.0867138,-0.116219,-0.162729
0.632929,0.707999,0.755648
2.11249,2.27378,2.31177
-1.67753,-2.01115,-1.9605
0.444091,-0.148433,-6.38866
-0.662523,0.153717,2.45322
-0.036998,-1.01051,-4.65974
-1.17408,-1.16133,-1.07952
0.622397,0.645817,0.70657
1.16053,1.2988,1.38994
-3.86298,-3.86406,-5.89096
0.128418,0.122814,-0.118561
-0.292992,-0.187675,-0.159097
1.48365,0.499424,-0.27645
8.21103,10.3193,11.4468
-1.3826,-1.18123,-1.05604
1.7185,1.62571,0.339969
6.50069,7.31234,7.26938
0.799532,1.0066,1.15165
0.328138,0.25224,1.47186
0.208431,0.315455,0.493211
0.304036,1.60956,1.23111
-0.13907,-0.78316,-1.13649
0.255354,0.343471,0.351792
-0.817623,-0.741692,-0.288392
-1.23821,-3.29443,-8.98159
-0.898667,-0.839012,-0.698302
0.573711,0.534781,0.256614
-0.110909,-0.368491,-0.472694
-0.396332,-0.151533,0.588679
0.661154,0.430361,-0.393439
0.809552,-0.947477,-0.833488
0.226367,0.232064,0.273814
0.854006,0.806364,1.13353
1.26806,1.7873,1.98032
0.406416,0.511377,0.745705
0.628676,0.786205,1.09147
-3.8416,-3.84803,-3.77143
-0.778403,-0.743959,-0.718507
1.60584,1.72926,2.07703
1.5191,1.68351,1.53025
0.103753,0.0279858,-0.279104
0.389663,0.584117,-0.314111
0.952457,0.91817,0.78414
-0.779089,-0.256234,1.81341
0.0619597,0.942592,1.43634
-0.0578165,-0.395202,-3.06619
-0.314419,-1.0473,-1.70739
1.2103,0.969367,0.671126
0.78177,1.14602,3.1693
1.45333,1.53142,1.74284
0.0565268,0.486444,1.51394
0.78358,1.51638,1.60685
-0.439429,0.299105,0.150244
-0.580756,-0.10395,0.431713
-0.342957,-0.328299,0.0249228
-5.06585,-5.54289,-4.23038
-13.827,-17.547,-13.0652
5.782,1.31455,0.154894
0.937628,-1.08447,-1.29055
-0.172754,-0.965153,-8.43729
0.681147,0.782377,0.942047
3.55827,2.92724,1.22414
-0.438971,-0.252397,-0.0193971
-2.57859,-2.16199,-1.94199
2.56951,3.32322,3.5962
1.12057,1.03629,0.759532
-0.980118,-0.964344,-0.866406
1.05702,0.954213,0.468415
0.153829,0.204643,0.245568
0.0803604,0.329232,0.669983
-0.537816,-4.94837,-14.3168
1.09204,1.14235,1.76415
-0.579768,-0.720959,-0.77188
0.326794,0.254083,-0.254745
-2.3423,-1.99914,-1.51165
-2.59025,-5.21485,-2.93524
0.194568,0.785337,1.88698
0.726321,0.435993,0.1624
-0.208137,-0.233815,0.219794
0.0831776,-0.559855,-1.61232
-0.468523,-0.536385,-0.473584
0.887486,1.45072,1.63668
0.346104,0.473325,0.451538
-1.11376,-1.0437,-0.81602
-1.19168,-1.24856,0.671528
-5.34037,-4.96806,-4.68476
