air/pm10_daily_summary.o3_AQI,air/pm10_daily_summary.f0_,air/pm10_daily_summary.f1_,air/pm10_daily_summary.f2_,air/pm10_daily_summary.f3_,air/pm10_daily_summary.f4_,air/pm10_daily_summary.f5_,air/pm10_daily_summary.f6_,Day
22.950746268656737,25.87014925373135,12.735820895522384,1.0,100.0,California,San Diego,Chula Vista,2021-08-14
20.690140845070424,23.102112676056336,15.767605633802813,1.0,100.0,Alabama,Madison,Huntsville,2007-12-18
26.37837837837838,28.909909909909917,6.4324324324324325,1.0,100.0,California,Sacramento,Sacramento,1993-04-14
18.78082191780822,21.068493150684915,19.830136986301365,1.0,100.0,Alabama,Jefferson,Birmingham,2016-02-22
17.500000000000007,18.93356643356643,14.716783216783222,1.0,100.0,Alabama,Jefferson,Birmingham,2005-04-30
20.07547169811321,23.048517520215626,11.88679245283019,1.0,100.0,Missouri,Buchanan,St. Joseph,2006-01-14
23.846456692913385,26.846456692913385,14.913385826771654,1.0,100.0,Alabama,Madison,Huntsville,2004-05-28
26.109289617486343,29.60655737704916,12.95628415300546,1.0,100.0,Alabama,Jefferson,Birmingham,2000-04-10
16.40883977900553,17.795580110497237,10.674033149171269,1.0,100.0,Alabama,Jefferson,Birmingham,1995-03-05
10.4174041297935,11.358407079646042,12.110619469026568,1.0,100.0,Michigan,Monroe,Monroe,2019-12-29
24.564655172413797,27.42887931034483,18.47413793103448,1.0,100.0,California,San Diego,El Cajon,2021-05-19
24.5875,27.05000000000001,0.7375000000000002,1.0,100.0,Colorado,Denver,Denver,1990-02-02
17.20031055900622,18.704968944099377,13.347826086956514,1.0,100.0,California,San Diego,Chula Vista,2021-05-28
15.73098125689085,17.31642778390299,4.7662624035281205,1.0,100.0,Alabama,Jefferson,Birmingham,2008-12-14
26.37121831561733,28.996729354047428,1.68192968111202,1.0,100.0,Alabama,DeKalb,Fort Payne,1999-06-11
18.841121495327105,20.714953271028037,8.96728971962617,1.0,100.0,Alaska,Juneau ,Juneau,1999-08-01
17.219730941704047,18.995515695067265,17.05381165919283,1.0,100.0,Alabama,Jefferson,Birmingham,2017-09-25
23.35540069686413,26.02090592334495,15.442508710801391,1.0,100.0,California,Colusa,Cortina Indian Rancheria,2006-04-25
21.532828282828294,24.4141414141414,19.962121212121204,1.0,100.0,Alabama,Jefferson,Birmingham,2017-11-13
13.468164794007487,14.700374531835214,17.659176029962534,1.0,100.0,Alabama,Jefferson,Birmingham,2009-12-26
21.244389027431424,23.73566084788028,20.114713216957615,1.0,100.0,Alabama,Madison,Huntsville,2020-05-29
19.562189054726375,21.43383084577116,4.365174129353234,1.0,100.0,Alabama,Jefferson,Bessemer,2007-03-31
16.283400809716614,18.113360323886653,13.78137651821861,1.0,100.0,Alabama,Jefferson,Birmingham,2001-12-08
19.923344947735192,21.99651567944249,17.149825783972126,1.0,100.0,Alaska,Anchorage ,Anchorage,2010-06-05
26.35353535353536,29.31313131313131,13.484848484848486,1.0,100.0,Alabama,Jefferson,Birmingham,2000-08-30
12.776811594202895,13.828985507246376,19.066666666666663,1.0,100.0,Alabama,Jefferson,Birmingham,2013-12-08
24.706783369803063,27.25820568927793,5.524070021881837,1.0,100.0,Arizona,Gila,Miami,2010-10-11
20.68379446640316,23.079051383399204,14.189723320158109,1.0,100.0,Alabama,Jefferson,Birmingham,2003-12-01
17.469194312796237,19.11712931618145,0.941096817874068,1.0,100.0,Alabama,Jefferson,Birmingham,1994-01-26
35.44186046511627,40.55813953488372,1.825581395348839,1.0,100.0,Colorado,Denver,Denver,1991-08-29
26.281767955801115,28.988950276243088,11.187845303867396,1.0,100.0,Alabama,Madison,Huntsville,1999-09-13
17.19832402234636,18.77932960893854,19.44692737430168,1.0,100.0,Alabama,Jefferson,Birmingham,2015-01-20
27.93788819875776,31.049689440993777,9.67701863354037,1.0,100.0,Alabama,Jefferson,Birmingham,1994-03-14
