air/o3_daily_summary.o3_AQI,air/o3_daily_summary.f0_,air/o3_daily_summary.f1_,air/o3_daily_summary.f2_,air/o3_daily_summary.f3_,air/o3_daily_summary.f4_,air/o3_daily_summary.f5_,air/o3_daily_summary.f6_,Day
43.41219512195118,0.0438666666666666,10.086991869918704,16.913821138211393,99.49268292682908,Alaska,Fairbanks North Star ,Fairbanks,2021-08-14
26.897674418604645,0.029015503875969,10.728682170542635,16.65581395348838,97.97674418604645,Alabama,Jefferson,Birmingham,2007-12-18
40.19158361018827,0.0399545957918051,11.957918050941313,16.235880398671082,95.51495016611304,Alabama,Clay,Ashland,1993-04-14
34.38713745271125,0.037031525851198,10.852459016393436,16.809583858764185,98.88020176544768,Alabama,DeKalb,Crossville,2016-02-22
40.25745033112589,0.0419685430463575,11.259933774834431,16.389072847682073,96.4139072847682,Alabama,Baldwin,Fairhope,2005-04-30
30.3776,0.0328527999999999,11.88159999999999,16.81599999999998,98.9168,Alabama,Jefferson,Birmingham,2006-01-14
41.7338709677419,0.0433185483870967,10.996774193548376,16.859677419354835,99.17258064516136,Alabama,Baldwin,Fairhope,2004-05-28
41.87006737247353,0.0441289701636188,10.18768046198269,16.787295476419605,98.74590952839264,Alabama,Baldwin,Fairhope,2000-04-10
26.767123287671243,0.0288955479452054,12.28424657534246,16.849315068493148,99.11301369863016,Alabama,Clay,Ashland,1995-03-05
28.065019505851765,0.0302912873862158,12.704811443433025,16.92457737321196,99.55526657997392,Alabama,DeKalb,Crossville,2019-12-29
49.90894308943087,0.0491593495934959,10.522764227642275,16.82357723577235,98.95934959349596,Alaska,Fairbanks North Star ,Fairbanks,2021-05-19
20.36417322834647,0.022,11.297244094488187,16.417322834645695,96.5688976377953,Alaska,Denali ,Not in a city,1990-02-02
40.5020374898126,0.0408696006519967,11.36511817440913,16.833740831295863,99.01792991035052,Alaska,Fairbanks North Star ,Fairbanks,2021-05-28
28.362818590704627,0.0306581709145427,10.931034482758625,16.863568215892045,99.19490254872557,Alabama,Jefferson,Birmingham,2008-12-14
