Key_0_0,V40,V43,V29,V38,Key_1_2
52625,35.635,14.3869,1.0,0.266667,41622
19655,9.19912,5.21522,0.195833,0.263889,4741
45555,33.5311,17.0606,0.14375,0.7,41015
19785,39.304,3.6815,0.979167,0.347222,5463
47976,8.24757,16.3482,1.0,0.408333,24914
55424,30.0951,13.9967,0.233333,0.7,23264
45710,13.4564,5.1834,0.919444,0.252778,275
36552,13.3581,15.3312,1.0,0.2,33824
35151,21.3283,8.99649,0.89375,0.0638889,41564
16404,24.7812,16.436,1.0,0.525,41390
36746,54.3366,13.6665,1.0,0.245833,13909
38532,11.164,0.0,0.133333,0.341667,36129
46117,42.8602,2.18519,0.445833,0.95625,26074
8058,39.3693,17.1377,0.185417,0.175,32155
41386,25.5535,9.73092,0.191667,0.222917,48359
25540,30.6669,21.6857,1.0,0.333333,16820
9220,52.8891,9.6583,0.908333,0.325,31671
49624,40.1165,3.75246,0.411111,0.111111,46733
54566,31.3789,13.2643,0.447917,0.338889,26007
29247,41.5202,2.69145,1.0,0.155556,21382
36991,22.3718,2.91109,0.415625,0.635417,45689
16760,7.51638,3.55176,1.0,0.619444,29702
10709,27.3365,3.44124,1.0,0.710417,12967
10625,62.2538,12.84,0.270833,0.566667,34248
18237,85.527,15.8766,0.0604167,0.794444,27195
10646,30.8844,15.0746,0.344444,0.305556,32667
28478,13.7596,19.136,0.227083,0.0888889,25823
16259,15.649,14.1247,0.179167,0.172222,33895
2012,56.1521,26.0736,0.310417,0.284375,20154
38444,32.0507,25.1598,0.830556,0.433333,13147
28085,8.4376,20.065,0.225,0.10625,35222
8953,46.5934,13.7695,1.0,0.15,10470
2560,8.02831,3.50466,1.0,0.985417,9401
39130,57.2345,6.38296,0.254167,0.655556,23646
18695,31.1011,14.9514,1.0,0.636111,7223
11041,26.6644,8.87666,0.30625,0.871875,30508
6493,58.9128,3.62102,0.579167,0.1875,55199
12164,27.7602,14.3598,0.0979167,0.183333,30303
9061,5.39721,5.81332,0.110417,0.366667,23628
23822,22.1886,10.4327,0.227083,0.45,54512
13932,61.2281,13.1417,1.0,0.838889,36784
29660,9.88602,10.4678,0.391667,1.0,232
12880,5.51669,28.6685,0.219444,0.275,20754
27206,11.5318,4.28663,0.3,0.0895833,22839
38135,56.6802,1.73844,1.0,0.233333,5587
8263,4.36463,10.3561,1.0,0.2375,23817
38780,60.7939,10.9162,0.0875,0.138889,43953
26995,32.2389,14.5862,1.0,0.425,2085
29399,36.4003,9.5416,0.104167,0.116667,33332
41437,34.287,2.43404,0.685417,0.335417,17480
33050,48.0382,4.24076,0.761111,0.233333,16890
14497,43.398,3.00589,1.0,0.339583,24915
43244,29.4514,7.567,0.102083,0.605556,1506
16914,38.9916,17.2226,0.716667,0.913889,10601
9607,9.24696,14.4446,0.179167,0.655556,294
28164,32.0381,18.3823,0.447222,0.864583,32
38477,17.3294,13.8849,0.04375,0.580556,1721
6292,8.64016,18.0099,1.0,0.130556,25292
17712,40.6231,6.56506,0.744444,0.236111,775
5871,6.19157,17.8038,0.0708333,0.178125,34516
20637,38.594,12.5318,0.879167,0.266667,5929
31177,20.9082,9.02266,0.15625,0.0388889,42654
26892,50.6472,5.05412,0.289583,1.0,43102
2558,50.4124,3.88792,0.09375,0.447222,31536
38819,40.9572,14.6847,0.755556,0.283333,3915
1443,46.9174,2.30726,0.04375,0.444444,3780
4267,14.3484,8.683,0.208333,0.283333,46298
527,60.5131,7.05813,1.0,0.341667,51697
44729,31.4073,5.8962,0.133333,0.589583,51439
7454,55.0894,8.26862,0.289583,0.225,25909
18496,34.9963,0.410802,0.383333,0.189583,6222
50851,14.9319,11.5925,1.0,0.261111,14898
50843,10.9211,3.72524,0.997222,0.722917,22923
22754,19.0943,9.89581,1.0,0.185417,1890
27994,10.6399,1.59649,1.0,0.197222,20283
14870,61.567,19.6956,0.483333,0.219444,34750
19936,58.264,18.0731,1.0,0.475,47018
50260,48.6653,6.36072,0.763889,0.471875,33908
42131,97.1074,14.8607,0.102083,0.172222,23148
29614,35.0643,14.7631,0.164583,0.4,40314
2046,27.4744,6.21347,0.169444,0.238889,43709
2714,16.5625,2.48606,1.0,0.647917,14719
29053,67.158,13.8664,1.0,0.344444,22223
53557,46.4678,12.1144,0.0770833,0.338889,48410
25918,79.1829,4.43244,0.61875,0.116667,16041
17581,58.9439,4.3811,0.333333,0.95833,33673
43965,11.7084,27.0992,0.0479167,0.505556,4112
42919,54.5433,4.74816,1.0,0.766667,29297
12177,12.0978,14.3187,0.997917,0.239583,33820
26638,41.0338,18.0567,1.0,0.389583,52358
23115,72.7238,12.5968,0.761111,0.455556,32563
25593,63.9997,7.09232,0.23125,0.158333,44718
56993,13.6575,14.9429,1.0,0.366667,50077
27207,61.9169,13.0309,0.210417,0.0944444,48793
1055,24.2777,10.0496,1.0,0.366667,38921
48886,48.4351,4.97838,0.197917,0.521875,41467
56587,51.5595,23.9976,0.158333,0.216667,46152
27397,60.2023,17.3075,1.0,0.416667,24874
33720,49.1297,6.92026,0.341667,0.844444,1336
47397,44.0944,9.13664,1.0,0.638889,55787
29463,29.8073,20.604,0.411111,0.375,48040
41804,38.5955,10.6429,0.954167,0.8625,36822
46345,35.5746,5.50188,0.220833,0.311111,26789
37284,56.2791,13.1398,1.0,0.572222,47661
44799,14.7057,7.06403,0.427083,0.1375,18215
6823,20.3999,10.5518,0.5625,0.344444,19646
50512,26.8481,16.0068,1.0,0.266667,47958
701,35.1595,9.18328,0.122917,0.329167,57072
35405,50.7489,3.06382,0.283333,0.891667,55400
29277,51.1691,7.48624,0.0729167,0.813889,42557
45723,51.239,6.83963,0.604167,0.125,10011
21959,12.1435,3.4155,0.135417,0.730556,16594
12556,40.3435,7.77506,1.0,0.404167,49995
49371,7.34388,1.32767,0.3,0.736111,35804
49604,20.1509,5.25783,0.916667,0.429167,55385
39156,2.44353,2.94651,0.266667,0.438889,38670
51678,44.0182,12.4737,0.577083,0.179167,11071
22053,28.3479,17.9336,1.0,0.916667,39737
55736,30.9463,14.468,0.497917,0.944444,34058
8798,22.3951,5.08105,0.329167,1.0,163
31528,38.8899,5.97712,0.289583,0.127083,10847
48366,2.02346,6.61824,0.263889,0.288889,1021
18811,13.0547,5.66034,1.0,0.191667,23641
45892,31.5812,14.1298,0.302083,0.477778,32433
31485,25.0669,14.1768,0.319444,0.569444,47428
7374,30.3133,18.6174,1.0,0.266667,50293
32382,29.5525,10.2568,1.0,0.672222,8113
57184,21.3662,10.9696,1.0,0.133333,18412
48137,49.4211,13.6006,1.0,0.0416667,50884
56889,37.0413,2.966,0.352778,0.384375,10232
48434,13.1192,11.5925,0.295833,0.361111,50274
51717,32.2556,25.5449,0.0583333,0.388889,22616
44660,76.4241,10.8966,0.06875,0.0444444,2952
49733,4.55134,20.3001,0.183333,0.225,2315
18171,34.6279,15.6048,0.0979167,0.141667,50876
36376,9.35577,4.92299,0.43125,1.0,1123
25672,21.1849,7.84132,0.333333,0.369444,5355
40258,46.8053,16.0839,1.0,0.388889,49516
6556,59.4532,3.89729,0.141667,0.108333,4946
40219,38.4194,13.4562,0.189583,0.0958333,12620
23437,58.6007,18.3068,0.113889,0.316667,52189
41121,73.7126,14.7695,0.916667,0.666667,38320
22663,5.00735,14.2272,1.0,0.569444,45902
47303,19.4114,12.2174,1.0,0.36875,32340
34728,28.858,8.80521,0.497222,0.883333,25452
10339,12.0345,16.4367,0.45,0.105556,453
56079,71.4064,1.15031,0.19375,0.408333,47930
20830,5.36087,1.05399,0.347917,0.172222,11260
16948,19.5331,9.27464,0.769444,0.902778,46287
33725,12.704,19.0568,1.0,0.375,9575
6288,58.7778,9.0068,1.0,0.661111,15458
21083,25.8349,2.69521,0.76875,0.352778,18116
34115,30.783,19.1444,0.1,0.379167,18545
38696,4.62328,4.56936,0.25,0.147222,23544
2479,16.7983,1.32844,0.8,0.675,44432
6879,43.5466,4.94719,0.683333,0.4,55454
14005,71.1105,2.3203,1.0,0.619444,45904
14587,34.1358,8.93359,0.252083,0.0527778,19387
12704,2.31049,11.5351,0.421875,0.2375,22515
3926,13.0843,22.8792,0.272917,0.411111,28198
51130,10.3901,10.7937,0.379167,0.272222,14873
2195,55.6636,2.59435,0.21875,0.552778,11712
282,11.326,10.0171,0.114583,0.194444,22681
39315,39.3341,18.1411,0.154167,0.166667,6646
30371,73.105,10.0554,0.991667,0.46875,46548
54959,48.5512,17.593,0.160417,0.344444,23684
34098,74.878,1.33252,1.0,0.136111,29148
17977,49.89,5.42142,0.360417,0.655556,13602
33179,46.323,9.60871,0.50625,0.1125,11539
32185,7.6454,8.05089,0.322222,0.729167,9857
25285,45.2357,3.39859,0.210417,0.108333,39584
54943,73.0568,15.5899,0.191667,0.483333,20118
57171,1.04867,10.8505,0.4,0.744444,15896
40752,16.4515,9.74073,0.210417,0.2625,26172
32330,13.7173,11.4131,1.0,0.23125,52430
56621,54.0989,7.94093,0.116667,0.266667,38188
3930,11.7921,2.97876,0.545833,0.25,5961
