jannis/table_1_3.V33,jannis/table_1_3.V53,jannis/table_1_3.V37,jannis/table_1_3.V48,jannis/table_1_3.Key_1_3,Key_0_0
16.3864,0.491418,126.484,0.059622,41486,55549
3.68889,0.328675,96.7982,0.0998886,48775,22650
18.4409,0.206018,103.519,0.0248324,46032,51206
22.1568,0.157591,250.077,0.0399352,50133,27037
9.62839,0.0577662,185.986,0.0779825,52544,43541
11.9291,0.0591536,74.66,0.0777884,11134,56159
11.3533,0.0910475,195.471,0.089022,42473,14982
4.98183,0.100422,130.655,0.0487106,14847,54701
3.80385,0.286608,72.4277,0.0789582,8169,335
2.89003,0.152211,244.955,0.0115963,25249,28416
22.3978,0.266487,60.5033,0.0384381,36112,583
23.1599,0.0396528,156.596,0.0246295,14929,46987
7.10618,0.0680035,82.0091,0.0249529,21872,15541
16.2074,0.304601,99.7962,0.0555377,6133,38989
6.14264,0.0766319,106.31,0.0888502,42739,33943
2.20231,0.0098669,137.686,0.0154235,43416,13996
10.0035,0.0397396,212.727,0.0260765,29905,39489
15.4898,0.514766,143.809,0.0353818,44916,14456
2.39161,0.0584664,40.0234,0.0266284,44149,2851
4.78117,0.119089,250.204,0.0300358,9798,1604
17.1225,0.231852,161.574,0.0392091,42771,12954
6.16086,0.550174,200.524,0.0452355,25861,50944
3.85496,0.0112674,150.618,0.0481121,6967,44463
12.1235,0.0152546,92.5882,0.10728,36460,19425
3.42087,0.0266956,90.0074,0.158898,46216,28002
3.13075,0.125801,128.62,0.0615337,25662,6642
5.02743,0.0370544,77.0303,0.108265,7282,13413
18.7294,0.272853,189.838,0.0219825,5779,53230
12.8445,0.0365856,170.751,0.0978751,15451,55605
3.56392,0.497337,95.6956,0.0623302,15093,21489
17.3681,0.428461,41.641,0.05,19289,51366
19.4156,0.392147,219.349,0.0254674,18837,55513
2.14557,0.341904,72.3923,0.0246319,18227,41985
3.73226,0.0417824,31.1683,0.0758359,24718,6500
18.7893,0.238397,139.052,0.0349332,6237,21838
4.88191,0.0398032,235.504,0.0382841,25093,50421
6.38804,0.139682,76.4763,0.0419088,43712,41890
19.2178,0.385995,217.218,0.0195112,6896,26312
4.5903,0.531117,161.003,0.209302,50326,17259
13.1164,0.297344,121.621,0.0232572,36362,35517
10.2594,0.259497,142.33,0.0754074,53627,47244
6.04351,0.0643171,146.387,0.0799934,505,26498
17.9332,0.109578,126.96,0.0940171,27231,13775
10.4937,0.00638889,231.866,0.0690035,1407,37433
22.6565,0.0638021,134.883,0.118321,32049,31421
12.8387,0.050306,144.18,0.0542323,36017,28594
0.416955,0.129358,116.887,0.0270538,26293,27843
1.37304,0.0399248,130.909,0.0400474,47574,46112
4.23148,0.363223,49.847,0.061326,36983,31399
4.53271,0.0739699,135.24,0.0248034,37689,18075
5.59468,0.0344097,117.107,0.0148695,20746,22126
13.6367,0.012338,170.178,0.059724,33301,8202
11.6119,0.0537326,100.727,0.1027,54775,27186
9.21227,0.369329,81.8157,0.0453056,7734,19383
4.09982,0.0149306,36.7779,0.0282083,8720,33750
14.9686,0.212818,100.078,0.0134796,54284,40289
11.4031,0.0258681,143.996,0.206897,29298,6130
10.2872,0.0953183,164.085,0.0677309,16924,40271
12.465,0.197326,121.579,0.0412037,29734,54751
3.1318,0.0810475,168.941,0.0426019,3378,18088
3.23887,0.637481,249.851,0.0182182,50070,25554
13.6311,0.495509,165.358,0.0526925,29760,6864
6.35041,0.00363426,102.31,0.0346094,9588,37136
9.9168,0.207957,92.3026,0.0750799,39811,36164
22.0521,0.25533,223.54,0.0709973,4674,39906
3.46963,0.246753,207.966,0.132499,48676,27073
1.89521,0.0390972,151.314,0.109424,44376,29307
20.2303,0.00304977,109.542,0.0908206,594,48913
13.813,0.0254557,59.2746,0.0348557,2341,43232
8.06478,0.181099,149.768,0.0180139,50503,28052
5.35089,0.58386,162.018,0.0435401,27837,48297
5.62769,0.768264,142.399,0.0206867,55327,40615
14.9328,0.0273438,104.869,0.0155935,37460,42092
7.43813,0.016956,100.21,0.0308436,7511,48767
4.61487,0.0493692,79.6458,0.0550579,25189,54252
10.1799,0.0611516,226.122,0.0311332,1495,43728
7.15361,0.229734,215.742,0.0779971,52625,45153
