ParticleID_34,ParticleID_38,ParticleID_5
0.0572286999999999,1.53367,0.120071
0.0249169999999999,1.13771,0.14015
0.105054,1.18211,0.400041
0.0150477,1.57963,0.163919
0.0509214,1.09488,0.0245231
0.102024,0.908408,0.032124
0.0628316,1.22423,0.0383834
0.109481,0.889964,0.0
0.0645071,1.39701,0.1057839999999999
0.0899761,1.18356,0.158076
0.0228589,0.487238,0.0930516
0.130243,1.3078299999999998,0.430585
0.150945,1.25189,0.1490119999999999
0.1043029999999999,0.664326,0.0
0.0175145999999999,1.40619,0.11514
0.0748809999999999,1.45701,0.130365
0.0706376,1.26568,0.0
0.0271803,1.2718,0.2183659999999999
0.0,1.00754,0.146964
0.0667303,1.29144,0.100999
0.0331296,1.18088,0.155962
0.00234946,0.972817,0.0417141
0.0387562,0.874561,0.0588001
0.0902653,0.997196,0.0289489
0.0803706,1.41462,0.154019
0.0585261999999999,1.30445,0.131775
0.0799918,1.18163,0.153589
0.0383221,0.859717,0.0312757
0.028056,1.46506,0.123179
0.0961938,0.947433,0.17232
0.0587029,1.13617,0.0
0.0323007,1.17891,0.1473799999999999
0.0508873,1.3417,0.159679
0.07976,0.972096,0.0
0.07512,1.4580799999999998,0.161801
0.08697,0.918856,0.1193029999999999
0.10704,1.49596,0.279481
0.067118,1.47137,0.180362
0.049372,1.53289,0.126971
0.107374,1.4294,0.353055
0.0251772,1.67232,0.0
0.0992808,1.34419,0.184165
0.0281390999999999,1.59233,0.219707
0.0785373,1.15903,0.146394
0.103343,1.11156,0.172725
0.00401152,1.7058400000000002,0.149264
0.0267513,1.48337,0.11554
0.037842,1.12353,0.109215
0.0586695,1.32066,0.244792
0.104471,1.28644,0.127645
0.113926,1.53605,0.16283
0.0400950999999999,1.55833,0.115994
0.0653936,1.24475,0.0604020999999999
0.0521776999999999,1.0671700000000002,0.153795
0.0627509,1.48499,0.13407
0.0487575,1.27903,0.135262
0.052551,1.18845,0.093108
0.0427514,1.22927,0.149679
0.0790797,1.00718,0.132446
0.09182,1.04033,0.120197
0.0854156,1.66914,0.042191
0.0290579,1.4245,0.0851833
0.0392536,1.65422,0.151725
0.0447403,1.13936,0.133683
0.0913728999999999,1.15815,0.174904
0.0798965,1.22554,0.143442
0.0394904,1.0914700000000002,0.11337
0.105484,1.23848,0.1298609999999999
0.116624,1.10554,0.115388
0.0,1.43436,0.0776494
0.0653955,1.55188,0.135076
0.0217512,1.89018,0.0
0.1387779999999999,1.18141,0.154831
0.00724813,1.97291,0.106637
0.0616059,1.24042,0.1152099999999999
0.0362436,1.5465,0.150505
0.0221095,1.07912,0.137128
0.0199308,1.41589,0.294982
0.0846532,1.23074,0.0
0.0215804,1.55387,0.360128
0.0453231999999999,1.01198,0.166592
0.0925764999999999,1.39555,0.0549609
0.135428,1.23654,0.120476
0.0468404,1.15137,0.1660589999999999
0.110198,0.990423,0.0756228999999999
0.0250002,1.21079,0.154659
0.136694,1.57382,0.0432794
0.00514952,1.34171,0.105367
0.024788,1.21625,0.0
0.0999562,1.2728700000000002,0.114852
0.0651017,1.51033,0.141451
0.0282868,1.33975,0.138949
0.0513589,1.28082,0.191119
0.0460775,1.22042,0.126505
0.0714373,0.953656,0.0811651
0.0235498,1.10064,0.0
0.0304554,1.2013200000000002,0.13354
0.0381745,1.38923,0.13644
0.12574,1.56979,0.147511
0.0673969,1.41795,0.274818
0.059771,1.04556,0.0904177
0.00805396,1.04821,0.133169
0.149475,0.7758430000000001,0.0
0.0810936,1.27544,0.1948599999999999
0.0388016,1.06515,0.0030376
0.105195,1.3266,0.305751
0.042741,1.61998,0.0977706
0.128691,1.23877,0.171942
0.0763738,0.967819,0.00597972
0.115439,0.8193600000000001,0.2307239999999999
0.0417604,0.982381,0.0882221
0.0136966,1.5589,0.108726
0.049766,1.27967,0.152571
0.0866825,1.08563,0.1476299999999999
0.0926781999999999,1.48825,0.227309
0.0528711,1.6934,0.151311
0.0567422,1.179,0.194153
0.0212026,1.40839,0.160766
0.0331826,1.43391,0.0728246
0.0776273999999999,1.27728,0.282352
0.0589178,1.49147,0.102626
0.0773531,1.39511,0.0
0.0287375,1.22144,0.166421
0.102355,1.16773,0.167147
0.109073,0.972849,0.0
0.092109,1.2779200000000002,0.159344
0.010738,1.3465,0.138764
0.096387,1.65755,0.137407
0.02314,1.41377,0.122773
0.0716138,1.44301,0.106779
0.00912903,3.04876,0.0617895999999999
0.0664039,1.16191,0.116085
0.1045069999999999,1.16365,0.119096
0.0263262,0.807454,0.00722841
0.0428418,1.47739,0.1255119999999999
0.0662915,1.5061,0.0667702
0.00861205,1.27481,0.158343
0.0140607,1.33913,0.139814
0.0514053,1.38834,0.0
0.0225895999999999,1.5218200000000002,0.151226
0.0708763999999999,1.13625,0.32776
0.082639,1.02611,0.0
0.106523,1.16915,0.193961
0.016707,1.1708,0.0
0.0399632,0.7720520000000001,0.0
0.0325282,1.71812,0.128459
0.050223,1.46989,0.13053
0.0660344,1.37389,0.0739901
0.0797936,1.13575,0.126253
0.111341,1.36482,0.0954736
0.0687647,1.75394,0.138023
0.0509866,1.00204,0.0
0.0234722999999999,1.43311,0.0179214
0.0397998,1.13676,0.1172619999999999
0.0420055,0.592884,0.0
0.0601530999999999,1.51274,0.0475089
0.0382684,1.43271,0.218231
0.00384332,1.86826,0.0745562
0.0687227,1.41408,0.110514
0.0429374,0.7633220000000001,0.117594
0.128155,1.13225,0.158686
0.103778,0.92171,0.0
0.0446833,1.7008599999999998,0.1562839999999999
0.0273865999999999,1.6562400000000002,0.1625579999999999
0.0366341,1.20699,0.0548429999999999
0.0794511,1.26466,0.149637
0.0827901,1.03243,0.144997
0.0153649,3.0175,0.0197527999999999
0.103491,1.6143299999999998,0.343259
0.0285202,1.38795,0.159774
0.0465298,1.55216,0.145947
0.0413277,1.3545200000000002,0.0458227
