miniboone/table1.ParticleID_49,ParticleID_48,signal
0.277244,-0.0418467,1
0.244567,0.213024,1
0.2574329999999999,3.09078,0
0.127275,1.83375,0
0.2054409999999999,1.66497,0
0.245175,2.00462,0
0.188198,0.924743,0
0.0597638,0.0784596,1
0.181936,1.13523,0
0.2505739999999999,0.241003,1
0.21306,-0.135657,1
0.235598,3.80358,0
0.252206,1.07123,0
0.23003,0.0707555,1
0.258134,0.254698,1
0.245811,1.62337,0
0.134441,2.22179,0
0.161053,0.401936,0
0.318037,1.08443,0
0.204297,2.2158900000000004,0
0.309713,1.92935,0
0.317627,0.0694602,1
0.110831,0.130171,1
0.269189,-0.212421,1
0.292915,1.99893,1
0.258845,1.43523,0
0.250034,-0.0770928,1
0.213743,2.46413,0
0.195699,0.0934618999999999,1
0.2840519999999999,0.0319835,1
0.308821,0.804801,1
0.320059,0.8681030000000001,1
0.189501,1.07791,1
0.198276,-0.13842,1
0.316328,3.395,1
0.2079929999999999,0.373861,1
0.2611449999999999,1.30613,1
0.1723029999999999,-0.216523,0
0.306488,2.07788,0
0.273503,0.238813,1
0.24766,0.377143,0
0.258742,0.259726,1
0.177795,0.427515,0
0.296619,0.736965,1
0.198516,1.29789,0
0.201596,0.914701,1
0.230028,-0.237629,0
0.178626,1.0562,1
0.113398,0.341672,1
0.295579,-0.033594,1
0.262556,2.41495,0
0.31283,0.0273272,1
0.137909,2.00436,0
0.1244849999999999,-0.142071,0
0.29516,0.854102,1
0.278648,0.843115,0
0.2013059999999999,1.51625,0
0.309019,1.81826,1
0.224759,0.1836549999999999,1
0.234632,0.301934,1
0.254806,-0.0364942,1
0.182698,4.03717,0
0.3095179999999999,1.89803,1
0.221377,0.129653,1
0.286802,2.46188,1
0.177518,3.06828,0
0.165208,8.66898,0
0.252753,-0.1260349999999999,1
0.193639,0.132841,1
0.157387,3.10525,0
0.265677,0.109638,1
0.211788,1.94548,0
0.265916,0.131326,1
0.280566,0.8093020000000001,0
0.167706,6.909619999999999,0
0.242209,3.802,1
0.203779,0.8039569999999999,0
0.235418,0.256633,1
0.124977,0.331309,0
0.102642,6.10906,0
0.24495,0.937957,0
0.241942,0.246525,1
0.277334,2.03071,1
0.191318,0.2052719999999999,1
0.2626219999999999,0.6003,0
0.2454489999999999,-0.197191,1
0.260415,-0.322204,1
0.216189,6.30511,0
0.209242,2.26934,0
0.275461,1.12055,0
0.116024,-1.84062,0
0.213255,0.271839,1
0.239952,0.853715,0
0.226784,3.39836,1
0.24709,3.22058,0
0.2448789999999999,1.22444,1
0.2238079999999999,0.0404575999999999,0
0.212179,2.13023,0
0.0837143,0.53955,0
0.1930319999999999,-0.102944,1
0.217653,1.36948,1
0.280967,1.19872,1
0.273239,0.7574649999999999,1
0.240927,-0.126047,1
0.240698,0.0771403,1
0.129994,0.169041,1
0.1867319999999999,-0.0413963,1
0.194724,3.66413,1
0.253197,3.17407,0
0.230967,-0.0878058,0
0.1113849999999999,11.4477,0
0.216156,0.00614788,0
0.345914,-0.186084,0
0.224677,-0.205337,0
0.222003,0.00210765,1
0.2689829999999999,4.8204,0
0.255795,0.488705,0
0.2074,2.42957,0
0.13337,4.238519999999999,0
0.1497609999999999,2.67357,0
0.222515,1.11568,1
0.170325,-0.126327,0
0.271447,0.0852812,1
0.20242,3.01598,1
0.245415,-0.103873,1
0.145506,1.17349,1
0.247129,3.98457,0
0.2064349999999999,0.78778,1
0.22509,2.25416,0
0.278613,4.90816,1
