ParticleID_48,ParticleID_49,signal
4.5865800000000005,0.189042,0
1.11028,0.1995289999999999,0
-0.201779,0.294377,0
1.1982,0.354055,0
-0.145495,0.204251,0
2.04437,0.2236409999999999,0
0.89287,0.312117,0
0.224069,0.2026859999999999,0
2.42809,0.219659,0
-0.0850468,0.190052,0
7.70022,0.133567,0
0.514614,0.214015,0
1.07646,0.219521,0
2.50678,0.2585,0
3.77608,0.142339,0
2.09069,0.139923,0
1.29712,0.251332,0
0.643994,0.50426,0
1.907,0.130542,0
0.296517,0.179011,0
4.291869999999999,0.272572,0
4.841069999999999,0.173694,0
13.3298,0.154566,0
0.4577239999999999,0.229373,0
2.47701,0.27533,0
0.254415,0.201627,0
0.221657,0.151311,0
4.92809,0.243915,0
2.07296,0.183383,0
1.04185,0.16457,0
2.13827,0.211247,0
0.7360270000000001,0.233392,0
-0.268581,0.201153,0
1.41791,0.235882,0
1.41307,0.209587,0
0.361151,0.204756,0
0.157966,0.2293639999999999,0
2.15861,0.275513,0
0.451475,0.335583,0
0.261292,0.262828,0
6.38561,0.255181,0
0.452484,0.234604,0
1.12102,0.261927,0
2.28065,0.193842,0
0.107064,0.236857,0
2.3221700000000003,0.287074,0
2.40521,0.273814,0
2.0741,0.2173409999999999,0
2.0365,0.298988,0
0.0757557,0.148411,0
1.46389,0.153969,0
3.82939,0.15839,0
-0.0737701,0.148822,0
3.05524,0.320279,0
0.174296,0.221581,0
3.13245,0.246429,0
3.34925,0.222142,0
0.7164,0.229238,0
2.9995700000000003,0.158738,0
1.2844,0.213763,0
4.23961,0.1249619999999999,0
5.46336,0.165056,0
3.46038,0.275987,0
2.53044,0.218272,0
2.17318,0.22843,0
3.96897,0.203829,0
0.208117,0.271534,0
0.690519,0.181617,0
-0.423266,0.246782,0
-2.56145,0.175679,0
0.121054,0.16945,0
8.29888,0.1920589999999999,0
1.2718200000000002,0.18556,0
3.2775199999999995,0.210101,0
5.22476,0.121621,0
2.07372,0.164398,0
1.91727,0.311483,0
0.00464361,0.286488,0
0.511542,0.1903,0
1.56096,0.26888,0
0.395187,0.202754,0
3.2924900000000004,0.16585,0
3.655980000000001,0.218963,0
0.427663,0.177146,0
0.544133,0.213738,0
1.35825,0.189937,0
