Key_1_1,oz83,oz3,oz181,oz1
3516,0.0,0.999326,0.0,0.998925
8259,0.0,0.999885,0.0,0.999801
7554,0.0,0.999995,0.0,0.951
6334,0.0,1.0,0.0,0.999958
85,0.0,0.999597,0.0,0.999554
5892,0.0,0.99972,0.0,0.999797
4105,0.0,0.99726,0.0,0.998759
6539,0.0,0.99726,0.0,0.998759
1400,0.0,1.0,0.0,0.999958
6670,0.0,1.0,0.0,0.999958
8746,0.0,0.997504,0.076923,0.999954
6054,0.0,0.999455,0.0,0.999288
3054,0.0,0.999205,0.0,0.99921
2179,0.076923,0.99726,0.076923,0.998759
417,0.0,1.0,0.0,0.999958
8806,0.0,0.99726,0.0,0.998759
6583,0.0,0.99726,0.0,0.998759
663,0.0,1.0,0.0,0.999958
6729,0.0,0.99726,0.0,0.998759
2888,0.0,1.0,0.0,0.999958
5600,0.0,1.0,0.0,0.999958
6361,0.0,0.99726,0.0,0.998759
486,0.0,0.998644,0.0,0.99838
7525,0.0,0.999663,0.0,0.999556
1349,0.0,1.0,0.0,0.999958
7138,0.0,1.0,0.0,0.999958
897,0.0,1.0,0.0,0.999958
7069,0.0,0.99726,0.0,0.998759
397,0.0,1.0,0.0,0.999958
6614,0.0,0.99726,0.0,0.998759
5126,0.0,0.99866,0.0,0.999963
5700,0.076923,1.0,0.076923,0.999958
8403,0.0,0.997638,0.0,0.999423
1154,0.0,1.0,0.0,0.999958
3833,0.0,0.999748,0.0,0.999577
6230,0.0,0.99726,0.0,0.998759
5664,0.0,0.999742,0.0,0.999971
4364,0.0,0.999742,0.0,0.999971
886,0.0,0.99726,0.0,0.998759
1163,0.0,1.0,0.0,0.999958
8139,0.0,0.999838,0.0,0.999965
4780,0.0,0.9996,0.0,0.999537
3121,0.0,0.999663,0.0,0.999556
5655,0.153846,0.99726,0.153846,0.998759
1499,0.0,0.99726,0.0,0.998759
3857,0.0,0.9996,0.0,0.999537
8120,0.0,1.0,0.0,0.999958
3967,0.0,0.99726,0.0,0.998759
209,0.0,0.99726,0.0,0.998759
2699,0.0,0.999748,0.0,0.999577
4338,0.0,0.999855,0.0,0.999752
1279,0.0,0.999827,0.0,0.999965
2209,0.0,1.0,0.0,0.999958
3282,0.0,0.999748,0.0,0.999577
5641,0.0,0.99726,0.0,0.998759
7183,0.0,0.999748,0.0,0.999577
8695,0.0,0.99726,0.0,0.998759
4456,0.0,0.997945,0.076923,0.99827
1474,0.0,1.0,0.0,0.999958
4660,0.0,0.999748,0.0,0.999577
6166,0.0,1.0,0.0,0.999958
8062,0.0,0.999271,0.0,0.999546
3665,0.0,0.999718,0.0,0.999949
945,0.0,0.999718,0.0,0.999949
2685,0.0,0.999386,0.0,0.999588
981,0.0,0.99726,0.0,0.998759
3275,0.0,0.99726,0.0,0.998759
4185,0.0,0.99726,0.0,0.998759
8275,0.076923,0.999668,0.076923,0.999759
7287,0.0,0.998602,0.0,0.997948
837,0.0,0.998427,0.0,0.998278
719,0.076923,0.99726,0.076923,0.998759
8251,0.0,0.99726,0.0,0.998759
8100,0.0,0.99726,0.0,0.998759
4490,0.0,0.998693,0.0,0.999939
3411,0.0,0.999742,0.0,0.999971
5839,0.0,0.99726,0.0,0.998759
5690,0.0,0.99726,0.0,0.998759
520,0.0,1.0,0.0,0.999948
4936,0.076923,0.99726,0.076923,0.998759
1350,0.076923,0.99726,0.076923,0.998759
2764,0.0,0.999614,0.0,0.999291
6708,0.0,0.999748,0.0,0.999577
2094,0.0,0.999748,0.0,0.999577
8663,0.076923,0.99726,0.076923,0.998759
2666,0.0,1.0,0.0,0.999958
1091,0.0,1.0,0.0,0.999958
1170,0.0,1.0,0.076923,0.999958
4455,0.0,0.99726,0.0,0.998759
1110,0.0,0.99726,0.0,0.998759
3741,0.0,0.99726,0.0,0.998759
916,0.0,0.999748,0.0,0.999577
8528,0.0,0.999748,0.0,0.999577
585,0.0,0.99726,0.0,0.998759
5834,0.076923,1.0,0.076923,0.999958
7251,0.076923,1.0,0.076923,0.999958
569,0.076923,0.99726,0.076923,0.998759
2596,0.0,0.998049,0.0,0.999955
3271,0.230769,0.99726,0.230769,0.998759
5115,0.0,0.999745,0.0,0.999806
7572,0.0,0.999197,0.0,0.999557
1614,0.0,0.999197,0.0,0.999557
7934,0.0,0.99943,0.0,0.999587
1353,0.0,0.998178,0.0,0.998274
5856,0.0,0.999197,0.0,0.999557
3165,0.0,0.999471,0.0,0.999781
7779,0.0,0.998471,0.0,0.998884
7470,0.0,0.999197,0.0,0.999557
2203,0.0,1.0,0.0,0.999958
5704,0.076923,0.99726,0.076923,0.998759
8069,0.0,1.0,0.0,0.999958
3136,0.0,1.0,0.0,0.999958
7319,0.0,0.999726,0.0,0.999766
4841,0.0,0.999726,0.0,0.999766
8164,0.0,1.0,0.0,0.999958
1269,0.0,0.999309,0.0,0.999506
3962,0.0,0.999309,0.0,0.999506
7166,0.0,0.999488,0.0,0.999627
6888,0.0,0.999488,0.0,0.999536
3650,0.076923,0.99726,0.076923,0.998759
3185,0.076923,0.99726,0.076923,0.998759
3571,0.076923,0.99726,0.076923,0.998759
7176,0.0,0.999611,0.0,0.999833
1710,0.0,0.999471,0.0,0.999781
3505,0.0,0.999471,0.0,0.999781
4419,0.0,0.998372,0.0,0.998601
2300,0.0,0.99726,0.0,0.998759
4323,0.0,0.998049,0.0,0.999955
6400,0.0,0.999748,0.0,0.999577
3363,0.0,0.998427,0.0,0.998278
7986,0.0,0.999551,0.0,0.999806
5611,0.0,0.99726,0.0,0.998759
4863,0.076923,1.0,0.076923,0.999958
5131,0.0,0.997103,0.153846,0.997241
6041,0.0,1.0,0.0,0.999958
2807,0.0,1.0,0.0,0.999958
3552,0.0,1.0,0.0,0.999958
8002,0.0,0.99866,0.0,0.999963
2488,0.0,0.999748,0.0,0.999577
4035,0.0,0.999742,0.0,0.999971
7957,0.076923,0.999896,0.0,0.999866
562,0.0,0.999731,0.0,0.99964
7623,0.0,0.99726,0.0,0.998759
4135,0.076923,0.99726,0.076923,0.998759
6589,0.307692,0.998049,0.307692,0.999955
5353,0.0,0.999523,0.0,0.999289
4321,0.0,0.99726,0.0,0.998759
8135,0.0,0.99914,0.0,0.998977
3920,0.0,0.998945,0.0,0.998683
7899,0.0,0.999663,0.0,0.999556
8179,0.0,0.999455,0.0,0.999288
788,0.0,0.999844,0.0,0.999735
3222,0.0,0.996865,0.0,0.998998
5904,0.0,0.99726,0.0,0.998759
6969,0.0,1.0,0.0,0.999958
6367,0.0,1.0,0.0,0.999958
8286,0.0,0.999663,0.0,0.999556
3994,0.153846,0.99726,0.153846,0.998759
5877,0.076923,1.0,0.076923,0.999958
8836,0.0,0.99974,0.0,0.999562
4420,0.0,1.0,0.0,0.999958
2864,0.0,1.0,0.0,0.999958
4568,0.0,0.99726,0.0,0.998759
8612,0.0,0.9996,0.076923,0.999537
1839,0.0,0.99726,0.0,0.998759
4928,0.076923,1.0,0.076923,0.999958
885,0.0,1.0,0.0,0.999958
1828,0.0,1.0,0.0,0.999958
7339,0.0,0.999496,0.0,0.999561
2437,0.076923,1.0,0.076923,0.999958
3532,0.0,0.999748,0.0,0.999577
1890,0.0,0.999855,0.0,0.999752
4861,0.0,1.0,0.0,0.999958
401,0.0,0.99866,0.0,0.999963
6044,0.0,0.99726,0.0,0.998759
3666,0.384615,0.999597,0.384615,0.999734
5237,0.0,1.0,0.0,0.999958
2992,0.0,0.99726,0.0,0.998759
2909,0.0,1.0,0.0,0.999958
3582,0.0,0.999663,0.0,0.999643
1321,0.076923,0.99726,0.076923,0.998759
6598,0.0,0.998049,0.0,0.999955
2442,0.0,0.999583,0.0,0.999414
146,0.076923,1.0,0.076923,0.999958
1799,0.0,0.99726,0.0,0.998759
7852,0.0,0.99726,0.0,0.998759
1733,0.0,0.998427,0.0,0.998278
2651,0.0,1.0,0.0,0.999948
