yprop/table_1_2.oz31,yprop/table_1_2.oz87,yprop/table_1_2.oz127,yprop/table_1_2.oz11,yprop/table_1_2.Key_1_2,Key_0_0
0.0,0.181818,0.171429,0.0,8263,7056
0.0,0.0,0.0,0.0,5312,5130
0.0,0.0,0.028571,0.0,5691,1141
0.090909,0.0,0.0,0.0,4899,4332
0.090909,0.0,0.0,0.0,3173,7577
0.090909,0.0,0.0,0.0,7199,5911
0.0,0.0,0.0,0.0,4743,6240
0.0,0.0,0.0,0.0,307,6950
0.0,0.0,0.0,0.0,7499,4212
0.0,0.0,0.171429,0.1,3753,1000
0.0,0.0,0.0,0.0,8747,6200
0.0,0.0,0.085714,0.0,7758,7806
0.0,0.0,0.0,0.0,5870,1181
0.0,0.0,0.114286,0.0,7984,4777
0.0,0.0,0.4,0.0,3073,2034
0.181818,0.0,0.342857,0.0,5887,8520
0.0,0.0,0.0,0.0,6124,8300
0.0,0.0,0.0,0.0,3617,1253
0.0,0.0,0.0,0.1,7135,4012
0.0,0.0,0.0,0.1,8511,3757
0.181818,0.0,0.0,0.0,2783,8535
0.0,0.0,0.0,0.0,8318,2298
0.090909,0.0,0.0,0.0,1542,1531
0.0,0.181818,0.0,0.0,3699,8302
0.0,0.0,0.0,0.0,1885,7277
0.0,0.0,0.0,0.0,8609,6020
0.0,0.0,0.0,0.0,4684,2962
0.0,0.0,0.0,0.0,208,6348
0.0,0.0,0.028571,0.0,3616,7045
0.0,0.272727,0.0,0.0,225,3419
0.0,0.0,0.0,0.0,3247,3520
0.0,0.0,0.028571,0.0,1906,7827
0.0,0.0,0.0,0.0,2663,1068
0.0,0.0,0.0,0.0,2640,7040
0.181818,0.0,0.028571,0.0,7433,7142
0.0,0.0,0.0,0.0,8328,6735
0.0,0.0,0.0,0.0,2503,891
0.0,0.0,0.114286,0.0,6265,1242
0.0,0.0,0.028571,0.0,8545,6076
0.181818,0.0,0.0,0.0,7098,3579
0.090909,0.0,0.028571,0.0,7492,1163
0.0,0.0,0.057143,0.1,5346,2076
0.0,0.0,0.142857,0.0,3014,1379
0.090909,0.0,0.0,0.0,3438,870
0.0,0.0,0.0,0.0,962,5865
0.0,0.0,0.0,0.0,2324,7342
0.0,0.0,0.142857,0.0,473,3518
0.0,0.0,0.0,0.0,7231,7248
0.0,0.0,0.0,0.0,4404,616
0.181818,0.090909,0.171429,0.2,5677,6422
0.090909,0.0,0.0,0.0,2402,5165
0.0,0.0,0.0,0.0,7801,3717
0.0,0.0,0.0,0.0,3925,5998
0.0,0.0,0.028571,0.1,4671,2187
0.090909,0.0,0.0,0.0,3168,7836
0.090909,0.0,0.0,0.0,5867,6379
0.0,0.0,0.0,0.0,6561,5824
0.0,0.0,0.0,0.0,6173,8253
0.0,0.0,0.114286,0.1,68,6067
0.0,0.0,0.028571,0.0,1838,1925
0.0,0.0,0.285714,0.0,5012,3104
0.0,0.0,0.2,0.2,1874,6870
0.0,0.0,0.0,0.0,2095,2444
0.0,0.0,0.0,0.0,8608,5184
0.0,0.0,0.0,0.0,3888,8272
0.090909,0.0,0.0,0.0,7301,4010
0.181818,0.0,0.085714,0.0,2115,1561
0.0,0.0,0.0,0.0,122,1567
0.272727,0.0,0.228571,0.2,8131,1111
0.0,0.0,0.0,0.0,7060,5803
0.0,0.0,0.0,0.2,789,8342
0.0,0.0,0.057143,0.0,575,7991
0.0,0.0,0.171429,0.4,8587,7766
0.0,0.0,0.0,0.0,7262,4737
0.090909,0.0,0.028571,0.0,3162,6902
0.181818,0.181818,0.057143,0.4,1686,4263
0.0,0.0,0.0,0.0,1468,7107
0.0,0.0,0.0,0.0,2141,817
0.090909,0.0,0.085714,0.1,8639,5461
0.0,0.272727,0.0,0.0,6498,2009
0.181818,0.0,0.057143,0.0,952,8583
0.181818,0.090909,0.057143,0.0,3486,3304
0.0,0.0,0.028571,0.0,1099,7791
0.0,0.181818,0.171429,0.1,8880,6816
0.0,0.0,0.0,0.0,4396,5763
0.0,0.0,0.0,0.0,7318,6244
0.090909,0.0,0.257143,0.0,2174,165
0.0,0.0,0.285714,0.2,5378,3812
0.0,0.0,0.028571,0.0,7666,8328
0.090909,0.0,0.028571,0.0,4694,1490
0.0,0.0,0.0,0.0,8744,3567
0.0,0.0,0.0,0.0,5747,7515
0.0,0.0,0.0,0.0,5882,1554
0.0,0.0,0.0,0.0,5750,5805
0.0,0.0,0.0,0.0,1636,7328
0.0,0.0,0.028571,0.0,5608,2087
0.0,0.0,0.0,0.0,966,8144
0.0,0.0,0.228571,0.1,5451,2080
0.090909,0.0,0.028571,0.0,2877,8381
0.0,0.0,0.0,0.0,3258,1198
0.090909,0.0,0.0,0.0,8433,288
0.0,0.0,0.0,0.0,3285,2316
0.0,0.0,0.0,0.0,5315,3476
0.181818,0.0,0.0,0.0,3524,576
0.0,0.0,0.0,0.0,6108,7317
0.0,0.0,0.0,0.3,8632,1551
0.0,0.0,0.028571,0.0,4370,4673
0.0,0.0,0.0,0.0,5842,4998
0.0,0.0,0.057143,0.0,51,8488
0.090909,0.0,0.142857,0.0,4925,3947
0.0,0.0,0.028571,0.0,939,6136
0.0,0.0,0.0,0.0,6988,7235
0.0,0.0,0.0,0.0,75,827
0.0,0.0,0.0,0.0,8180,678
0.0,0.0,0.085714,0.0,4594,1968
0.0,0.0,0.0,0.0,7776,7191
0.0,0.0,0.342857,0.0,8863,6482
0.0,0.0,0.057143,0.1,1375,4204
0.0,0.0,0.0,0.0,4754,1588
0.0,0.0,0.028571,0.0,7053,1565
0.090909,0.0,0.257143,0.0,5793,1230
0.0,0.0,0.028571,0.0,2593,4870
0.090909,0.0,0.028571,0.0,6308,4880
0.090909,0.0,0.0,0.0,5839,8768
0.0,0.0,0.057143,0.0,5748,2540
0.090909,0.0,0.0,0.0,6563,6027
0.0,0.0,0.0,0.0,3595,7451
0.0,0.0,0.0,0.0,4448,7130
0.0,0.0,0.0,0.0,7619,271
0.0,0.0,0.0,0.0,8067,7573
0.0,0.0,0.0,0.0,8623,1137
0.0,0.0,0.0,0.0,3873,3176
0.0,0.0,0.0,0.0,1071,1564
0.0,0.0,0.0,0.0,6517,1348
0.0,0.0,0.171429,0.0,232,563
0.0,0.0,0.0,0.0,5975,6060
0.090909,0.0,0.114286,0.0,5466,1005
0.090909,0.0,0.171429,0.0,8018,1450
0.090909,0.0,0.0,0.0,713,5498
0.0,0.0,0.285714,0.0,5708,6618
0.0,0.0,0.057143,0.2,8267,3549
0.0,0.0,0.028571,0.0,5560,7174
0.0,0.0,0.0,0.2,2912,1153
0.0,0.0,0.0,0.0,540,2650
0.0,0.0,0.0,0.0,3686,5548
0.0,0.0,0.0,0.0,8205,2577
0.0,0.0,0.0,0.0,4525,8294
0.0,0.181818,0.0,0.0,7718,585
0.090909,0.0,0.028571,0.1,7722,8179
0.181818,0.0,0.028571,0.0,1959,6568
0.0,0.0,0.057143,0.0,7705,1330
0.181818,0.0,0.057143,0.0,1078,5324
0.090909,0.0,0.142857,0.0,6503,144
0.0,0.0,0.0,0.0,7905,3441
0.0,0.0,0.0,0.0,7454,4416
0.0,0.0,0.0,0.0,3732,8429
0.090909,0.0,0.0,0.0,2948,8053
0.0,0.0,0.0,0.0,7232,8216
0.0,0.0,0.0,0.0,4908,8542
0.0,0.0,0.028571,0.0,4816,8668
0.0,0.0,0.0,0.0,5068,8742
0.0,0.0,0.0,0.0,4540,1283
0.0,0.0,0.028571,0.0,8286,7958
0.090909,0.0,0.0,0.0,3752,1366
0.0,0.0,0.0,0.0,5404,1320
0.0,0.0,0.0,0.0,2519,656
0.0,0.0,0.142857,0.0,2074,5013
0.0,0.0,0.0,0.1,5902,4165
0.090909,0.0,0.028571,0.1,3683,7092
0.0,0.0,0.085714,0.1,7006,1093
0.0,0.0,0.028571,0.0,8856,6252
0.0,0.0,0.0,0.0,5248,1990
0.0,0.0,0.0,0.0,703,32
0.0,0.0,0.0,0.0,685,5966
0.0,0.0,0.028571,0.0,3193,5358
0.0,0.0,0.314286,0.2,1731,8469
0.0,0.0,0.0,0.0,4100,993
0.0,0.0,0.0,0.2,6297,8322
0.181818,0.0,0.0,0.0,7535,8624
0.0,0.0,0.057143,0.0,6560,547
0.0,0.090909,0.2,0.0,1512,2340
0.0,0.0,0.0,0.0,6161,1070
0.0,0.0,0.085714,0.0,8306,4512
0.090909,0.0,0.114286,0.0,6129,5371
0.0,0.0,0.0,0.0,2577,500
0.0,0.0,0.0,0.0,383,8479
0.0,0.0,0.0,0.0,3704,4030
0.0,0.0,0.0,0.0,8827,7129
0.090909,0.0,0.057143,0.0,7286,1898
0.0,0.0,0.0,0.0,4007,5275
0.0,0.0,0.0,0.0,897,183
0.0,0.0,0.114286,0.0,6213,1428
0.0,0.0,0.0,0.0,919,7126
0.0,0.0,0.0,0.0,8196,4712
0.0,0.0,0.0,0.0,851,2387
0.0,0.0,0.314286,0.0,8698,2015
0.0,0.0,0.171429,0.2,534,6301
0.0,0.0,0.0,0.0,7908,2046
0.0,0.0,0.0,0.0,603,8118
0.0,0.0,0.314286,0.0,1846,1572
0.0,0.0,0.057143,0.0,449,5784
0.0,0.0,0.0,0.0,8769,8187
0.0,0.0,0.0,0.0,6950,395
0.0,0.0,0.0,0.0,1495,2018
0.0,0.0,0.142857,0.0,6326,5672
0.0,0.0,0.028571,0.0,8378,1344
0.0,0.090909,0.0,0.0,4956,1679
0.0,0.0,0.171429,0.0,895,7337
0.0,0.0,0.0,0.0,4616,4091
0.363636,0.0,0.0,0.0,178,8147
0.0,0.0,0.028571,0.0,6020,6038
0.0,0.0,0.0,0.0,7141,2041
0.0,0.0,0.057143,0.0,4806,85
0.0,0.0,0.0,0.0,4914,8448
0.0,0.0,0.085714,0.0,8553,1411
0.0,0.0,0.0,0.2,927,8517
0.090909,0.0,0.2,0.0,5988,2064
0.0,0.0,0.0,0.0,5795,1793
0.0,0.0,0.085714,0.1,5576,5546
0.0,0.0,0.0,0.0,7143,205
0.0,0.0,0.028571,0.3,6909,2926
0.0,0.0,0.028571,0.0,512,8099
0.090909,0.0,0.0,0.0,5705,8464
0.0,0.0,0.0,0.0,3416,5526
0.0,0.0,0.085714,0.0,1350,6189
0.0,0.0,0.0,0.0,6158,3507
