Key_1_2,oz247,oz175,oz165,oz2
4984,0.028578,0.0,0.0,0.174118
8334,0.008386,0.0,0.0,0.174118
7743,0.020523,0.0,0.1,0.117647
7067,0.172349,0.153846,0.0,0.164706
3114,0.01622,0.153846,0.0,0.174118
8658,0.075692,0.076923,0.0,0.174118
4835,0.020523,0.0,0.1,0.0
4905,0.027695,0.0,0.1,0.0
1756,0.022399,0.0,0.1,0.164706
4828,0.046011,0.153846,0.0,0.164706
6811,0.071389,0.076923,0.0,0.164706
3803,0.073375,0.153846,0.1,0.174118
4330,0.047225,0.153846,0.2,0.174118
6394,0.150171,0.153846,0.2,0.0
2883,0.020523,0.0,0.0,0.164706
3113,0.184155,0.153846,0.1,0.0
5606,0.027695,0.0,0.1,0.0
6842,0.019199,0.0,0.0,0.164706
3229,0.031226,0.0,0.1,0.0
799,0.046011,0.307692,0.0,0.164706
7192,0.056162,0.461538,0.0,0.164706
4129,0.082864,0.615385,0.0,0.0
6186,0.070837,0.153846,0.0,0.170588
4235,0.075692,0.076923,0.0,0.174118
6827,0.020523,0.076923,0.1,0.164706
7439,0.015116,0.153846,0.0,0.164706
6163,0.02273,0.153846,0.2,0.164706
3977,0.043584,0.0,0.2,0.0
729,0.031336,0.0,0.2,0.164706
3718,0.067196,0.0,0.0,0.0
7168,0.035308,0.0,0.0,0.164706
4770,0.07823,0.076923,0.1,0.164706
2421,0.048108,0.0,0.0,0.174118
2502,0.025378,0.076923,0.1,0.164706
5550,0.015116,0.0,0.0,0.174118
454,0.6841,0.461538,0.0,0.0
5390,0.205671,0.153846,0.0,0.164706
2056,0.015999,0.0,0.0,0.164706
190,0.024826,0.076923,0.1,0.0
2678,0.01622,0.076923,0.1,0.164706
3882,0.080216,0.153846,0.1,0.164706
8193,0.032771,0.0,0.2,0.174118
2844,0.014123,0.076923,0.1,0.174118
5304,0.22145,0.153846,0.0,0.0
3164,0.035419,0.0,0.2,0.0
1620,0.027033,0.0,0.2,0.174118
5151,0.035308,0.0,0.3,0.164706
2617,0.024385,0.230769,0.0,0.0
3907,0.031226,0.076923,0.0,0.0
5682,0.020523,0.0,0.1,0.174118
6398,0.008386,0.0,0.0,0.174118
2720,0.02935,0.0,0.0,0.164706
8411,0.051528,0.230769,0.0,0.164706
823,0.10736,0.307692,0.1,0.174118
7022,0.074479,0.461538,0.2,0.0
2859,0.10736,0.307692,0.1,0.174118
3886,0.03586,0.0,0.1,0.0
665,0.050535,0.076923,0.0,0.174118
7648,0.131413,0.153846,0.0,0.164706
5521,0.185921,0.307692,0.1,0.174118
3455,0.10736,0.307692,0.0,0.164706
5258,0.194086,0.230769,0.0,0.174118
4824,0.125014,0.076923,0.0,0.164706
6683,0.214719,0.153846,0.0,0.164706
7351,0.027695,0.0,0.0,0.174118
4145,0.048108,0.153846,0.1,0.0
1618,0.028578,0.0,0.0,0.0
7597,0.041818,0.153846,0.2,0.0
2653,0.075692,0.076923,0.0,0.174118
7259,0.115194,0.230769,0.2,0.174118
834,0.015999,0.0,0.0,0.174118
4470,0.07481,0.076923,0.0,0.0
5264,0.021075,0.0,0.0,0.0
198,0.024826,0.076923,0.1,0.0
7951,0.187024,0.153846,0.0,0.164706
6841,0.015999,0.0,0.0,0.164706
7447,0.046011,0.153846,0.2,0.0
2376,0.044908,0.153846,0.0,0.0
6548,0.052301,0.153846,0.2,0.143529
7605,0.083747,0.076923,0.0,0.0
4350,0.107139,0.076923,0.1,0.0
7992,0.020523,0.0,0.0,0.174118
3186,0.194086,0.230769,0.1,0.174118
3544,0.020523,0.076923,0.1,0.174118
5805,0.14642,0.307692,0.0,0.0
1206,0.032771,0.076923,0.1,0.164706
6282,0.037736,0.076923,0.1,0.164706
4710,0.037736,0.076923,0.0,0.164706
5543,0.018868,0.0,0.0,0.0
1894,0.046011,0.0,0.1,0.0
5499,0.146861,0.153846,0.0,0.0
7776,0.015116,0.0,0.0,0.174118
3796,0.075692,0.076923,0.0,0.174118
7185,0.041818,0.0,0.1,0.0
6632,0.082644,0.076923,0.0,0.164706
