Key_0_0,oz31,oz87,oz127,oz11,Key_1_2
8771,0.0,0.0,0.0,0.0,4984
4751,0.0,0.0,0.0,0.0,8334
3085,0.0,0.0,0.0,0.0,7743
4269,0.0,0.0,0.0,0.0,7067
1397,0.0,0.0,0.0,0.0,3114
3677,0.0,0.0,0.0,0.0,8658
8686,0.0,0.0,0.114286,0.0,4835
3216,0.0,0.0,0.028571,0.0,4905
4557,0.0,0.0,0.028571,0.0,1756
6137,0.0,0.0,0.0,0.0,4828
4225,0.0,0.0,0.0,0.0,6811
8699,0.0,0.0,0.142857,0.0,3803
4822,0.0,0.0,0.0,0.0,4330
8104,0.0,0.090909,0.142857,0.0,6394
2853,0.0,0.0,0.0,0.0,2883
353,0.090909,0.0,0.114286,0.0,3113
2613,0.0,0.0,0.085714,0.0,5606
8206,0.0,0.0,0.057143,0.0,6842
3658,0.0,0.0,0.0,0.0,3229
6698,0.0,0.0,0.0,0.0,799
4155,0.0,0.0,0.0,0.0,7192
8371,0.0,0.0,0.0,0.0,4129
310,0.0,0.0,0.0,0.0,6186
8482,0.0,0.0,0.0,0.0,4235
1204,0.0,0.0,0.085714,0.0,6827
1423,0.0,0.0,0.0,0.0,7439
1074,0.0,0.0,0.0,0.0,6163
5632,0.090909,0.0,0.0,0.0,3977
1573,0.090909,0.0,0.0,0.0,729
2955,0.0,0.0,0.0,0.0,3718
5202,0.0,0.0,0.0,0.0,7168
8757,0.090909,0.090909,0.028571,0.0,4770
4855,0.0,0.0,0.0,0.0,2421
2196,0.0,0.0,0.0,0.0,2502
5136,0.0,0.0,0.0,0.0,5550
5291,0.0,0.0,0.0,0.0,454
7263,0.0,0.0,0.0,0.0,5390
885,0.0,0.0,0.0,0.0,2056
2969,0.0,0.0,0.085714,0.0,190
4123,0.0,0.0,0.085714,0.0,2678
3672,0.0,0.0,0.028571,0.1,3882
3381,0.0,0.0,0.0,0.0,8193
4545,0.0,0.0,0.0,0.0,2844
7037,0.0,0.090909,0.057143,0.0,5304
8767,0.090909,0.0,0.028571,0.0,3164
7506,0.0,0.0,0.0,0.0,1620
4955,0.0,0.0,0.0,0.0,5151
1855,0.0,0.0,0.428571,0.0,2617
8840,0.0,0.0,0.028571,0.0,3907
3272,0.0,0.0,0.028571,0.0,5682
5690,0.0,0.0,0.028571,0.0,6398
2630,0.0,0.0,0.0,0.0,2720
492,0.0,0.0,0.0,0.0,8411
6273,0.0,0.0,0.0,0.0,823
3851,0.0,0.0,0.028571,0.0,7022
13,0.0,0.0,0.0,0.0,2859
5947,0.090909,0.0,0.028571,0.0,3886
684,0.0,0.0,0.0,0.0,665
1759,0.0,0.0,0.057143,0.0,7648
7461,0.0,0.0,0.0,0.0,5521
1119,0.0,0.0,0.0,0.0,3455
133,0.0,0.0,0.0,0.0,5258
2381,0.0,0.0,0.0,0.0,4824
5827,0.0,0.0,0.0,0.0,6683
2677,0.0,0.0,0.0,0.0,7351
1149,0.0,0.0,0.028571,0.0,4145
3738,0.0,0.0,0.171429,0.0,1618
245,0.0,0.0,0.085714,0.0,7597
6300,0.0,0.090909,0.028571,0.0,2653
7659,0.0,0.0,0.0,0.0,7259
7293,0.0,0.0,0.057143,0.0,834
603,0.0,0.0,0.114286,0.0,4470
380,0.0,0.0,0.0,0.0,5264
8133,0.0,0.0,0.085714,0.0,198
6723,0.0,0.0,0.0,0.0,7951
6206,0.0,0.0,0.057143,0.0,6841
1318,0.0,0.0,0.0,0.0,7447
5443,0.0,0.0,0.028571,0.0,2376
8406,0.0,0.0,0.028571,0.0,6548
8787,0.0,0.090909,0.0,0.0,7605
5856,0.0,0.0,0.0,0.0,4350
2085,0.0,0.0,0.028571,0.0,7992
6502,0.0,0.0,0.0,0.0,3186
4201,0.0,0.0,0.0,0.0,3544
8659,0.0,0.0,0.0,0.0,5805
3888,0.0,0.0,0.0,0.0,1206
5290,0.0,0.0,0.0,0.0,6282
6911,0.0,0.0,0.0,0.0,4710
2864,0.0,0.0,0.228571,0.0,5543
5164,0.090909,0.0,0.028571,0.0,1894
3057,0.0,0.0,0.085714,0.2,5499
7191,0.0,0.0,0.0,0.0,7776
8480,0.0,0.0,0.0,0.0,3796
4727,0.090909,0.0,0.028571,0.0,7185
5021,0.0,0.0,0.0,0.0,6632
6744,0.0,0.090909,0.0,0.0,3690
7400,0.0,0.0,0.085714,0.1,3959
210,0.0,0.0,0.0,0.0,6074
452,0.0,0.090909,0.0,0.0,7821
3971,0.0,0.0,0.0,0.0,7198
7126,0.0,0.0,0.0,0.0,919
109,0.0,0.0,0.0,0.0,5557
172,0.0,0.0,0.0,0.0,627
3553,0.0,0.0,0.0,0.0,7544
72,0.0,0.0,0.0,0.0,1307
3086,0.0,0.0,0.0,0.0,8361
1564,0.0,0.0,0.0,0.0,1071
6940,0.0,0.0,0.0,0.0,3435
774,0.0,0.0,0.028571,0.0,5408
906,0.0,0.090909,0.114286,0.0,4538
4839,0.0,0.0,0.114286,0.0,7147
