superconduct/table44.mean_atomic_radius,superconduct/table44.wtd_mean_ThermalConductivity,superconduct/table44.wtd_mean_atomic_radius
172.5,26.9,175.3
154.25,65.34329,126.1
160.0,94.6758507692308,114.52
161.142857142857,85.7181584615385,109.165384615385
143.4,37.081645,140.95
154.0,92.44,146.64
151.75,61.32176,104.347428571429
150.8,65.1,127.483333333333
139.0,115.3125,119.25
174.5,29.5,164.25
162.0,93.5126883591331,115.03173374613
151.75,61.5009028571429,104.542857142857
171.333333333333,81.5714285714286,162.571428571429
125.666666666667,72.7733333333333,106.333333333333
163.0,71.0,163.0
160.0,95.4296969230769,114.528076923077
165.428571428571,181.182368571429,163.357142857143
179.8,96.6192127160494,115.071759259259
156.0,57.075,184.25
161.333333333333,70.3794742857143,108.078571428571
144.5,41.1111111111111,150.888888888889
130.0,19.2206666666667,128.933333333333
157.2,43.43268,105.618181818182
160.666666666667,82.5758507692308,111.261538461538
185.5,96.9412353846154,115.653846153846
164.5,97.904745625,115.578125
164.0,24.496,175.232
156.25,60.8294742857143,117.385714285714
151.285714285714,154.618881666667,159.1
164.0,58.0344,158.4412
141.6,28.7599675,127.875
192.333333333333,95.1666666666667,191.5
151.666666666667,91.1818181818182,147.727272727273
181.0,85.3333333333333,180.0
77.0,70.1025,77.0
132.333333333333,42.7627302325581,89.2558139534884
163.0,96.3989276923077,114.076923076923
99.6666666666667,76.3053333333333,105.453333333333
129.5,39.76,129.5
199.0,100.333333333333,196.0
165.428571428571,92.6777815384615,112.081538461538
161.0,53.8277420648259,123.834333733493
132.0,75.8,125.033333333333
161.857142857143,146.532368571429,162.057142857143
195.0,127.666666666667,180.333333333333
173.25,178.432368571429,176.571428571429
160.0,51.21,141.97
139.25,22.5621875,128.0
169.0,30.5,170.75
142.0,120.0,142.0
149.8,60.7866171428571,104.195714285714
164.5,98.6599070351126,116.099511887892
186.2,98.7491507509881,118.577075098814
122.0,40.7205,135.9
153.333333333333,89.6666666666667,153.333333333333
168.166666666667,185.9408225,162.125
142.5,36.0,124.0
124.0,59.8138107142857,137.714285714286
156.8,36.881645,139.5
178.333333333333,63.2,161.0
158.333333333333,114.736842105263,144.736842105263
167.0,102.420102527346,109.500803182131
139.6,22.1644675,126.625
162.8,94.0912353846154,115.592307692308
127.333333333333,40.504,135.5
162.2,87.03829,120.75
112.0,111.666395939086,133.237563451777
179.8,99.4424942857143,116.337301587302
170.4,105.690796126351,119.753948462178
172.142857142857,96.8617188235294,113.329411764706
163.666666666667,71.518176,106.656
174.666666666667,149.153846153846,172.852147852148
145.0,176.032368571429,170.68
168.5,55.57,169.05
160.5,74.1714285714286,159.485714285714
189.5,65.3333333333333,195.0
160.833333333333,100.782650516717,115.325227963526
173.5,104.911637684289,110.109067321503
152.2,73.3888086348502,104.792452830189
181.0,97.4305115175097,116.132295719844
151.2,60.4609028571428,104.382857142857
151.75,61.1516526288807,104.194816291655
159.5,285.845,170.085
183.166666666667,181.503797142857,172.314285714286
143.666666666667,43.7233925925926,85.5555555555556
153.5,337.0,158.1
154.5,22.5,165.25
120.333333333333,114.6,131.8
161.4,109.390176,112.144
132.0,42.7424325,103.428571428571
134.2,112.613308571429,116.6
149.8,60.66376,104.364142857143
167.0,54.4,154.2
152.666666666667,85.4373892307692,108.692307692308
155.0,182.774774117647,164.941176470588
141.333333333333,35.0646766169154,134.109452736318
173.0,108.0,169.5
163.0,164.455731111111,156.4
166.8,146.603797142857,174.228571428571
150.5,47.3264993548387,112.784946236559
177.0,71.0,177.0
141.0,60.75,156.0
173.2,97.7373892307692,115.369230769231
67.0,140.0,67.0
166.0,71.6223314285714,108.767857142857
150.5,89.1060947368421,106.828947368421
165.5,60.2,160.6
179.666666666667,42.1364094117647,96.8235294117647
164.5,97.904745625,115.578125
168.0,55.5456,158.3984
171.5,71.5923314285714,108.438571428571
157.571428571429,67.2108426666667,106.543333333333
156.25,106.431645,169.425
185.0,87.0,185.0
174.5,209.9970725,167.1875
169.5,108.0,167.75
168.75,55.7292,158.4992
184.2,96.7584032558139,117.031007751938
160.333333333333,62.0,160.333333333333
169.6,177.885225714286,171.764285714286
181.0,96.5293186276022,115.501927525058
129.333333333333,71.0093333333333,106.377333333333
155.0,56.245,166.025
149.8,72.414176,106.133333333333
