superconduct/table17.range_atomic_mass,superconduct/table17.range_atomic_radius,superconduct/table17.wtd_gmean_atomic_radius,superconduct/table17.wtd_mean_atomic_radius,superconduct/table17.wtd_range_atomic_mass,superconduct/table17.wtd_std_Valence,superconduct/table17.wtd_std_atomic_radius
58.553,7.0,175.287146616177,175.3,32.4383,0.0,2.1
184.5906,205.0,97.4777644088047,126.1,26.33205,0.0,85.6206166761254
121.3276,205.0,89.6736529296507,114.52,20.7248923076923,0.266469355010596,79.2286490530366
191.2006,171.0,87.7386917488819,109.165384615385,11.9385384615385,0.451558772967359,69.9643834791768
124.90825,199.0,120.266821786036,140.95,31.2270625,1.11551557586616,72.1245277280898
34.8436,80.0,143.588905605397,146.64,27.6113122,1.19599331101808,30.1235854439673
122.90607,171.0,84.1010723397028,104.347428571429,35.0596853985714,0.441485225213294,67.0747419501072
156.448,159.0,116.833382039551,127.483333333333,23.0870666666667,0.687184270936277,54.0800307158032
126.89477,128.0,106.685151839068,119.25,30.7547425,0.82915619758885,54.8355496006013
68.29453,41.0,163.361304767216,164.25,120.6736325,0.433012701892219,17.753520777581
121.3276,205.0,90.082295310163,115.03173374613,20.5738406153251,0.337216231632068,79.3409467745036
122.90607,171.0,84.1805988109463,104.542857142857,33.2151208571429,0.43705881545081,67.3728825724597
37.2105,29.0,162.225872130275,162.571428571429,67.3120714285714,1.04978131833565,10.8740469908486
52.735,58.0,103.149905830212,106.333333333333,7.57456066666667,0.471404520791032,27.3414622058798
117.2954,81.0,158.75862271555,163.0,39.0984666666667,1.24721912892465,35.1852241715184
121.3276,205.0,89.678700553088,114.528076923077,20.9009153846154,0.266469355010596,79.2316029371745
126.516,205.0,146.48328464316,163.357142857143,24.5783928571429,0.309294787065871,63.7809948662017
128.2426,205.0,89.974032385153,115.071759259259,18.4743123070988,0.35458164450952,79.833025623725
46.08,73.0,182.485954514795,184.25,67.864035,0.433012701892219,24.0039059321603
141.2506,185.0,85.4590725821935,108.078571428571,9.97335714285714,0.926481163833769,73.5068575865198
82.6233,23.0,150.56728100097,150.888888888889,131.907011111111,0.831479419283098,9.56201332175563
148.88288,113.0,120.10865200575,128.933333333333,47.48996,0.471404520791032,50.6576307732167
192.981,183.0,85.464492112634,105.618181818182,32.4704727272727,1.15508219449226,68.1721059749356
126.516,205.0,87.550692838303,111.261538461538,16.4859769230769,0.319485533189157,77.5039010279883
151.2596,205.0,90.1361278605386,115.653846153846,20.9730846153846,0.299382994698752,80.7335324040629
121.3276,205.0,90.5654612760871,115.578125,14.51157421875,0.268368188083089,79.4108786406773
11.066195,24.0,175.176262947531,175.232,44.44939376,0.0,4.224
124.90825,199.0,89.2100968068677,117.385714285714,34.2373932142857,0.903507902905251,86.0112605347434
