superconduct/table53.mean_Density,superconduct/table53.range_Density,superconduct/table53.range_atomic_radius
8265.0,7516.0,7.0
6501.35725,13532.571,205.0
4816.6858,8958.571,205.0
5180.48985714286,11338.571,171.0
5828.4858,8898.571,199.0
6012.75,7350.0,80.0
4434.35725,8958.571,171.0
6182.6,6806.0,159.0
6568.5,6700.0,128.0
8743.0,5194.0,41.0
5168.6858,8958.571,205.0
4434.35725,8958.571,171.0
8816.33333333333,5761.0,29.0
4386.0,7222.0,58.0
11477.6666666667,16833.0,81.0
4816.6858,8958.571,205.0
3369.06128571429,8958.571,205.0
5224.2858,8958.571,205.0
7067.66666666667,3247.0,73.0
6528.73816666667,12368.571,185.0
9273.5,5153.0,23.0
7809.66666666667,14690.0,113.0
5323.0858,9778.571,183.0
3672.23816666667,8958.571,205.0
4954.5715,9064.571,205.0
4235.85725,8958.571,205.0
6703.5,4393.0,24.0
5572.60725,8958.571,199.0
5938.77557142857,11338.571,171.0
6994.2,5450.0,139.0
4468.4858,7872.571,171.0
16540.6666666667,18118.0,32.0
5794.66666666667,6578.0,84.0
7677.5,9385.0,6.0
2110.0,300.0,20.0
10367.143,19248.571,145.0
4870.35725,8958.571,205.0
2152.66666666667,722.0,78.0
6346.5,3055.0,53.0
11795.0,3030.0,18.0
3297.63271428571,8958.571,205.0
9405.0858,21018.571,205.0
5412.0,6700.0,145.0
5371.91842857143,11338.571,171.0
11145.5,2609.0,44.0
4777.85725,8958.571,205.0
16750.0,16320.0,57.0
6843.0,10063.0,111.0
6591.33333333333,4063.0,65.0
7140.0,0.0,0.0
4975.4858,8958.571,171.0
4235.85725,8958.571,205.0
5292.8858,8958.571,205.0
5358.0,5914.0,69.0
4856.33333333333,6906.0,76.0
5271.90483333333,11848.571,199.0
5515.0,6110.0,111.0
5034.07133333333,10276.786,111.0
4574.4858,7872.571,199.0
5044.33333333333,6342.0,151.0
9291.66666666667,20230.0,73.0
4033.4858,8958.571,205.0
3269.4858,8906.571,171.0
5735.4858,9064.571,205.0
6311.0,3055.0,53.0
5511.0858,13532.571,205.0
3841.5,7170.0,82.0
5224.2858,8958.571,205.0
3698.6858,8958.571,205.0
6679.77557142857,13532.571,205.0
5137.0715,9778.571,185.0
8823.33333333333,6304.0,39.0
3840.6858,8958.571,205.0
6650.0,1080.0,5.0
7951.75,2219.0,36.0
9480.5,5939.0,33.0
6482.5715,13532.571,205.0
4529.5715,8958.571,205.0
5815.4858,11338.571,171.0
4716.6858,8958.571,205.0
5329.0858,8958.571,171.0
4434.35725,8958.571,171.0
13305.0,11990.0,29.0
4188.90483333333,8958.571,205.0
6739.80966666667,19248.571,145.0
8815.0,3350.0,23.0
5602.0,2190.0,43.0
4302.0,7170.0,82.0
5170.2858,8958.571,205.0
4586.52083333333,9778.571,177.0
2919.8858,8958.571,146.0
4975.4858,8958.571,171.0
6281.66666666667,2630.0,117.0
6055.23816666667,11848.571,171.0
3959.90483333333,8958.571,178.0
6953.33333333333,1070.0,33.0
14875.0,15370.0,14.0
5944.91842857143,11338.571,190.0
4290.0858,8958.571,205.0
6080.35725,11848.571,205.0
21450.0,0.0,0.0
4220.0,3780.0,60.0
4563.2858,8958.571,205.0
2260.0,0.0,0.0
7385.40483333333,12448.571,185.0
5710.23816666667,11338.571,171.0
7221.0,9393.0,94.0
7043.47633333333,19248.571,250.0
4235.85725,8958.571,205.0
6504.75,5398.0,139.0
6478.73816666667,12368.571,185.0
4933.347,9778.571,171.0
5572.60725,8958.571,199.0
22590.0,0.0,0.0
4106.5715,8958.571,205.0
9820.0,5260.0,7.0
6502.75,5390.0,139.0
5532.4858,8958.571,205.0
7360.33333333333,11050.0,141.0
5444.6858,10278.571,205.0
4716.6858,8958.571,205.0
4024.0,6136.0,69.0
4439.0,3410.0,58.0
4584.2858,9778.571,171.0
4935.0715,9778.571,171.0
4565.5715,9778.571,171.0
4235.85725,8958.571,205.0
4434.35725,8958.571,171.0
14502.25,15871.0,29.0
5083.73816666667,9839.571,205.0
9360.0,5326.0,36.0
6038.2858,8958.571,199.0
5293.06128571429,13532.571,171.0
8553.33333333333,2470.0,55.0
3943.5715,8958.571,205.0
12323.3333333333,20600.0,93.0
9463.33333333333,14690.0,113.0
4434.35725,8958.571,171.0
3366.0,2212.0,145.0
4716.6858,8958.571,205.0
5828.4858,8898.571,199.0
4551.23816666667,8958.571,205.0
8212.0,5704.0,91.0
5993.0,6630.0,74.0
5329.0858,8958.571,171.0
3677.85725,8568.571,205.0
5323.63271428571,9318.571,174.0
6504.75,5398.0,139.0
9780.0,5180.0,12.0
6501.35725,13532.571,205.0
4760.40483333333,8958.571,205.0
5157.5,9245.0,24.0
4816.6858,8958.571,205.0
4565.5715,8958.571,205.0
8900.0,3180.0,20.0
2299.33333333333,962.0,58.0
13750.0,16320.0,57.0
5125.4858,8958.571,205.0
5426.4858,8958.571,164.0
6473.8,7581.0,150.0
19605.0,5910.0,20.0
4975.4858,8958.571,171.0
9018.5,4643.0,21.0
4584.2858,9778.571,171.0
7677.5,9385.0,6.0
6526.0,15682.0,113.0
3712.47633333333,10278.571,195.0
5451.5,7170.0,85.0
5293.06128571429,13532.571,171.0
3577.825,9778.571,153.0
8919.33333333333,20822.0,93.0
5841.0858,12368.571,183.0
5922.6,8320.0,144.0
3909.40483333333,9778.571,171.0
3750.625,9778.571,164.0
5732.85725,11338.571,171.0
4476.0715,8958.571,205.0
5767.347,11338.571,171.0
4033.4858,8958.571,205.0
5167.0,6051.0,133.0
3249.4858,6695.571,217.0
5649.2858,8958.571,205.0
6799.23816666667,16648.571,183.0
6007.0,206.0,35.0
5162.91842857143,11338.571,250.0
4191.10378,7873.9101,190.0
4235.85725,8958.571,205.0
6694.5,3751.0,95.0
5867.25,7932.0,76.0
3993.28125,8958.571,164.0
4870.35725,8958.571,205.0
4584.2858,9778.571,171.0
4235.85725,8958.571,205.0
6039.66666666667,9380.0,67.0
4565.5715,9778.571,171.0
6953.33333333333,1070.0,33.0
4235.85725,8958.571,205.0
4928.23816666667,7872.571,199.0
4904.66666666667,3410.0,53.0
3662.625,9778.571,180.0
5529.35725,8958.571,158.0
5342.85725,9778.571,171.0
5168.6858,8958.571,205.0
7784.66666666667,5436.0,35.0
6038.2858,8958.571,199.0
19200.0,10140.0,12.0
5727.0,0.0,0.0
3861.06128571429,8958.571,205.0
4730.4858,8958.571,205.0
4529.5715,8958.571,205.0
5750.85725,8958.571,190.0
6038.2858,8958.571,199.0
4870.35725,8958.571,205.0
4963.4858,8958.571,205.0
3928.6858,8958.571,205.0
