entropy_atomic_radius,range_atomic_radius,wtd_entropy_atomic_radius
1.25924397214289,205.0,1.20703998701461
1.50832754035259,205.0,1.2041147982326
1.25924397214289,205.0,1.13254686280436
1.25924397214289,205.0,1.17303291789271
1.25924397214289,205.0,1.26119371912948
1.25924397214289,205.0,1.33133890122576
1.25924397214289,205.0,1.36727867491832
1.27527399052522,171.0,1.12181816170133
1.27527399052522,171.0,1.16005975115976
1.27527399052522,171.0,1.19273404990926
1.27527399052522,171.0,1.24611309408638
1.50879718264381,205.0,1.39449392338404
1.50832754035259,205.0,1.17643173604827
1.50832754035259,205.0,1.2041147982326
1.50832754035259,205.0,1.25533767886352
1.50832754035259,205.0,1.28295301573107
1.50703211965634,205.0,1.50958098343178
1.25924397214289,205.0,1.17303291789271
1.27527399052522,171.0,1.16005975115976
1.27527399052522,171.0,1.07523273630141
1.27527399052522,171.0,1.12181816170133
1.27527399052522,171.0,1.20742134706112
1.27527399052522,171.0,1.22115995562567
1.27527399052522,171.0,1.24611309408638
1.27527399052522,171.0,1.26810420283283
1.27527399052522,171.0,1.28749421104786
1.27527399052522,171.0,1.17699230556264
1.28460887049299,147.0,1.14974813327138
1.25460859180271,205.0,0.540477431302111
1.25460859180271,205.0,1.0252470362322
1.25460859180271,205.0,0.795740778566386
1.70447072618275,205.0,1.23680399471551
1.25670056650299,205.0,1.29933895216816
1.25670056650299,205.0,1.29933895216816
1.25366237079374,205.0,1.32061234562684
1.25460859180271,205.0,1.28473470239
1.25460859180271,205.0,1.26158236174811
1.25460859180271,205.0,1.23230171760707
1.25460859180271,205.0,1.19623901547839
1.25924397214289,205.0,1.33229350727075
1.25670056650299,205.0,1.16683237250706
1.25670056650299,205.0,1.36489009004857
1.25670056650299,205.0,1.36145947812035
1.25670056650299,205.0,1.34429759166452
1.25775303954432,205.0,1.29745857070415
1.25239790075104,205.0,1.36907131576493
1.25186775273773,205.0,1.36964080122098
1.25316722482293,205.0,1.36819366019727
1.25366237079374,205.0,1.36759269405101
1.25366237079374,205.0,1.36759269405101
1.25460859180271,205.0,1.36635191963239
1.25570514472447,205.0,1.36472629565036
1.25775303954432,205.0,1.15524832078761
1.25048423025934,205.0,1.17783588233078
1.25186775273773,205.0,1.16463071154131
1.25670056650299,205.0,1.16683237250706
1.25670056650299,205.0,1.32954722466143
1.25670056650299,205.0,1.22784960682178
1.25670056650299,205.0,1.26906597135551
1.50879718264381,205.0,1.3545152126147
1.27527399052522,171.0,1.16005975115976
1.50546582142155,205.0,1.22934618718307
1.27527399052522,171.0,1.26810420283283
1.25670056650299,205.0,1.29933895216816
1.25460859180271,205.0,1.36635191963239
1.25570514472447,205.0,1.18204802798243
1.25670056650299,205.0,1.22651562026897
1.25924397214289,205.0,1.17303291789271
1.27527399052522,171.0,1.16005975115976
1.52150964739435,171.0,1.23900812721508
1.52162352663821,171.0,1.20558320597489
1.52159129077178,171.0,1.20525066159381
1.52140462027423,171.0,1.21402411433066
1.52105462229988,171.0,1.23458089595756
1.52065065342601,171.0,1.23367388267623
1.52027198000205,171.0,1.23298863783417
1.51912201942685,171.0,1.20362404854194
1.50788835646841,199.0,1.31123901255512
1.51816265358845,171.0,1.29910084786502
1.51059569924106,190.0,1.30866851813166
1.51199995897413,185.0,1.30721851084602
1.50445986331947,205.0,1.40082793451479
1.50445986331947,205.0,1.43927408903501
1.50445986331947,205.0,1.35708750787111
1.50445986331947,205.0,1.37003992928516
1.50445986331947,205.0,1.39148471835639
1.25670056650299,205.0,1.339742693422
1.47040183129763,205.0,1.47538905806704
1.46259569083522,205.0,1.46783510921036
1.25670056650299,205.0,1.339742693422
1.25670056650299,205.0,1.339742693422
1.25186775273773,205.0,1.3476501035762
1.25670056650299,205.0,1.339742693422
1.25670056650299,205.0,1.339742693422
1.25670056650299,205.0,1.339742693422
1.25670056650299,205.0,1.339742693422
1.25366237079374,205.0,1.34827300443234
1.50269254000291,205.0,1.39558145986775
1.25670056650299,205.0,1.339742693422
1.25670056650299,205.0,1.339742693422
1.25670056650299,205.0,1.339742693422
1.5068676376714,205.0,1.47760774073015
1.25048423025934,205.0,1.37919044054497
1.25048423025934,205.0,1.37101103989507
1.25048423025934,205.0,1.25743956866659
1.25048423025934,205.0,1.34026434782825
1.25048423025934,205.0,1.31708657214774
