wtd_mean_Density,wtd_range_atomic_mass,wtd_std_Density
2961.50228571429,31.7949208571429,3572.59662370838
3021.01657142857,36.161939,3632.64918471043
2999.15942857143,35.741099,3592.01928133231
2980.33085714286,33.7680099285714,3582.37059664405
2923.84514285714,27.8487427142857,3552.66866358032
2848.53085714286,20.6874578571429,3511.26220405749
2660.24514285714,10.7656385714286,3398.24943647459
2986.588,36.451199,3591.74934290791
2961.47371428571,34.8331599285714,3581.84892090518
2936.35942857143,33.2151208571429,3571.7444739799
2886.13085714286,29.9790427142857,3550.9165033491
3119.87371428571,27.8487427142857,3980.72603242401
3010.088,36.9324261428571,3612.40788699085
3021.01657142857,36.161939,3632.64918471043
3053.80228571429,35.741099,3692.51336715885
3108.44514285714,35.741099,3789.55613920113
2877.07715384615,14.3039615384615,3647.09104266043
2980.33085714286,33.7680099285714,3582.37059664405
2961.47371428571,34.8331599285714,3581.84892090518
3011.70228571429,38.0692380714286,3601.44742258933
2986.588,36.451199,3591.74934290791
2923.80228571429,32.4061013214286,3566.61520064948
2911.24514285714,31.5970817857143,3561.4342655633
2886.13085714286,29.9790427142857,3550.9165033491
2861.01657142857,28.3610036428571,3540.18933743545
2835.90228571429,26.7429645714286,3529.25085837384
2948.91657142857,34.0241403928571,3576.82230780822
2938.33085714286,35.8519170714286,3587.40057474766
6327.57145,137.64323,1771.41882321684
5372.35725,73.87445,3353.8616681197
5765.71433333333,113.591622222222,2412.92690131006
5348.87725,69.64877,3351.19163805096
4285.40966666667,22.1322666666667,3677.81491325854
4285.40966666667,22.1322666666667,3677.81491325854
5083.143,22.5433666666667,4083.41367676172
4834.97633333333,24.42105,4023.2871556461
4738.143,26.7098333333333,3983.90071733278
4641.30966666667,28.9986166666667,3941.74287916571
4544.47633333333,31.2874,3896.72369259787
3081.231,12.5121692307692,3719.35201257293
5481.91842857143,36.9506571428571,3275.96830700402
2498.44058823529,11.0197317647059,3398.04116133713
2467.86691666667,11.708465,3337.33338752355
2393.61657142857,14.4637714285714,3183.86452805485
4623.80966666667,22.1322666666667,3794.33149761416
2633.5774,6.8796,3577.56428082485
2846.1374,6.8796,3798.4601097742
2898.1374,6.8796,3871.05940485881
2917.6574,6.8796,3900.02186166307
2939.3374,6.8796,3933.24514290501
2959.6574,6.8796,3965.36925138755
3001.3374,6.8796,4034.14545059866
6304.67536363636,35.9983272727273,3006.2095764474
5893.48985714286,36.9506571428571,3304.08950432903
6466.67536363636,35.9983272727273,3063.31833143503
5481.91842857143,36.9506571428571,3275.96830700402
2552.5774,13.891429,3530.63887734697
4187.75725,37.19825,3198.26148486685
4229.60828571429,30.7414,3412.38963463606
3021.85942857143,29.4358284285714,3774.0461032433
2961.47371428571,34.8331599285714,3581.84892090518
5351.15725,65.22175,3347.5584231321
2861.01657142857,28.3610036428571,3540.18933743545
4285.40966666667,22.1322666666667,3677.81491325854
2739.6574,6.8796,3671.81189004146
3911.64514285714,41.0678342857143,4628.48879846634
2223.586,11.0470941666667,3411.90356379417
2980.33085714286,33.7680099285714,3582.37059664405
