range_ElectronAffinity,wtd_mean_ElectronAffinity,wtd_range_ElectronAffinity
127.05,111.727142857143,80.9871428571429
127.05,112.316428571429,81.2078571428572
127.05,112.213571428571,81.2078571428572
127.05,111.970357142857,81.0975
127.05,111.240714285714,80.7664285714286
127.05,110.267857142857,80.325
127.05,107.835714285714,79.2214285714286
135.97,112.086142857143,81.3352857142857
135.97,111.779214285714,81.2886428571429
135.97,111.472285714286,81.242
135.97,110.858428571429,81.1487142857143
141.0,106.166428571429,81.3642857142857
127.05,112.265,81.2078571428572
127.05,112.316428571429,81.2078571428572
127.05,112.470714285714,81.2078571428572
127.05,112.727857142857,81.2078571428572
138.63,108.723846153846,76.5819230769231
127.05,111.970357142857,81.0975
135.97,111.779214285714,81.2886428571429
135.97,112.393071428571,81.3819285714286
135.97,112.086142857143,81.3352857142857
135.97,111.318821428571,81.2186785714286
135.97,111.165357142857,81.1953571428571
135.97,110.858428571429,81.1487142857143
135.97,110.5515,81.1020714285714
135.97,110.244571428571,81.0554285714286
135.97,111.62575,81.2653214285714
138.63,111.722214285714,81.3456428571429
127.05,61.0875,40.4275
127.05,89.5475,34.8525
127.05,65.2055555555555,32.6166666666667
135.97,89.4129,35.59235
127.05,94.7033333333333,44.41
127.05,94.7033333333333,44.41
127.05,98.625,44.925
127.05,96.8225,44.1525
127.05,96.2216666666667,43.895
127.05,95.6208333333333,43.6375
127.05,95.02,44.0666666666667
127.05,110.584615384615,74.3538461538461
127.05,80.6,46.9714285714286
127.05,110.090588235294,81.6423529411765
127.05,108.535833333333,80.8075
127.05,104.76,78.78
127.05,97.4233333333333,44.41
127.05,115.454,83.646
127.05,115.454,83.646
127.05,115.454,83.646
127.05,115.454,83.646
127.05,115.454,83.646
127.05,115.454,83.646
127.05,115.454,83.646
127.05,81.0318181818182,50.2863636363636
127.05,83.5142857142857,46.9714285714286
127.05,81.0318181818182,50.2863636363636
127.05,80.6,46.9714285714286
127.05,113.509,83.634
127.05,76.455,30.99
127.05,84.2757142857143,36.7414285714286
141.0,108.703571428571,81.3964285714286
135.97,111.779214285714,81.2886428571429
127.05,89.4475,34.8525
135.97,110.5515,81.1020714285714
127.05,94.7033333333333,44.41
127.05,115.454,83.646
127.05,112.241428571429,80.9871428571429
127.05,119.905833333333,94.7425
127.05,111.970357142857,81.0975
135.97,111.779214285714,81.2886428571429
135.97,110.680857142857,81.3635714285714
135.97,111.375428571429,81.3541428571429
135.97,111.395,81.3345714285714
141.0,111.134,81.4242857142857
135.97,110.738714285714,81.3057142857143
135.97,111.081571428571,81.242
135.97,111.426571428571,81.242
141.0,111.303142857143,81.4264285714286
135.97,111.500857142857,81.242
135.97,111.500857142857,81.242
135.97,111.500857142857,81.242
135.97,111.500857142857,81.242
127.05,107.984230769231,76.5323076923077
127.05,106.799230769231,76.3338461538462
127.05,108.932230769231,76.6910769230769
127.05,108.695230769231,76.6513846153846
127.05,108.221230769231,76.572
127.05,109.169230769231,74.3538461538461
186.05,113.707692307692,63.3923076923077
335.05,125.169230769231,63.3923076923077
127.05,109.169230769231,74.3538461538461
127.05,109.169230769231,74.3538461538461
127.05,110.738461538462,74.3538461538461
127.05,109.169230769231,74.3538461538461
127.05,109.169230769231,74.3538461538461
127.05,109.169230769231,74.3538461538461
127.05,109.169230769231,74.3538461538461
127.05,113.007142857143,79.2214285714286
127.05,112.861428571429,81.2064285714286
127.05,109.169230769231,74.3538461538461
127.05,109.169230769231,74.3538461538461
127.05,109.169230769231,74.3538461538461
127.05,106.540322580645,80.25
127.05,115.8145,83.8005
127.05,115.454,83.646
127.05,127.194055555556,109.683166666667
127.05,114.733,83.337
127.05,114.3725,83.1825
127.05,114.012,83.44
127.05,115.0935,83.4915
