superconduct/table40.mean_Valence,superconduct/table40.wtd_mean_FusionHeat,superconduct/table40.wtd_mean_Valence,superconduct/table40.wtd_mean_atomic_radius,superconduct/table40.wtd_std_Valence
4.0,18.5,4.0,175.3,0.0
2.0,4.305,2.0,126.1,0.0
2.2,5.21492307692308,2.07692307692308,114.52,0.266469355010596
2.57142857142857,4.6365,2.13846153846154,109.165384615385,0.451558772967359
3.6,12.3355,3.575,140.95,1.11551557586616
3.5,18.404,3.64,146.64,1.19599331101808
2.25,3.83301428571429,2.26528571428571,104.347428571429,0.441485225213294
3.0,43.065,2.83333333333333,127.483333333333,0.687184270936277
2.75,58.11875,3.25,119.25,0.82915619758885
3.5,5.1525,3.75,164.25,0.433012701892219
2.6,5.31743343653251,2.10061919504644,115.03173374613,0.337216231632068
2.25,3.84685714285714,2.25714285714286,104.542857142857,0.43705881545081
4.33333333333333,6.21428571428571,3.57142857142857,162.571428571429,1.04978131833565
2.33333333333333,36.2597333333333,2.66666666666667,106.333333333333,0.471404520791032
4.66666666666667,20.0,4.66666666666667,163.0,1.24721912892465
2.2,5.23040384615385,2.07692307692308,114.528076923077,0.266469355010596
2.28571428571429,10.6738571428571,2.10714285714286,163.357142857143,0.309294787065871
2.6,4.93017901234568,2.09645061728395,115.071759259259,0.35458164450952
4.33333333333333,22.47,4.75,184.25,0.433012701892219
3.16666666666667,5.29042857142857,2.31428571428571,108.078571428571,0.926481163833769
4.0,7.64444444444444,3.44444444444444,150.888888888889,0.831479419283098
5.66666666666667,14.132,5.66666666666667,128.933333333333,0.471404520791032
2.8,4.79563636363636,2.58181818181818,105.618181818182,1.15508219449226
2.33333333333333,6.66953846153846,2.11538461538462,111.261538461538,0.319485533189157
2.5,5.76046153846154,2.08076923076923,115.653846153846,0.299382994698752
2.25,5.328875,2.078125,115.578125,0.268368188083089
4.0,18.62,4.0,175.232,0.0
3.0,3.93971428571429,2.57142857142857,117.385714285714,0.903507902905251
2.85714285714286,8.308,2.65,159.1,1.0774197572596
3.2,18.2398,3.6112,158.4412,1.20533587020382
3.4,10.12075,2.875,127.875,1.26861144563653
5.0,21.9666666666667,5.0,191.5,1.4142135623731
3.0,26.2272727272727,3.0,147.727272727273,0.852802865422442
4.5,22.4666666666667,5.0,180.0,1.4142135623731
5.0,53.365,5.0,77.0,1.0
3.66666666666667,8.58744186046512,3.0,89.2558139534884,1.67053813916911
2.25,4.91953846153846,2.07692307692308,114.076923076923,0.266469355010596
3.0,38.6533333333333,2.71066666666667,105.453333333333,0.541866732283461
4.5,9.6,4.5,129.5,1.5
5.0,32.5,5.33333333333333,196.0,0.942809041582063
2.71428571428571,4.99653846153846,2.12461538461538,112.081538461538,0.558715771756505
3.0,4.25237214885954,2.06002400960384,123.834333733493,0.544533898201283
2.8,41.6633333333333,2.83333333333333,125.033333333333,0.687184270936277
2.42857142857143,8.20971428571428,2.3,162.057142857143,0.662247256371386
4.5,21.75,5.5,180.333333333333,1.11803398874989
2.5,8.91742857142857,2.28571428571429,176.571428571429,0.699854212223765
