wtd_mean_ElectronAffinity,wtd_mean_FusionHeat,wtd_range_ElectronAffinity,wtd_range_atomic_radius
111.727142857143,3.84685714285714,80.9871428571429,42.9142857142857
112.316428571429,3.79685714285714,81.2078571428572,50.5714285714286
112.213571428571,3.82257142857143,81.2078571428572,49.3142857142857
111.970357142857,3.83471428571429,81.0975,46.1142857142857
111.240714285714,3.87114285714286,80.7664285714286,36.5142857142857
110.267857142857,3.91971428571429,80.325,23.7142857142857
107.835714285714,4.04114285714286,79.2214285714286,15.4285714285714
112.086142857143,3.82257142857143,81.3352857142857,49.8
111.779214285714,3.83471428571429,81.2886428571429,46.8428571428571
111.472285714286,3.84685714285714,81.242,43.8857142857143
110.858428571429,3.87114285714286,81.1487142857143,37.9714285714286
106.166428571429,3.40785714285714,81.3642857142857,40.0285714285714
112.265,3.80971428571429,81.2078571428572,51.75
112.316428571429,3.79685714285714,81.2078571428572,50.5714285714286
112.470714285714,3.75828571428571,81.2078571428572,49.3142857142857
112.727857142857,3.694,81.2078571428572,49.3142857142857
108.723846153846,5.27107692307692,76.5819230769231,26.0
111.970357142857,3.83471428571429,81.0975,46.1142857142857
111.779214285714,3.83471428571429,81.2886428571429,46.8428571428571
112.393071428571,3.81042857142857,81.3819285714286,52.7571428571429
112.086142857143,3.82257142857143,81.3352857142857,49.8
111.318821428571,3.85292857142857,81.2186785714286,42.4071428571429
111.165357142857,3.859,81.1953571428571,40.9285714285714
110.858428571429,3.87114285714286,81.1487142857143,37.9714285714286
110.5515,3.88328571428571,81.1020714285714,35.0142857142857
110.244571428571,3.89542857142857,81.0554285714286,32.0571428571429
111.62575,3.84078571428571,81.2653214285714,45.3642857142857
111.722214285714,3.84628571428571,81.3456428571429,47.3785714285714
61.0875,7.8811,40.4275,175.2
89.5475,7.1955,34.8525,87.9
65.2055555555555,7.50244444444444,32.6166666666667,142.666666666667
89.4129,7.1325,35.59235,88.815
94.7033333333333,7.56066666666667,44.41,34.6
94.7033333333333,7.56066666666667,44.41,34.6
98.625,9.09066666666667,44.925,32.3333333333333
96.8225,8.134,44.1525,38.8166666666667
