mean_Valence,wtd_mean_FusionHeat,wtd_mean_Valence,wtd_mean_atomic_radius,wtd_std_Valence
2.25,3.84685714285714,2.25714285714286,105.514285714286,0.43705881545081
2.0,3.79685714285714,2.25714285714286,104.971428571429,0.468606270481621
2.25,3.82257142857143,2.27142857142857,104.685714285714,0.444696640464954
2.25,3.83471428571429,2.26428571428571,105.1,0.440952123830019
2.25,3.87114285714286,2.24285714285714,106.342857142857,0.428809457708675
2.25,3.91971428571429,2.21428571428571,108.0,0.410325903324145
2.25,4.04114285714286,2.14285714285714,112.142857142857,0.349927106111883
2.25,3.82257142857143,2.27142857142857,104.2,0.444696640464954
2.25,3.83471428571429,2.26428571428571,104.371428571429,0.440952123830019
2.25,3.84685714285714,2.25714285714286,104.542857142857,0.43705881545081
2.25,3.87114285714286,2.24285714285714,104.885714285714,0.428809457708675
2.2,3.40785714285714,2.24285714285714,107.457142857143,0.428809457708675
2.0,3.80971428571429,2.26428571428571,104.828571428571,0.456863754084211
2.0,3.79685714285714,2.25714285714286,104.971428571429,0.468606270481621
2.0,3.75828571428571,2.23571428571429,105.4,0.501579138973165
2.0,3.694,2.2,106.114285714286,0.550324579550235
2.2,5.27107692307692,2.07692307692308,112.269230769231,0.266469355010596
2.25,3.83471428571429,2.26428571428571,105.1,0.440952123830019
2.25,3.83471428571429,2.26428571428571,104.371428571429,0.440952123830019
2.25,3.81042857142857,2.27857142857143,104.028571428571,0.448296093843234
2.25,3.82257142857143,2.27142857142857,104.2,0.444696640464954
2.25,3.85292857142857,2.25357142857143,104.628571428571,0.435055122006021
2.25,3.859,2.25,104.714285714286,0.433012701892219
2.25,3.87114285714286,2.24285714285714,104.885714285714,0.428809457708675
2.25,3.88328571428571,2.23571428571429,105.057142857143,0.424444414764159
2.25,3.89542857142857,2.22857142857143,105.228571428571,0.419912527334259
2.25,3.84078571428571,2.26071428571429,104.457142857143,0.439024312468883
2.25,3.84628571428571,2.26428571428571,103.835714285714,0.440952123830019
2.25,7.8811,2.8,207.15,0.4
2.25,7.1955,2.45,160.8,0.49749371855331
2.25,7.50244444444444,2.66666666666667,197.555555555556,0.471404520791032
2.33333333333333,7.1325,2.45,159.415,0.49749371855331
2.25,7.56066666666667,2.13333333333333,143.2,0.339934634239519
2.25,7.56066666666667,2.13333333333333,143.2,0.339934634239519
