superconduct/table37.range_atomic_mass,superconduct/table37.wtd_mean_ThermalConductivity,superconduct/table37.wtd_range_fie,superconduct/table37.wtd_std_ThermalConductivity
58.553,26.9,511.67,14.7
184.5906,65.34329,555.95,140.776929236378
121.3276,94.6758507692308,701.479692307692,164.728981990715
191.2006,85.7181584615385,698.469230769231,149.124166120562
124.90825,37.081645,271.4175,33.6805103987169
34.8436,92.44,348.156,55.6920676577913
122.90607,61.32176,739.127571428571,138.44364664755
156.448,65.1,257.25,45.4725924779605
126.89477,115.3125,496.2875,89.988692866104
68.29453,29.5,401.125,9.52627944162882
121.3276,93.5126883591331,694.499767801858,163.517942233659
122.90607,61.5009028571429,734.657142857143,138.395228788671
37.2105,81.5714285714286,321.414285714286,37.1554923563785
52.735,72.7733333333333,528.996666666667,67.3036053186521
117.2954,71.0,135.033333333333,57.8676651219545
121.3276,95.4296969230769,703.918384615385,165.482105291614
126.516,181.182368571429,264.1,182.085692518042
128.2426,96.6192127160494,695.025154320987,166.648581507566
46.08,57.075,478.7,5.42857025375927
141.2506,70.3794742857143,735.167142857143,137.490758141801
82.6233,41.1111111111111,272.855555555556,9.14627361211408
148.88288,19.2206666666667,148.826666666667,26.714319934364
192.981,43.43268,696.349090909091,113.38431414168
126.516,82.5758507692308,690.161538461538,155.17183533402
151.2596,96.9412353846154,704.786923076923,166.56883871768
121.3276,97.904745625,649.50625,167.295738990658
11.066195,24.496,612.4912,13.728
124.90825,60.8294742857143,738.769285714286,138.579130686535
192.981,154.618881666667,174.33,155.288499759933
81.482,58.0344,372.818,37.8476685760167
71.6206,28.7599675,411.15,26.3033179339621
103.31115,95.1666666666667,297.416666666667,59.5914330159033
110.81997,91.1818181818182,138.245454545455,54.0838039642153
56.114088,85.3333333333333,263.266666666667,49.0260701622673
20.0543,70.1025,43.35,69.8975
188.3839,42.7627302325581,875.030232558139,70.9923061711395
128.2426,96.3989276923077,666.169230769231,166.440382618967
13.494,76.3053333333333,450.487066666667,63.4598569035751
23.115,39.76,90.65,39.24
82.53,100.333333333333,264.8,54.6829244117597
121.3276,92.6777815384615,699.799692307692,161.953376175271
184.5906,53.8277420648259,673.44693877551,128.152841958285
78.09485,75.8,241.9,75.0321708780085
191.2006,146.532368571429,188.08,166.954037914813
72.0613,127.666666666667,514.083333333333,49.9388514974953
124.90825,178.432368571429,244.057142857143,191.963623647973
67.484,51.21,570.652333333333,68.62175966849
74.355,22.5621875,336.625,29.1571908995422
73.893,30.5,163.0,13.5922772190682
0.0,120.0,0.0,0.0
122.90607,60.7866171428571,749.048857142857,137.903958847287
121.3276,98.6599070351126,644.386411588726,167.717964282255
134.3606,98.7491507509881,681.960079051383,168.100727568966
95.535,40.7205,279.65,38.2876622719382
51.93183072,89.6666666666667,150.2,37.5085175512028
188.3839,185.9408225,199.9,160.792406898882
82.09538,36.0,312.266666666667,12.7279220613579
60.507,59.8138107142857,302.160714285714,68.5774173515458
124.90825,36.881645,293.9625,30.5490497187404
29.6228,63.2,297.92,13.2272446110292
164.1315,114.736842105263,247.684210526316,59.0065492397716
122.90607,102.420102527346,687.895379790408,166.745405544992
71.6206,22.1644675,413.5625,29.7004816017787
151.2596,94.0912353846154,700.086153846154,164.368703144634
71.755,40.504,191.47,38.5055848416824
184.5906,87.03829,607.433333333333,149.946914808066
47.8824,111.666395939086,430.411736040609,32.0741618057068
128.2426,99.4424942857143,685.724603174603,168.16752862676
121.3276,105.690796126351,653.287863674148,170.697667550828
188.3839,96.8617188235294,690.405,152.794106101651
192.981,71.518176,678.136533333333,137.897793836949
83.06047,149.153846153846,711.052847152847,8.27006129230789
125.3163,176.032368571429,298.363428571429,190.035048351021
1.0546,55.57,142.125,30.7282459636081
81.4226,74.1714285714286,377.537142857143,26.4234589649703
11.6815,65.3333333333333,199.966666666667,59.868374140461
191.2006,100.782650516717,652.771732522796,154.803523764856
128.2426,104.911637684289,692.391572070611,167.217022814926
191.2006,73.3888086348502,690.458490566038,146.459583039521
124.90825,97.4305115175097,687.685214007782,167.127191494028
122.90607,60.4609028571428,748.239428571428,137.255433098751
122.90607,61.1516526288807,740.37855311877,138.263151575621
78.256569,285.845,673.6375,86.4560638416994
124.90825,181.503797142857,310.865714285714,190.592572957368
167.8406,43.7233925925926,966.548148148148,73.9326939946223
42.4882,337.0,239.61,142.059846543631
73.893,22.5,285.025,0.866025403784439
46.6827,114.6,294.26,29.5878353381926
121.3276,109.390176,698.3568,174.236445971618
192.981,42.7424325,660.673214285714,112.500873171692
63.9046,112.613308571429,361.011428571428,144.986565555555
122.90607,60.66376,748.143057142857,137.456777822091
96.119,54.4,269.1,24.0049994792751
191.2006,85.4373892307692,684.403846153846,143.908728479618
148.93092,182.774774117647,289.429411764706,184.506419838432
12.782,35.0646766169154,428.333333333333,32.2751047108976
140.2209,108.0,272.275,24.2487113059643
192.981,164.455731111111,243.8325,175.286365144103
121.3276,146.603797142857,199.045714285714,183.138779286392
188.3839,47.3264993548387,658.037275985663,111.95711856407
0.0,71.0,0.0,0.0
22.856,60.75,291.075,51.5285115251741
148.93092,97.7373892307692,702.52,166.57053037171
0.0,140.0,0.0,0.0
141.2506,71.6223314285714,747.773214285714,137.726278388454
192.981,89.1060947368421,681.694736842105,147.257424225168
47.7266,60.2,274.552,14.3861044066836
167.8406,42.1364094117647,904.805882352941,71.4195967134031
121.3276,97.904745625,649.50625,167.295738990658
81.482,55.5456,357.27744,23.1222473094637
141.2506,71.5923314285714,743.509285714286,137.644671626587
192.981,67.2108426666667,697.300666666667,135.065340995268
124.90825,106.431645,308.02125,169.573008227188
0.0,87.0,0.0,0.0
122.90607,209.9970725,365.73625,191.731578984115
50.9094,108.0,309.425,24.2487113059643
81.482,55.7292,359.37588,23.4559814836216
146.5006,96.7584032558139,681.94496124031,167.058633332962
166.4793,62.0,170.166666666667,55.1543289325507
121.3276,177.885225714286,313.158,190.9429817715
124.90825,96.5293186276022,693.471626831149,166.613445250665
45.034,71.0093333333333,530.430266666667,62.4465524499863
23.9599614,56.245,304.811,75.1883300452936
192.981,72.414176,661.026666666667,137.579264999148
192.981,69.894176,693.118666666667,136.948717426436
192.981,69.0538128947368,700.28552631579,136.24563823262
121.3276,96.659092148091,657.951523332048,166.5894515032
122.90607,60.8373930291867,735.23165202607,137.965963686356
80.266,81.0748571428571,393.1148,36.7634849406254
158.9674,97.7143123076923,703.003076923077,166.582060202848
15.34,47.5,14.9,23.5
141.2506,60.6709028571429,738.769285714286,138.634902661363
184.5906,141.862368571429,188.055714285714,169.882523438836
