entropy_ElectronAffinity,range_atomic_mass,wtd_mean_fie,wtd_range_atomic_mass
1.15968659338134,122.90607,1010.26857142857,31.7949208571429
1.42799655342352,122.90607,1010.61285714286,36.161939
1.15968659338134,122.90607,1010.82,35.741099
1.15968659338134,122.90607,1010.54428571429,33.7680099285714
1.15968659338134,122.90607,1009.71714285714,27.8487427142857
1.15968659338134,122.90607,1008.61428571429,20.6874578571429
1.15968659338134,122.90607,1005.85714285714,10.7656385714286
1.09667176877521,122.90607,1011.48428571429,36.451199
1.09667176877521,122.90607,1011.54071428571,34.8331599285714
1.09667176877521,122.90607,1011.59714285714,33.2151208571429
1.09667176877521,122.90607,1011.71,29.9790427142857
1.18353408859616,184.5906,1020.90285714286,27.8487427142857
1.42799655342352,122.90607,1010.71642857143,36.9324261428571
1.42799655342352,122.90607,1010.61285714286,36.161939
1.42799655342352,122.90607,1010.30214285714,35.741099
1.42799655342352,122.90607,1009.78428571429,35.741099
1.15814359700469,121.3276,1006.96538461538,14.3039615384615
1.15968659338134,122.90607,1010.54428571429,33.7680099285714
1.09667176877521,122.90607,1011.54071428571,34.8331599285714
1.09667176877521,122.90607,1011.42785714286,38.0692380714286
1.09667176877521,122.90607,1011.48428571429,36.451199
1.09667176877521,122.90607,1011.62535714286,32.4061013214286
1.09667176877521,122.90607,1011.65357142857,31.5970817857143
1.09667176877521,122.90607,1011.71,29.9790427142857
1.09667176877521,122.90607,1011.76642857143,28.3610036428571
1.09667176877521,122.90607,1011.82285714286,26.7429645714286
1.09667176877521,122.90607,1011.56892857143,34.0241403928571
1.07118954880035,122.90607,1012.40642857143,35.8519170714286
1.1640132003214,157.0546,647.68,137.64323
1.1640132003214,157.0546,811.0,73.87445
1.1640132003214,157.0546,686.511111111111,113.591622222222
1.46174285215126,157.0546,808.447,69.64877
1.10518217403612,121.3276,868.586666666667,22.1322666666667
1.10518217403612,121.3276,868.586666666667,22.1322666666667
1.1640132003214,151.2596,866.616666666667,22.5433666666667
1.1640132003214,152.93481,863.625,24.42105
1.1640132003214,152.93481,862.183333333333,26.7098333333333
1.1640132003214,152.93481,860.741666666667,28.9986166666667
1.1640132003214,152.93481,859.3,31.2874
1.15968659338134,122.90607,997.907692307692,12.5121692307692
1.10518217403612,121.3276,738.357142857143,36.9506571428571
1.10518217403612,121.3276,1032.74352941176,11.0197317647059
1.10518217403612,121.3276,1027.05666666667,11.708465
1.10518217403612,121.3276,1013.24571428571,14.4637714285714
1.1640132003214,128.2426,857.4,22.1322666666667
1.1640132003214,135.9646,1040.912,6.8796
1.1640132003214,141.2506,1044.696,6.8796
1.1640132003214,146.5006,1042.52,6.8796
1.1640132003214,148.93092,1043.08,6.8796
1.1640132003214,151.2596,1043.64,6.8796
1.1640132003214,152.93481,1044.28,6.8796
1.1640132003214,158.9674,1038.2,6.8796
1.1640132003214,128.2426,691.690909090909,35.9983272727273
1.1640132003214,134.3606,727.6,36.9506571428571
1.1640132003214,141.2506,703.090909090909,35.9983272727273
1.10518217403612,121.3276,738.357142857143,36.9506571428571
