superconduct/table51.range_ThermalConductivity,superconduct/table51.range_atomic_mass,superconduct/table51.wtd_mean_fie
49.0,58.553,672.37
399.97342,184.5906,994.525
399.97342,121.3276,1004.61261538462
399.97342,191.2006,1005.63923076923
99.97342,124.90825,886.175
150.0,34.8436,799.96
399.97342,122.90607,1011.53281428571
129.0,156.448,789.716666666667
387.0,126.89477,862.725
22.0,68.29453,671.675
399.97342,121.3276,1001.85890092879
399.97342,122.90607,1011.59714285714
139.0,37.2105,578.514285714286
373.0,52.735,779.279533333333
137.0,117.2954,785.133333333333
399.97342,121.3276,1004.17969230769
399.97342,126.516,745.114285714286
399.97342,128.2426,996.099614197531
13.0,46.08,676.045
399.97342,141.2506,1028.33357142857
22.0,82.6233,643.211111111111
56.795,148.88288,903.74
399.97342,192.981,1011.50545454545
399.97342,126.516,1007.17692307692
399.97342,151.2596,1000.59076923077
399.97342,121.3276,998.7875
78.0,11.066195,661.0096
399.97342,124.90825,1007.51785714286
399.97342,192.981,695.763333333333
382.0,81.482,782.49404
78.97342,71.6206,924.0875
133.0,103.31115,775.816666666667
137.0,110.81997,701.1
104.0,56.114088,683.8
139.795,20.0543,1042.35
169.97342,188.3839,1136.2023255814
399.97342,128.2426,997.169230769231
133.0,13.494,791.795333333333
78.48,23.115,849.75
116.0,82.53,648.266666666667
399.97342,121.3276,1008.87923076923
399.97342,184.5906,1010.4481392557
383.0,78.09485,795.943333333333
399.97342,191.2006,749.871428571429
134.0,72.0613,685.083333333333
399.97342,124.90825,725.671428571429
147.0,67.484,868.7
70.795,74.355,879.725
32.0,73.893,703.125
0.0,0.0,905.8
399.97342,122.90607,1011.714
399.97342,121.3276,996.362478349866
399.97342,134.3606,988.894466403162
78.795,95.535,827.05
90.0,51.93183072,733.633333333333
399.97342,188.3839,719.45
27.0,82.09538,754.666666666667
138.9911,60.507,864.553571428571
78.97342,124.90825,887.65
29.0,29.6228,762.68
134.0,164.1315,762.442105263158
399.97342,122.90607,1003.72954180372
90.97342,71.6206,926.9375
399.97342,151.2596,1002.21384615385
78.48,71.755,828.33
399.97342,184.5906,997.416666666667
133.0,47.8824,795.630862944162
399.97342,128.2426,987.120238095238
399.97342,121.3276,978.453283458021
399.97342,188.3839,994.213235294118
399.97342,192.981,1007.55413333333
137.0,83.06047,719.717382617383
399.97342,125.3163,742.250857142857
63.0,1.0546,650.997
89.0,81.4226,583.402857142857
127.0,11.6815,679.633333333333
399.97342,191.2006,995.44650455927
399.97342,128.2426,1001.08591484038
399.97342,191.2006,1014.6782463929
399.97342,124.90825,997.937354085603
399.97342,122.90607,1011.51557142857
399.97342,122.90607,1012.48550270578
