superconduct/table12.gmean_atomic_radius,superconduct/table12.range_atomic_radius,superconduct/table12.wtd_entropy_atomic_radius,superconduct/table12.wtd_mean_atomic_radius
172.464489098481,7.0,0.317113969654262,175.3
131.729022092529,205.0,1.23591029688118,126.1
139.595298984601,205.0,1.37510110381462,114.52
147.32020804767,171.0,1.67123532682403,109.165384615385
126.229902176896,199.0,1.41585184052015,140.95
151.327790778129,80.0,1.21457017459101,146.64
131.302196551623,171.0,1.15508188890315,104.347428571429
134.590453414005,159.0,1.37332535084926,127.483333333333
129.618180612088,128.0,1.25820537395245,119.25
173.29166165745,41.0,0.608131669017801,164.25
141.508276638116,205.0,1.39947073852476,115.03173374613
131.302196551623,171.0,1.19273404990926,104.542857142857
170.915248176597,29.0,0.840600083191687,162.571428571429
122.297736468754,58.0,0.729986475992986,106.333333333333
158.75862271555,81.0,1.07397032138256,163.0
139.595298984601,205.0,1.36212570136279,114.528076923077
145.489938357383,205.0,1.65586436156905,163.357142857143
155.045364686465,205.0,1.42798706726609,115.071759259259
153.102072091187,73.0,0.549545653589875,184.25
144.665913361074,185.0,1.61922617262263,108.078571428571
144.041660640247,23.0,0.494632328132759,150.888888888889
121.468077440518,113.0,1.02395406288559,128.933333333333
138.165710401632,183.0,1.51339217888683,105.618181818182
138.677125662546,205.0,1.59896292444683,111.261538461538
163.451714544962,205.0,1.42312334952432,115.653846153846
139.000513752081,205.0,1.33870314115859,115.578125
163.560386402087,24.0,0.126858397711023,175.232
133.542493259005,199.0,1.08656171415207,117.385714285714
139.262368544883,171.0,1.72393881570554,159.1
158.223982753592,139.0,1.19783771872055,158.4412
126.165955891697,171.0,1.4695039289099,127.875
191.834492787675,32.0,1.01679510376753,191.5
147.7456215903,84.0,1.09017234158138,147.727272727273
180.975136413818,6.0,0.64152558477429,180.0
76.3478879865056,20.0,0.684690187984126,77.0
113.0596703673,145.0,0.970080792811714,89.2558139534884
138.006405771147,205.0,1.33722698225841,114.076923076923
94.5483641463815,78.0,0.799754008280503,105.453333333333
126.759615019927,53.0,0.672061177844016,129.5
198.796378236627,18.0,0.649732055701963,196.0
145.489938357383,205.0,1.64003675951302,112.081538461538
141.441464390834,205.0,1.30481285024868,123.834333733493
121.701753980207,145.0,1.40527628173747,125.033333333333
147.985665159057,171.0,1.62392870559178,162.057142857143
193.754999935486,44.0,0.501170203200923,180.333333333333
