range_atomic_mass,wtd_mean_FusionHeat,wtd_range_fie,wtd_std_FusionHeat
122.90607,3.84685714285714,735.985714285714,4.66691955388659
122.90607,3.79685714285714,743.164285714286,4.60300005985449
122.90607,3.82257142857143,743.164285714286,4.64963546519334
122.90607,3.83471428571429,739.575,4.6583013524026
122.90607,3.87114285714286,728.807142857143,4.68401395107631
122.90607,3.91971428571429,714.45,4.71764189624695
122.90607,4.04114285714286,678.557142857143,4.79853082958201
122.90607,3.82257142857143,742.5,4.64963546519334
122.90607,3.83471428571429,738.578571428571,4.6583013524026
122.90607,3.84685714285714,734.657142857143,4.66691955388659
122.90607,3.87114285714286,726.814285714286,4.68401395107631
184.5906,3.40785714285714,728.807142857143,4.26406804182416
122.90607,3.80971428571429,745.125,4.62639439101602
122.90607,3.79685714285714,743.164285714286,4.60300005985449
122.90607,3.75828571428571,743.164285714286,4.53187371259822
122.90607,3.694,743.164285714286,4.41003213464159
121.3276,5.27107692307692,684.384615384615,5.65961070231647
122.90607,3.83471428571429,739.575,4.6583013524026
122.90607,3.83471428571429,738.578571428571,4.6583013524026
122.90607,3.81042857142857,746.421428571428,4.6409216251314
122.90607,3.82257142857143,742.5,4.64963546519334
122.90607,3.85292857142857,732.696428571428,4.6712108550183
122.90607,3.859,730.735714285714,4.67549033333862
122.90607,3.87114285714286,726.814285714286,4.68401395107631
122.90607,3.88328571428571,722.892857142857,4.69249066409866
122.90607,3.89542857142857,718.971428571428,4.70092072614178
122.90607,3.84078571428571,736.617857142857,4.66261639729963
122.90607,3.84628571428571,737.712857142857,4.66929146397076
157.0546,7.8811,457.275,2.38405683447354
157.0546,7.1955,303.15,4.58476834202122
157.0546,7.50244444444444,346.166666666667,3.06991187391108
157.0546,7.1325,325.53,4.58702133742585
121.3276,7.56066666666667,355.646666666667,5.49400408526321
121.3276,7.56066666666667,355.646666666667,5.49400408526321
151.2596,9.09066666666667,353.95,7.15876205933835
152.93481,8.134,368.983333333333,6.15243626541551
152.93481,7.98733333333333,378.8,6.048107215393
152.93481,7.84066666666667,388.616666666667,5.93832531573975
152.93481,7.694,398.433333333333,5.82278215288877
122.90607,4.858,665.430769230769,5.37846743970808
121.3276,9.56028571428571,231.371428571429,4.35965010766053
121.3276,4.64470588235294,714.491764705882,5.47783159937779
121.3276,4.65283333333333,704.435,5.43852531840102
