gmean_FusionHeat,mean_FusionHeat,std_FusionHeat
3.47947484936327,6.9055,4.59906411675245
4.40379049753476,7.7844,4.47336265464807
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.20020690378453,5.9824,4.50883211486079
4.40379049753476,7.7844,4.47336265464807
4.40379049753476,7.7844,4.47336265464807
4.40379049753476,7.7844,4.47336265464807
4.40379049753476,7.7844,4.47336265464807
4.68830001966416,8.2524,4.4281001614688
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
3.53676067115796,7.0405,4.63697970127108
3.65848472055263,7.2555,4.59293378463047
3.65848472055263,7.2555,4.59293378463047
3.65848472055263,7.2555,4.59293378463047
4.56323238965329,7.22033333333333,3.7824155274404
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
4.63865243992239,10.3055,7.19124403354524
4.446372922798,9.5305,6.21646127229954
4.446372922798,9.5305,6.21646127229954
4.446372922798,9.5305,6.21646127229954
4.446372922798,9.5305,6.21646127229954
3.47947484936327,6.9055,4.59906411675245
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
3.58503294864781,7.1055,4.58575956085794
3.83529965526993,7.6555,4.68301620219277
3.90551728529137,7.8305,4.75374491848269
4.00875310176596,8.1055,4.90083571954825
4.45954750545227,9.5805,6.27525622982839
4.63865243992239,10.3055,7.19124403354524
4.446372922798,9.5305,6.21646127229954
4.75646422349896,10.8305,7.91296978068285
3.58503294864781,7.1055,4.58575956085794
3.75001751098846,7.4555,4.62523953433765
3.90551728529137,7.8305,4.75374491848269
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
3.20020690378453,5.9824,4.50883211486079
3.47947484936327,6.9055,4.59906411675245
4.07858113705182,7.0644,4.12578591785856
3.47947484936327,6.9055,4.59906411675245
4.03556899860879,8.1805,4.9481552875794
3.65848472055263,7.2555,4.59293378463047
4.75646422349896,10.8305,7.91296978068285
4.03556899860879,8.1805,4.9481552875794
3.47947484936327,6.9055,4.59906411675245
3.47947484936327,6.9055,4.59906411675245
4.87056431624483,9.2644,6.25929304634317
5.06754869628895,10.0844,7.57249849389222
4.9609144013866,9.6244,6.81841487737436
4.54282228484194,8.1644,4.82290674178964
4.5833896382016,8.2844,4.95243106362926
4.73275435969157,8.7644,5.54465052460477
4.78979196033283,8.9644,5.82042863026427
4.04080998930699,6.9944,4.11736875200655
3.99007243134202,6.9044,4.11352858747815
4.01293967366487,6.9444,4.11426365708373
4.16001356187585,7.2244,4.16267959852785
4.29745127504441,7.5244,4.29572595029059
5.16059335658217,9.3044,4.96386920053299
5.16059335658217,9.3044,4.96386920053299
5.16059335658217,9.3044,4.96386920053299
5.16059335658217,9.3044,4.96386920053299
5.16059335658217,9.3044,4.96386920053299
4.03556899860879,8.1805,4.9481552875794
3.40669334652399,6.8904,5.12297029466305
3.85259908674406,7.1844,4.85347848867181
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
3.90551728529137,7.8305,4.75374491848269
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
4.45954750545227,9.5805,6.27525622982839
4.8386456860193,8.5444,4.48520740211643
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
4.03556899860879,8.1805,4.9481552875794
5.89319457641868,11.9044,8.66355108716974
3.75001751098846,7.4555,4.62523953433765
3.75001751098846,7.4555,4.62523953433765
3.75001751098846,7.4555,4.62523953433765
3.75001751098846,7.4555,4.62523953433765
3.75001751098846,7.4555,4.62523953433765
3.75001751098846,7.4555,4.62523953433765
3.75001751098846,7.4555,4.62523953433765
4.03556899860879,8.1805,4.9481552875794
3.99057234710043,8.0555,4.87095891483392
3.99057234710043,8.0555,4.87095891483392
4.63865243992239,10.3055,7.19124403354524
4.45954750545227,9.5805,6.27525622982839
3.90551728529137,7.8305,4.75374491848269
4.03556899860879,8.1805,4.9481552875794
3.83529965526993,7.6555,4.68301620219277
3.90551728529137,7.8305,4.75374491848269
4.03556899860879,8.1805,4.9481552875794
3.65848472055263,7.2555,4.59293378463047
4.03556899860879,8.1805,4.9481552875794
5.39298870946592,9.9844,5.70995739388658
4.9045659331416,8.6844,4.53905865130646
4.9045659331416,8.6844,4.53905865130646
