superconduct/table30.entropy_Density,superconduct/table30.mean_Density,superconduct/table30.range_atomic_radius,superconduct/table30.wtd_mean_Density
0.585882480683909,8265.0,7.0,5258.6
0.97786159649685,6501.35725,205.0,3575.6145
1.32221306724433,4816.6858,205.0,2941.26176923077
1.61533893769409,5180.48985714286,171.0,2780.00023076923
1.37304839174241,5828.4858,199.0,5137.55725
1.25184156530209,6012.75,80.0,5791.44
0.995982779568411,4434.35725,171.0,2964.98971428571
1.46314879962696,6182.6,159.0,5662.88333333333
1.28444307256885,6568.5,128.0,4896.75
0.64835873194315,8743.0,41.0,10041.5
1.30961869274625,5168.6858,205.0,2970.03782352941
0.995982779568411,4434.35725,171.0,2936.35942857143
1.05778115560485,8816.33333333333,29.0,7955.57142857143
0.842551170513748,4386.0,58.0,2262.66533333333
0.882969906021373,11477.6666666667,81.0,11477.6666666667
1.32221306724433,4816.6858,205.0,2946.16176923077
1.62640550505155,3369.06128571429,205.0,4915.347
1.33842893236474,5224.2858,205.0,3150.26588271605
1.08025804028922,7067.66666666667,73.0,8205.325
1.51932875183726,6528.73816666667,185.0,2996.03085714286
0.654038572993808,9273.5,23.0,10704.8888888889
0.775563246254393,7809.66666666667,113.0,7619.06666666667
1.28368374942418,5323.0858,183.0,3166.74309090909
1.4813291435311,3672.23816666667,205.0,2675.38484615385
1.46519950397792,4954.5715,205.0,3258.27715384615
1.01540712310099,4235.85725,205.0,2998.57165625
0.638460733374157,6703.5,24.0,4647.576
1.08892790263583,5572.60725,199.0,3179.00942857143
1.62883852963181,5938.77557142857,171.0,5811.11908333333
1.55990864881673,6994.2,139.0,6169.9424
1.32352592064841,4468.4858,171.0,3121.910875
0.933498059704574,16540.6666666667,32.0,16535.6666666667
0.979564438362623,5794.66666666667,84.0,5762.72727272727
0.492539367493996,7677.5,6.0,9241.66666666667
0.690618150422936,2110.0,20.0,2110.0
0.665039921305987,10367.143,145.0,5304.48534883721
1.03449529359397,4870.35725,205.0,3147.69253846154
1.08833378265837,2152.66666666667,78.0,2210.53333333333
0.66389649173122,6346.5,53.0,6346.5
